dates.22.584.,X1,pred...1.,pred...2.,actual
7/31/2014,-0.006676532,-0.053233392,0.010603152,-0.040830215
8/2/2014,0.118660367,-0.047741368,0.138698425,-0.237260855
8/4/2014,0.108476234,-0.05817463,0.140321257,-0.021641828
8/5/2014,-0.062324299,-0.046722192,-0.063830653,-1.180148831
8/6/2014,-0.138553341,-0.108255399,-0.124137019,-0.955255629
8/7/2014,-0.117793237,-0.09631037,-0.103869465,0.590734873
8/8/2014,0.034235312,-0.014196275,0.040007382,-0.090463142
8/9/2014,0.021193167,-0.050377583,0.02012975,-0.569644962
8/10/2014,-0.089482773,-0.075828956,-0.075470414,0.057311778
8/11/2014,-0.091105701,-0.042528632,-0.08321011,0.188294186
8/12/2014,-0.055107039,-0.035571602,-0.061079384,0.438978093
8/13/2014,-0.106146679,-0.022256719,-0.121250947,-0.451018307
8/14/2014,-0.144739931,-0.069528193,-0.156556749,-0.223508676
8/15/2014,-0.076057647,-0.057444194,-0.084048604,-0.521280887
8/16/2014,-0.040125717,-0.073260136,-0.029685658,-1.121299959
8/18/2014,-0.101749582,-0.105129687,-0.085419512,0.157312241
8/19/2014,-0.218270924,-0.037217184,-0.270447667,-0.019395276
