"Index" "CL.Open" "CL.High" "CL.Low" "CL.Close" "CL.Volume" "CL.Adjusted"
2014-01-06 64.440002 64.550003 63.990002 64.139999 2583500 61.407981
2014-01-07 64.489998 64.580002 64.029999 64.199997 2872100 61.465423
2014-01-08 64.169998 64.199997 63.41 63.540001 3286300 60.833539
2014-01-09 64.129997 65.279999 63.799999 65.019997 4826400 62.250495
2014-01-10 65.120003 65.459999 64.879997 65.080002 2956500 62.307944
2014-01-13 64.900002 65.389999 64.540001 64.690002 3140800 61.934557
2014-01-14 64.699997 64.989998 64.559998 64.849998 2480000 62.087738
2014-01-15 64.860001 64.970001 64.349998 64.779999 2287400 62.02072
2014-01-16 64.580002 65.120003 64.389999 64.980003 2636400 62.212205
2014-01-17 64.910004 65.110001 64.68 64.699997 3937400 61.944126
2014-01-21 65.050003 65.410004 64.290001 64.739998 2828700 61.982423
2014-01-22 64.540001 64.699997 63.869999 64.010002 2323200 61.607065
2014-01-23 63.43 63.740002 63.23 63.439999 3263800 61.05846
2014-01-24 63.389999 63.950001 62.389999 62.389999 5429400 60.047878
2014-01-27 62.470001 62.650002 61.950001 62.110001 4636800 59.77839
2014-01-28 62.200001 62.93 62.200001 62.869999 3377600 60.509858
2014-01-29 62.790001 62.790001 61.43 61.59 5682200 59.27791
2014-01-30 63.439999 63.810001 61.130001 61.490002 5456400 59.181666
2014-01-31 60.610001 61.59 60 61.23 6831800 58.931424
2014-02-03 61.220001 61.299999 59.75 60.169998 6868200 57.911215
2014-02-04 60.349998 60.669998 60.139999 60.349998 5220800 58.084458
2014-02-05 60.150002 60.790001 60.02 60.419998 5981000 58.15183
2014-02-06 60.509998 60.84 60.27 60.599998 4190900 58.325073
2014-02-07 60.779999 61.150002 60.540001 60.860001 3651200 58.575315
2014-02-10 60.84 61.619999 60.810001 61.52 4451800 59.210538
2014-02-11 61.669998 62.48 61.389999 62.400002 3701400 60.057504
2014-02-12 62.41 62.740002 61.68 61.919998 3972100 59.59552
2014-02-13 61.450001 62.41 61.439999 62.310001 3090900 59.970883
2014-02-14 62.380001 62.900002 61.810001 62.68 3116100 60.326992
2014-02-18 62.860001 62.860001 62 62.389999 2951100 60.047878
2014-02-19 61.970001 62.189999 61.439999 61.529999 3358500 59.220161
2014-02-20 61.48 62.110001 61.349998 61.860001 2658300 59.537775
2014-02-21 61.959999 62.540001 61.529999 61.560001 3166400 59.249038
2014-02-24 61.810001 62.470001 61.580002 61.950001 3236300 59.624397
2014-02-25 62.040001 62.23 61.68 62.07 3961200 59.739891
2014-02-26 62.110001 62.540001 61.860001 61.950001 3026300 59.624397
2014-02-27 61.740002 62.209999 61.619999 62.119999 2469700 59.788013
2014-02-28 62.389999 63.150002 62.09 62.830002 3366200 60.471362
2014-03-03 62.23 62.630001 62 62.220001 2714800 59.884261
2014-03-04 62.669998 63.259998 62.669998 63.009998 2937600 60.644602
2014-03-05 62.82 62.950001 62.540001 62.619999 2401100 60.269243
2014-03-06 62.779999 63.189999 62.639999 63.02 2665900 60.654228
2014-03-07 63.09 63.23 62.849998 63.130001 1992800 60.7601
2014-03-10 62.939999 63.200001 62.860001 63.049999 1955500 60.683101
2014-03-11 63.169998 63.82 63.060001 63.290001 3367300 60.914093
2014-03-12 62.91 63.400002 62.869999 63.220001 2368700 60.846721
2014-03-13 63.32 63.880001 63.110001 63.23 2633000 60.856344
