"Index" "CSC.Open" "CSC.High" "CSC.Low" "CSC.Close" "CSC.Volume" "CSC.Adjusted"
2013-11-26 52.970001 53.080002 52.419998 52.669998 866700 51.180242
2013-11-27 52.669998 52.93 52.360001 52.709999 511200 51.219111
2013-11-29 52.849998 52.860001 52.529999 52.619999 208600 51.131657
2013-12-02 52.619999 52.919998 52.240002 52.740002 573100 51.248265
2013-12-03 52.400002 53.09 52.400002 52.619999 1152900 51.131657
2013-12-04 52.459999 53.849998 52.459999 53.610001 1727800 52.093656
2013-12-05 53.5 53.580002 52.740002 52.990002 960100 51.491194
2013-12-06 53.220001 54.220001 52.950001 54.09 1117400 52.560079
2013-12-09 54.060001 54.139999 53.18 53.34 850600 51.831293
2013-12-10 53.169998 54.07 53.139999 53.25 1013900 51.743838
2013-12-11 53.299999 53.48 52.830002 52.91 779700 51.413455
2013-12-12 52.639999 52.639999 52.130001 52.349998 695000 50.869293
2013-12-13 52.549999 52.849998 52.060001 52.32 974800 50.840143
2013-12-16 52.599998 53.310001 52.5 53.02 1001300 51.520344
2013-12-17 52.900002 53.41 52.610001 53.009998 947200 51.510625
2013-12-18 53.369999 53.529999 52.209999 53.450001 1325100 51.938182
2013-12-19 53.799999 54.599998 53.5 54.349998 1334300 52.812724
2013-12-20 54.48 54.869999 53.610001 54.84 1288700 53.288866
2013-12-23 54.900002 55.380001 54.810001 54.919998 939000 53.366601
2013-12-24 54.790001 55.560001 54.790001 55.529999 328300 53.959348
2013-12-26 55.41 55.709999 55.290001 55.549999 474200 54.173899
2013-12-27 55.799999 55.91 55.330002 55.630001 465000 54.251919
2013-12-30 55.689999 55.98 55.540001 55.830002 381100 54.446965
2013-12-31 56 56.200001 55.77 55.880001 485300 54.495726
2014-01-02 55.799999 56.049999 55.48 55.59 846700 54.212909
2014-01-03 55.639999 56.189999 55.610001 55.880001 539800 54.495726
2014-01-06 56.009998 56.080002 55.060001 55.560001 988300 54.183653
2014-01-07 55.689999 56.09 55.369999 55.650002 801200 54.271424
2014-01-08 55.650002 56.470001 55.439999 55.77 1320700 54.38845
2014-01-09 55.950001 56.349998 55.82 56.16 1096700 54.768788
2014-01-10 56.259998 56.330002 55.700001 55.84 681500 54.456716
2014-01-13 55.799999 55.990002 54.68 54.75 829100 53.393717
2014-01-14 55 55.849998 54.700001 55.849998 912000 54.466466
2014-01-15 55.779999 56.330002 55.779999 56.200001 596800 54.807798
