"Index" "USD.PHP"
2014-11-30 44.9245
2014-12-01 44.8588
2014-12-02 44.7801
2014-12-03 44.6944
2014-12-04 44.5991
2014-12-05 44.5932
2014-12-06 44.6803
2014-12-07 44.675
2014-12-08 44.6795
2014-12-09 44.5829
2014-12-10 44.5849
2014-12-11 44.5152
2014-12-12 44.5247
2014-12-13 44.5322
2014-12-14 44.568
2014-12-15 44.6713
2014-12-16 44.7387
2014-12-17 44.7474
2014-12-18 44.7375
2014-12-19 44.7466
2014-12-20 44.7658
2014-12-21 44.765
2014-12-22 44.6314
2014-12-23 44.6593
2014-12-24 44.6843
2014-12-25 44.6992
2014-12-26 44.6933
2014-12-27 44.6795
2014-12-28 44.68
2014-12-29 44.7327
2014-12-30 44.7599
2014-12-31 44.7862
2015-01-01 44.7251
2015-01-02 44.8037
2015-01-03 44.88
2015-01-04 44.875
2015-01-05 45.045
2015-01-06 44.9987
2015-01-07 45.0458
2015-01-08 44.9858
2015-01-09 44.9132
2015-01-10 44.8785
2015-01-11 44.9
2015-01-12 44.8808
2015-01-13 44.7879
2015-01-14 44.7879
2015-01-15 44.6386
2015-01-16 44.6153
2015-01-17 44.6365
2015-01-18 44.6365
2015-01-19 44.5613
2015-01-20 44.6075
2015-01-21 44.4249
2015-01-22 44.267
2015-01-23 44.0915
2015-01-24 44.1445
2015-01-25 44.09
2015-01-26 44.073
2015-01-27 44.0781
2015-01-28 44.1047
2015-01-29 44.085
2015-01-30 44.1246
2015-01-31 44.1954
2015-02-01 44.195
2015-02-02 44.1518
2015-02-03 44.0691
2015-02-04 44.0807
2015-02-05 44.1144
2015-02-06 44.2012
2015-02-07 44.246
2015-02-08 44.246
2015-02-09 44.3663
2015-02-10 44.367
2015-02-11 44.3833
2015-02-12 44.3598
2015-02-13 44.2692
2015-02-14 44.2503
2015-02-15 44.2822
2015-02-16 44.2534
2015-02-17 44.2372
2015-02-18 44.2257
2015-02-19 44.1907
2015-02-20 44.2196
2015-02-21 44.25
2015-02-22 44.235
2015-02-23 44.2808
2015-02-24 44.2336
2015-02-25 44.0831
2015-02-26 44.0112
2015-02-27 44.0842
2015-02-28 44.1
2015-03-01 44.1
2015-03-02 44.119
2015-03-03 44.086
2015-03-04 44.1132
2015-03-05 44.1373
2015-03-06 44.1543
2015-03-07 44.305
2015-03-08 44.305
2015-03-09 44.2439
2015-03-10 44.3053
2015-03-11 44.3441
2015-03-12 44.2584
2015-03-13 44.3192
2015-03-14 44.351
2015-03-15 44.3295
2015-03-16 44.4058
2015-03-17 44.5722
2015-03-18 44.7739
2015-03-19 44.811
2015-03-20 44.882
2015-03-21 44.8645
2015-03-22 44.915
2015-03-23 44.7751
2015-03-24 44.722
2015-03-25 44.7948
2015-03-26 44.8319
2015-03-27 44.815
2015-03-28 44.8155
2015-03-29 44.8155
2015-03-30 44.7678
2015-03-31 44.7106
2015-04-01 44.5844
2015-04-02 44.4636
2015-04-03 44.4336
2015-04-04 44.0425
2015-04-05 44.0425
2015-04-06 44.3853
2015-04-07 44.4746
2015-04-08 44.5139
2015-04-09 44.4861
2015-04-10 44.5379
2015-04-11 44.6085
2015-04-12 44.595
2015-04-13 44.6698
2015-04-14 44.6012
2015-04-15 44.5165
2015-04-16 44.4121
2015-04-17 44.2877
2015-04-18 44.257
2015-04-19 44.257
2015-04-20 44.225
2015-04-21 44.2347
2015-04-22 44.1935
2015-04-23 44.2331
2015-04-24 44.225
2015-04-25 44.201
2015-04-26 44.23
2015-04-27 44.2337
2015-04-28 44.2348
2015-04-29 44.2545
2015-04-30 44.5298
2015-05-01 44.6034
2015-05-02 44.71
2015-05-03 44.71
2015-05-04 44.6346
2015-05-05 44.6045
2015-05-06 44.5373
2015-05-07 44.6571
2015-05-08 44.6351
2015-05-09 44.567
2015-05-10 44.545
2015-05-11 44.691
2015-05-12 44.8121
2015-05-13 44.6907
2015-05-14 44.5311
2015-05-15 44.452
2015-05-16 44.404
2015-05-17 44.395
2015-05-18 44.466
2015-05-19 44.5336
2015-05-20 44.5713
2015-05-21 44.5098
2015-05-22 44.5529
2015-05-23 44.645
2015-05-24 44.615
2015-05-25 44.5957
2015-05-26 44.6987
2015-05-27 44.7318
2015-05-28 44.6273
2015-05-29 44.5587
2015-05-30 44.5475
2015-05-31 44.5465
2015-06-01 44.5482
2015-06-02 44.6332
2015-06-03 44.7014
2015-06-04 44.871
2015-06-05 45.0196
2015-06-06 45.09
2015-06-07 45.09
2015-06-08 45.1843
2015-06-09 45.0754
2015-06-10 45.0211
2015-06-11 45.1415
2015-06-12 45.2557
2015-06-13 45.2972
2015-06-14 45.27
2015-06-15 45.244
2015-06-16 45.1476
2015-06-17 45.134
2015-06-18 44.9762
2015-06-19 45.0097
2015-06-20 44.991
2015-06-21 45.025
2015-06-22 44.9714
2015-06-23 45.0996
2015-06-24 45.109
2015-06-25 45.1103
2015-06-26 45.1148
2015-06-27 45.1174
2015-06-28 45.115
2015-06-29 45.151
2015-06-30 45.1087
2015-07-01 45.132
2015-07-02 45.1586
2015-07-03 45.0847
2015-07-04 45.033
2015-07-05 45.065
2015-07-06 45.1284
2015-07-07 45.1925
2015-07-08 45.2259
2015-07-09 45.1796
2015-07-10 45.1364
2015-07-11 45.0884
2015-07-12 45.075
2015-07-13 45.1642
2015-07-14 45.2106
2015-07-15 45.2502
2015-07-16 45.2558
2015-07-17 45.243
2015-07-18 45.2261
2015-07-19 45.215
2015-07-20 45.3183
2015-07-21 45.2465
2015-07-22 45.2131
2015-07-23 45.3245
2015-07-24 45.488
2015-07-25 45.5629
2015-07-26 45.565
2015-07-27 45.5371
2015-07-28 45.4921
2015-07-29 45.4869
2015-07-30 45.639
2015-07-31 45.6595
2015-08-01 45.6715
2015-08-02 45.6715
2015-08-03 45.7211
2015-08-04 45.6952
2015-08-05 45.739
2015-08-06 45.757
2015-08-07 45.7857
2015-08-08 45.7988
2015-08-09 45.8
2015-08-10 45.7971
2015-08-11 45.9892
2015-08-12 46.219
2015-08-13 46.1819
2015-08-14 46.1943
2015-08-15 46.1876
