"Index" "NP.Open" "NP.High" "NP.Low" "NP.Close" "NP.Volume" "NP.Adjusted"
2014-02-24 48.610001 48.860001 48.060001 48.490002 137300 46.880343
2014-02-25 48.48 49.23 48.369999 48.959999 148500 47.334739
2014-02-26 49.119999 50.34 48.939999 50.279999 133200 48.61092
2014-02-27 50.25 50.459999 49.630001 50.099998 64500 48.436895
2014-02-28 50.68 50.869999 50.009998 50.209999 74500 48.543244
2014-03-03 49.549999 50.099998 49.150002 49.52 64300 47.876151
2014-03-04 49.779999 51.400002 49.779999 51.07 157900 49.374697
2014-03-05 51.040001 51.57 50.560001 51.299999 56600 49.597061
2014-03-06 51.549999 51.990002 51.07 51.34 108200 49.635734
2014-03-07 51.470001 51.790001 50.68 51.450001 113300 49.742083
2014-03-10 51.5 51.740002 49.84 50.23 93600 48.562581
2014-03-11 50.23 50.25 49.299999 49.84 102100 48.185528
2014-03-12 49.73 50.290001 49.279999 49.57 134700 47.92449
2014-03-13 49.860001 50.34 49.040001 49.279999 73400 47.644116
2014-03-14 49.279999 50.27 49.279999 49.959999 70700 48.301543
2014-03-17 50.360001 51.130001 50.290001 50.599998 63000 48.920297
2014-03-18 50.779999 51.779999 50.639999 51.450001 83300 49.742083
2014-03-19 51.540001 51.779999 50.66 50.889999 86800 49.200672
2014-03-20 50.889999 51.669998 50.580002 50.849998 50500 49.161998
2014-03-21 51.189999 51.720001 50.580002 50.82 89100 49.132996
2014-03-24 50.82 51.279999 50 50.43 93100 48.755942
2014-03-25 50.810001 51.540001 50.459999 51.48 66900 49.771086
2014-03-26 51.529999 52 50.310001 50.32 118500 48.649593
2014-03-27 50.52 50.52 50.09 50.18 77000 48.514241
2014-03-28 50.330002 51.5 50.32 50.419998 56800 48.746272
2014-03-31 50.57 52.18 50.529999 51.720001 126300 50.003121
2014-04-01 51.889999 52.59 51.299999 52.41 120700 50.670215
2014-04-02 52.43 53.400002 52.07 53.25 57200 51.48233
2014-04-03 53.169998 53.689999 52.639999 53.459999 92400 51.685358
2014-04-04 53.98 54.299999 52.119999 52.57 151500 50.824903
2014-04-07 52.310001 52.599998 52.009998 52.18 129500 50.44785
2014-04-08 52.040001 52.82 51.779999 52.049999 79200 50.322164
2014-04-09 52.310001 52.66 51.700001 52.48 75300 50.737891
2014-04-10 52.279999 53.02 51.060001 51.279999 92200 49.577725
2014-04-11 50.98 51.619999 50.360001 50.700001 77200 49.01698
2014-04-14 51.25 51.939999 50.419998 51.009998 61600 49.316687
2014-04-15 51.25 51.25 49.990002 50.93 94700 49.239345
2014-04-16 51.23 51.310001 50.849998 51.099998 46600 49.4037
2014-04-17 50.959999 51.459999 50.779999 51.32 52700 49.616398
2014-04-21 51.200001 51.669998 50.779999 51.380001 44500 49.674407
2014-04-22 51.290001 52.23 51.279999 51.990002 53000 50.264159
2014-04-23 52.02 52.07 51.009998 51.029999 58400 49.336024
2014-04-24 51.360001 51.360001 50.25 50.41 95900 48.736606
2014-04-25 50.27 50.57 49.540001 49.970001 76200 48.311213
2014-04-28 50.080002 50.650002 49.619999 50.029999 75900 48.369219
2014-04-29 50.029999 50.389999 49.43 49.459999 79000 47.818141
2014-04-30 49.32 50.459999 49.310001 50.369999 81100 48.697933
2014-05-01 50.369999 50.849998 49.360001 50.23 105600 48.562581
2014-05-02 50.25 50.950001 50.25 50.650002 41800 48.968641
2014-05-05 50.27 50.619999 49.75 50.18 38200 48.514241
2014-05-06 49.82 50.810001 49.330002 49.450001 73700 47.808475
2014-05-07 49.5 49.900002 49.009998 49.75 104400 48.098515
2014-05-08 49.950001 51.860001 49.310001 49.619999 62100 47.97283
2014-05-09 49.52 49.900002 49.009998 49.650002 66900 48.001836
2014-05-12 49.799999 51.790001 49.669998 51.450001 73600 49.742083
2014-05-13 51.25 51.34 50.27 50.509998 100400 48.833285
2014-05-14 50.380001 50.540001 49.619999 49.669998 105400 48.250432
