"Index" "NOB.Open" "NOB.High" "NOB.Low" "NOB.Close" "NOB.Volume" "NOB.Adjusted"
2014-04-22 0.02 0.02 0.02 0.02 29100 0.02
2014-04-23 0.02 0.02 0.02 0.02 0 0.02
2014-04-24 0.02 0.02 0.02 0.02 50000 0.02
2014-04-25 0.015 0.015 0.015 0.015 48000 0.015
2014-04-28 0.015 0.015 0.015 0.015 1e+05 0.015
2014-04-29 0.02 0.02 0.02 0.02 49500 0.02
2014-04-30 0.015 0.015 0.015 0.015 170000 0.015
2014-05-01 0.015 0.015 0.015 0.015 371100 0.015
2014-05-02 0.015 0.015 0.015 0.015 1200200 0.015
2014-05-05 0.015 0.015 0.015 0.015 1720900 0.015
2014-05-06 0.015 0.015 0.015 0.015 0 0.015
2014-05-07 0.015 0.015 0.015 0.015 10000 0.015
2014-05-08 0.02 0.025 0.02 0.025 1715600 0.025
2014-05-09 0.02 0.025 0.015 0.025 230000 0.025
2014-05-12 0.025 0.025 0.025 0.025 80000 0.025
2014-05-13 0.025 0.025 0.025 0.025 50000 0.025
2014-05-14 0.02 0.03 0.02 0.03 1528000 0.03
2014-05-15 0.03 0.035 0.03 0.03 479600 0.03
2014-05-16 0.035 0.035 0.025 0.025 70000 0.025
2014-05-19 0.025 0.025 0.025 0.025 0 0.025
2014-05-20 0.025 0.025 0.025 0.025 10500 0.025
2014-05-21 0.03 0.03 0.025 0.03 461200 0.03
2014-05-22 0.03 0.03 0.03 0.03 73000 0.03
2014-05-23 0.035 0.04 0.03 0.04 1683000 0.04
2014-05-26 0.04 0.045 0.04 0.04 603500 0.04
2014-05-27 0.035 0.035 0.03 0.035 1240900 0.035
2014-05-28 0.035 0.035 0.03 0.03 314000 0.03
2014-05-29 0.03 0.03 0.03 0.03 140000 0.03
2014-05-30 0.035 0.05 0.035 0.04 1854300 0.04
2014-06-02 0.045 0.045 0.035 0.04 560300 0.04
2014-06-03 0.04 0.04 0.035 0.04 248000 0.04
2014-06-04 0.04 0.04 0.04 0.04 25500 0.04
2014-06-05 0.04 0.045 0.035 0.035 547000 0.035
2014-06-06 0.04 0.04 0.03 0.03 334000 0.03
2014-06-09 0.035 0.04 0.03 0.03 1212000 0.03
2014-06-10 0.03 0.03 0.025 0.025 699000 0.025
2014-06-11 0.02 0.025 0.02 0.02 237000 0.02
2014-06-12 0.025 0.025 0.025 0.025 50200 0.025
2014-06-13 0.025 0.025 0.025 0.025 12200 0.025
2014-06-16 0.025 0.025 0.025 0.025 115000 0.025
2014-06-17 0.02 0.02 0.02 0.02 110000 0.02
2014-06-18 0.02 0.02 0.02 0.02 0 0.02
2014-06-19 0.02 0.02 0.02 0.02 0 0.02
2014-06-20 0.025 0.025 0.025 0.025 180000 0.025
2014-06-23 0.025 0.025 0.025 0.025 0 0.025
2014-06-24 0.025 0.025 0.025 0.025 0 0.025
2014-06-25 0.02 0.02 0.02 0.02 30000 0.02
2014-06-26 0.02 0.02 0.02 0.02 0 0.02
2014-06-27 0.02 0.02 0.02 0.02 0 0.02
2014-06-30 0.02 0.02 0.02 0.02 0 0.02
2014-07-01 0.02 0.02 0.02 0.02 0 0.02
2014-07-02 0.02 0.02 0.02 0.02 30000 0.02
