"Index" "CIN.Open" "CIN.High" "CIN.Low" "CIN.Close" "CIN.Volume" "CIN.Adjusted"
2014-12-30 5.225 5.225 5.225 5.225 0 4.96075
2014-12-31 5.225 5.225 5.225 5.225 0 4.96075
2015-01-01 5.225 5.225 5.225 5.225 0 4.96075
2015-01-02 5.394 5.394 5.394 5.394 0 5.1212
2015-01-05 5.313 5.313 5.313 5.313 0 5.0443
2015-01-06 5.237 5.237 5.237 5.237 0 4.97214
2015-01-07 5.341 5.341 5.341 5.341 0 5.07088
2015-01-08 5.378 5.378 5.378 5.378 0 5.10601
2015-01-09 5.517 5.517 5.517 5.517 0 5.23798
2015-01-12 5.438 5.605 5.438 5.605 4500 5.32153
2015-01-13 5.505 5.505 5.505 5.505 0 5.22658
2015-01-14 5.657 5.657 5.657 5.657 0 5.3709
2015-01-15 5.671 5.671 5.671 5.671 0 5.38419
2015-01-16 5.609 5.609 5.609 5.609 0 5.32532
2015-01-19 5.523 5.523 5.523 5.523 0 5.24367
2015-01-20 5.592 5.592 5.592 5.592 0 5.30918
2015-01-21 5.777 5.777 5.777 5.777 0 5.48483
2015-01-22 5.726 5.726 5.726 5.726 0 5.43641
2015-01-23 5.916 6.004 5.916 6.004 100 5.70035
2015-01-26 6.004 6.004 6.004 6.004 0 5.70035
2015-01-27 5.997 5.997 5.997 5.997 0 5.6937
2015-01-28 5.904 5.904 5.904 5.904 0 5.6054
2015-01-29 6.286 6.286 6.286 6.286 100 5.96809
2015-01-30 5.936 5.936 5.936 5.936 0 5.63579
2015-02-02 5.949 5.949 5.949 5.949 0 5.64813
2015-02-03 6.026 6.026 6.026 6.026 0 5.72123
2015-02-04 6.021 6.021 6.021 6.021 0 5.71649
2015-02-05 6 6 6 6 0 5.69655
2015-02-06 5.959 5.959 5.959 5.959 0 5.65762
2015-02-09 5.974 5.974 5.974 5.974 0 5.67186
2015-02-10 5.986 5.986 5.986 5.986 0 5.68326
2015-02-11 5.945 5.945 5.945 5.945 0 5.64433
2015-02-12 5.902 5.902 5.902 5.902 0 5.60351
2015-02-13 5.876 5.876 5.876 5.876 0 5.57882
2015-02-16 5.906 5.906 5.906 5.906 0 5.6073
2015-02-17 5.827 5.827 5.827 5.827 0 5.5323
2015-02-18 5.793 5.793 5.793 5.793 0 5.50002
2015-02-19 5.799 5.799 5.799 5.799 0 5.50572
2015-02-20 5.873 5.873 5.873 5.873 0 5.57597
2015-02-23 5.949 5.949 5.949 5.949 0 5.64813
2015-02-24 5.979 5.979 5.979 5.979 0 5.67661
