"Index" "VC.Open" "VC.High" "VC.Low" "VC.Close" "VC.Volume" "VC.Adjusted"
2014-07-10 97.099998 99.410004 97.099998 98.769997 515300 98.769997
2014-07-11 98.779999 99.279999 98.5 98.970001 254900 98.970001
2014-07-14 98.93 99.410004 98.059998 98.610001 467100 98.610001
2014-07-15 98.059998 98.379997 97.120003 97.699997 428500 97.699997
2014-07-16 98.139999 98.440002 97.300003 97.43 358400 97.43
2014-07-17 97.410004 98.199997 96.370003 96.510002 385600 96.510002
2014-07-18 96.620003 97.449997 96.480003 97.43 189700 97.43
2014-07-21 96.870003 97.43 95.959999 96.209999 246700 96.209999
2014-07-22 96.5 97.400002 96.5 96.75 312100 96.75
2014-07-23 97.080002 97.080002 95.830002 96.43 278500 96.43
2014-07-24 96.730003 97 96.370003 96.75 379900 96.75
2014-07-25 96.889999 98.010002 96.339996 97.5 504500 97.5
2014-07-28 97.699997 98.040001 97.160004 97.919998 325300 97.919998
2014-07-29 97.900002 98.489998 96.849998 96.889999 471600 96.889999
2014-07-30 96.970001 97.480003 95.849998 96.220001 696500 96.220001
2014-07-31 95.230003 95.650002 94.230003 95.5 380000 95.5
2014-08-01 95.050003 95.870003 94.75 95.599998 473900 95.599998
2014-08-04 96.379997 99.279999 95.949997 98.809998 768400 98.809998
2014-08-05 98.059998 98.760002 96.709999 97.239998 691100 97.239998
2014-08-06 96.5 99.82 95.75 99.610001 1179400 99.610001
2014-08-07 99.599998 99.610001 97.010002 97.720001 804400 97.720001
2014-08-08 97.68 97.699997 96.160004 96.760002 890900 96.760002
2014-08-11 97.290001 97.32 96.489998 96.769997 611900 96.769997
2014-08-12 96.739998 96.959999 96.150002 96.559998 558800 96.559998
2014-08-13 96.949997 98.349998 96.599998 97.519997 476500 97.519997
2014-08-14 97.480003 97.940002 96.57 97.769997 386400 97.769997
2014-08-15 98 98.290001 97.440002 97.989998 292100 97.989998
2014-08-18 98.510002 99.540001 98.510002 98.970001 373800 98.970001
2014-08-19 99.050003 99.860001 98.82 99.349998 205900 99.349998
2014-08-20 99.230003 99.68 98.690002 99.510002 288100 99.510002
2014-08-21 99.769997 100.980003 98.849998 100.510002 469400 100.510002
2014-08-22 100.5 100.769997 99.480003 100.349998 272900 100.349998
2014-08-25 100.940002 101.349998 100.57 101.169998 238300 101.169998
2014-08-26 101.309998 102.040001 100.800003 100.910004 231600 100.910004
2014-08-27 100.760002 101.209999 100.43 101.050003 195200 101.050003
2014-08-28 100.93 100.93 100.059998 100.550003 239200 100.550003
2014-08-29 100.639999 101.209999 100.019997 101.190002 431000 101.190002
2014-09-02 101 101.989998 101 101.669998 476900 101.669998
2014-09-03 102.07 102.489998 101.769997 102.300003 329800 102.300003
2014-09-04 102.5 103.82 102.449997 103 350900 103
2014-09-05 103.220001 104.129997 102.610001 104.040001 834500 104.040001
2014-09-08 103.629997 104.68 103.07 103.519997 342400 103.519997
2014-09-09 103.660004 104.040001 102.849998 103.059998 336400 103.059998
2014-09-10 103.160004 109.410004 102.129997 107.489998 2228100 107.489998
2014-09-11 107.68 109.129997 107.160004 108.290001 1303800 108.290001
2014-09-12 107.860001 108.160004 105.540001 106.379997 772200 106.379997
2014-09-15 107.5 107.57 105.599998 105.82 520100 105.82
2014-09-16 105.540001 106.760002 105.260002 106.470001 493000 106.470001
2014-09-17 106.720001 107.519997 105.449997 106.190002 396400 106.190002
2014-09-18 106.639999 107.089996 106.209999 106.260002 270300 106.260002
2014-09-19 106.870003 106.919998 104.739998 104.790001 897200 104.790001
2014-09-22 104.989998 105.199997 103.239998 103.400002 444300 103.400002
2014-09-23 102.959999 103.150002 102.230003 102.739998 643600 102.739998
2014-09-24 102.529999 103.279999 101.449997 103.080002 401000 103.080002
2014-09-25 103.120003 103.309998 101.589996 102.07 490900 102.07
