"Index" "BH.Open" "BH.High" "BH.Low" "BH.Close" "BH.Volume" "BH.Adjusted"
2014-06-20 423.660019 423.850026 417.420006 418.700028 9300 388.765114
2014-06-23 419.920034 423.880001 414.269991 419.750011 6000 389.740029
2014-06-24 420.000001 424.200031 416.620012 416.640029 6800 386.852394
2014-06-25 417.799986 426.870017 417.400022 423.220023 6800 392.961953
2014-06-26 423.720002 424.940009 420.870002 424.750002 5700 394.382546
2014-06-27 423.249998 427.96 420.000001 424.99 9200 394.605385
2014-06-30 424.99 425.640019 419.000009 422.97 5200 392.729805
2014-07-01 425.660003 429.700034 423.500021 427.579986 7200 397.010201
2014-07-02 426.800009 429.000024 420.399997 422.099999 4200 391.922005
2014-07-03 424.399997 428.480028 421.720019 426.000016 3000 395.54319
2014-07-07 425.410013 427.800001 416.319999 416.500013 9400 386.722389
2014-07-08 415.00001 421.230031 414.000018 418.750019 7100 388.811531
2014-07-09 419.459989 421.970009 415.809995 419.66002 2600 389.656472
2014-07-10 410.100001 415.95001 410.100001 414.499997 3800 384.865364
2014-07-11 414.230024 414.230024 408.010027 410.000019 4200 380.687111
2014-07-14 410.000019 412.150009 405.119994 411.78002 6700 382.339852
2014-07-15 410.149993 414.000018 405.500007 412.570022 9000 383.073372
2014-07-16 416.920026 425.000024 415.00001 423.400005 9400 393.129067
2014-07-17 422.880009 426.240014 419.310015 419.310015 7200 389.33149
2014-07-18 419.240007 425.530012 419.000009 423.150015 4500 392.89695
2014-07-21 423.170032 423.329997 416.999993 418.600012 2900 388.672249
2014-07-22 424.20999 435.000006 422.310022 430.000015 15600 399.25721
2014-07-23 432.220013 435.000006 430.210005 432.45002 5400 401.532052
2014-07-24 433.349996 435.790008 428.100015 429.700034 3000 398.978676
2014-07-25 428.100015 434.420028 428.100015 430.410004 5100 399.637887
2014-07-28 427.150015 431.810025 426.019999 428.609986 9200 397.966561
2014-07-29 430.670018 431.900016 427.369996 428.53002 13400 397.892312
2014-07-30 431.999999 434.990015 429.700034 431.100023 11100 400.278573
2014-07-31 429.69001 435.369995 425.010016 425.010016 11600 394.62397
2014-08-01 427.999999 428.310005 421.749994 422.179999 5300 391.996285
2014-08-04 423.140024 428.500012 423.01 427.990008 3400 397.390908
2014-08-05 427.680002 427.940016 422.42003 423.260023 3300 392.999092
2014-08-06 423.01 429.359988 422.000017 425.970008 1800 395.515328
2014-08-07 426.430021 430.490003 425.109999 427.000008 4000 396.471688
