"Index" "USD.IDR"
2015-06-04 13280.25
2015-06-05 13333.55
2015-06-06 13396.6
2015-06-07 13396.85
2015-06-08 13369.6
2015-06-09 13333.35
2015-06-10 13297.9
2015-06-11 13289.1
2015-06-12 13315.6
2015-06-13 13324.45
2015-06-14 13342.2
2015-06-15 13324.45
2015-06-16 13342.2
2015-06-17 13342.2
2015-06-18 13315.6
2015-06-19 13324.45
2015-06-20 13324.45
2015-06-21 13335
2015-06-22 13297.9
2015-06-23 13280.25
2015-06-24 13297.9
2015-06-25 13315.8
2015-06-26 13324.45
2015-06-27 13306.75
2015-06-28 13306.75
2015-06-29 13351.15
2015-06-30 13342.2
2015-07-01 13333.35
2015-07-02 13324.45
2015-07-03 13333.35
2015-07-04 13333.35
2015-07-05 13342.2
2015-07-06 13351.15
2015-07-07 13342.3
2015-07-08 13351.15
2015-07-09 13333.35
2015-07-10 13297.9
2015-07-11 13315
2015-07-12 13307.5
2015-07-13 13297.9
2015-07-14 13324.45
2015-07-15 13333.35
2015-07-16 13351.15
2015-07-17 13351.15
2015-07-18 13377.95
2015-07-19 13360.05
2015-07-20 13386.9
2015-07-21 13369
2015-07-22 13386.9
2015-07-23 13413.8
2015-07-24 13459
2015-07-25 13449.95
2015-07-26 13440.9
2015-07-27 13477.15
2015-07-28 13459.05
2015-07-29 13442.45
2015-07-30 13486.25
2015-07-31 13478.25
2015-08-01 13531.9
2015-08-02 13531.9
2015-08-03 13504.9
2015-08-04 13495.3
2015-08-05 13513.55
2015-08-06 13531.8
2015-08-07 13541
2015-08-08 13531.8
2015-08-09 13531.8
2015-08-10 13531.8
2015-08-11 13578.25
2015-08-12 13681.15
2015-08-13 13775.05
2015-08-14 13775.05
2015-08-15 13842.75
2015-08-16 13842.75
2015-08-17 13842.3
2015-08-18 13822.8
2015-08-19 13832.2
2015-08-20 13822.25
2015-08-21 13947.4
2015-08-22 13920.85
2015-08-23 13920.85
2015-08-24 13853.05
2015-08-25 14046.7
2015-08-26 14117.4
2015-08-27 14167.15
2015-08-28 14038.15
2015-08-29 14107.2
2015-08-30 14107.2
2015-08-31 14057.3
2015-09-01 14065.7
2015-09-02 14115.5
2015-09-03 14195.65
2015-09-04 14206.35
2015-09-05 14157.4
2015-09-06 14157.4
2015-09-07 14196.5
2015-09-08 14275.7
2015-09-09 14255.35
2015-09-10 14285.8
2015-09-11 14296.3
2015-09-12 14276.75
2015-09-13 14276.75
2015-09-14 14286.15
2015-09-15 14388.5
2015-09-16 14430.05
2015-09-17 14451.15
2015-09-18 14359.15
2015-09-19 14419.6
2015-09-20 14419.6
2015-09-21 14461.4
2015-09-22 14545.55
2015-09-23 14641.4
2015-09-24 14706.05
2015-09-25 14673.7
2015-09-26 14630.65
2015-09-27 14641.35
2015-09-28 14684.6
2015-09-29 14674.15
2015-09-30 14652.1
2015-10-01 14673.6
2015-10-02 14663
2015-10-03 14727.85
2015-10-04 14727.85
2015-10-05 14588.85
2015-10-06 14463.05
2015-10-07 14135.1
2015-10-08 13822.5
2015-10-09 13643.8
2015-10-10 13487.55
2015-10-11 13487.55
2015-10-12 13416.45
2015-10-13 13496.5
2015-10-14 13596.35
2015-10-15 13505.45
2015-10-16 13505.8
2015-10-17 13495.4
2015-10-18 13495.4
2015-10-19 13541.25
2015-10-20 13670.7
2015-10-21 13764.7
2015-10-22 13596.25
2015-10-23 13568.6
2015-10-24 13614.85
2015-10-25 13614.85
2015-10-26 13624.2
2015-10-27 13642.6
2015-10-28 13596.25
2015-10-29 13642.65
2015-10-30 13642.65
2015-10-31 13736.35
2015-11-01 13755.2
