"Index" "M6J.Open" "M6J.High" "M6J.Low" "M6J.Close" "M6J.Volume" "M6J.Adjusted"
2014-07-14 0.103 0.103 0.103 0.103 0 0.103
2014-07-15 0.105 0.105 0.105 0.105 0 0.105
2014-07-16 0.104 0.104 0.104 0.104 0 0.104
2014-07-17 0.119 0.119 0.119 0.119 0 0.119
2014-07-18 0.119 0.119 0.119 0.119 0 0.119
2014-07-21 0.112 0.112 0.112 0.112 0 0.112
2014-07-22 0.125 0.125 0.125 0.125 0 0.125
2014-07-23 0.118 0.118 0.118 0.118 0 0.118
2014-07-24 0.119 0.119 0.119 0.119 0 0.119
2014-07-25 0.116 0.116 0.116 0.116 0 0.116
2014-07-28 0.125 0.125 0.125 0.125 0 0.125
2014-07-29 0.135 0.135 0.135 0.135 0 0.135
2014-07-30 0.128 0.128 0.128 0.128 0 0.128
2014-07-31 0.131 0.131 0.131 0.131 0 0.131
2014-08-01 0.138 0.138 0.138 0.138 0 0.138
2014-08-04 0.13 0.13 0.13 0.13 0 0.13
2014-08-05 0.138 0.138 0.138 0.138 0 0.138
2014-08-06 0.123 0.123 0.123 0.123 0 0.123
2014-08-07 0.125 0.125 0.125 0.125 0 0.125
2014-08-08 0.125 0.125 0.125 0.125 0 0.125
2014-08-11 0.12 0.12 0.12 0.12 0 0.12
2014-08-12 0.117 0.117 0.117 0.117 0 0.117
2014-08-13 0.128 0.128 0.128 0.128 0 0.128
2014-08-14 0.135 0.135 0.135 0.135 0 0.135
2014-08-15 0.135 0.135 0.135 0.135 0 0.135
2014-08-18 0.132 0.132 0.132 0.132 0 0.132
2014-08-19 0.139 0.139 0.139 0.139 0 0.139
2014-08-20 0.153 0.153 0.153 0.153 0 0.153
2014-08-21 0.156 0.156 0.156 0.156 0 0.156
2014-08-22 0.145 0.145 0.145 0.145 0 0.145
2014-08-25 0.15 0.15 0.15 0.15 0 0.15
2014-08-26 0.143 0.143 0.143 0.143 0 0.143
2014-08-27 0.148 0.148 0.148 0.148 0 0.148
2014-08-28 0.138 0.138 0.138 0.138 0 0.138
2014-08-29 0.149 0.149 0.149 0.149 0 0.149
2014-09-01 0.16 0.16 0.16 0.16 0 0.16
2014-09-02 0.137 0.137 0.137 0.137 0 0.137
2014-09-03 0.137 0.137 0.137 0.137 0 0.137
2014-09-04 0.138 0.138 0.138 0.138 0 0.138
2014-09-05 0.144 0.144 0.144 0.144 0 0.144
2014-09-08 0.158 0.158 0.158 0.158 0 0.158
2014-09-09 0.158 0.158 0.158 0.158 0 0.158
2014-09-10 0.145 0.145 0.145 0.145 0 0.145
2014-09-11 0.149 0.149 0.149 0.149 0 0.149
2014-09-12 0.149 0.149 0.149 0.149 0 0.149
2014-09-15 0.143 0.143 0.143 0.143 0 0.143
2014-09-16 0.137 0.137 0.137 0.137 0 0.137
2014-09-17 0.145 0.145 0.145 0.145 0 0.145
2014-09-18 0.15 0.15 0.15 0.15 0 0.15
2014-09-19 0.146 0.146 0.146 0.146 0 0.146
2014-09-22 0.15 0.15 0.15 0.15 0 0.15
2014-09-23 0.143 0.143 0.143 0.143 0 0.143
2014-09-24 0.138 0.138 0.138 0.138 0 0.138
2014-09-25 0.14 0.14 0.14 0.14 0 0.14
