"Index" "KRU.Open" "KRU.High" "KRU.Low" "KRU.Close" "KRU.Volume" "KRU.Adjusted"
2014-07-02 93.110001 93.110001 89.290001 89.339996 2600 88.53583
2014-07-03 90.889999 92.309998 90.889999 91.790001 1200 90.963781
2014-07-07 90.5 90.970001 90.5 90.839996 900 90.022328
2014-07-08 91.970001 91.970001 87.339996 87.739998 2200 86.950233
2014-07-09 87.720001 88.010002 87.32 87.32 900 86.534015
2014-07-10 84.230003 85.279999 84.230003 85.220001 3900 84.452919
2014-07-11 84.290001 84.290001 84.290001 84.290001 800 83.53129
2014-07-14 86.400002 86.400002 85.830002 85.980003 500 85.206081
2014-07-15 86.32 87 86.300003 87 600 86.216896
2014-07-16 87.099998 87.099998 87.099998 87.099998 1100 86.315994
2014-07-17 81.790001 81.790001 80.599998 80.599998 2200 79.874502
2014-07-18 80.5 82.760002 80.110001 81.800003 3000 81.063705
2014-07-21 80.5 81 80.230003 81 700 80.270903
2014-07-22 81.129997 81.779999 81.099998 81.699997 1600 80.964599
2014-07-23 80.139999 80.139999 79.349998 79.68 2000 78.962785
2014-07-24 81 81.900002 81 81.900002 1200 81.162804
2014-07-25 81.830002 81.830002 81.830002 81.830002 300 81.093434
2014-07-28 81.830002 81.830002 81.830002 81.830002 0 81.093434
2014-07-29 81.830002 81.830002 81.830002 81.830002 0 81.093434
2014-07-30 81.980003 82.25 81.129997 82.25 3200 81.509652
2014-07-31 79.75 80.139999 79.690002 80.139999 1000 79.418644
2014-08-01 77.279999 79.25 76.209999 76.410004 5800 75.722222
2014-08-04 76.190002 76.190002 76.190002 76.190002 300 75.504201
2014-08-05 75.93 77.25 74.239998 76.379997 3500 75.692486
2014-08-06 78.379997 78.379997 78.349998 78.379997 500 77.674484
2014-08-07 76 76 75.620003 75.629997 900 74.949237
2014-08-08 76 76.760002 75.879997 76.760002 1100 76.06907
2014-08-11 80.279999 80.279999 77.650002 77.650002 2900 76.951059
2014-08-12 77.650002 77.650002 77.650002 77.650002 0 76.951059
2014-08-13 78.800003 78.800003 78.739998 78.739998 400 78.031244
2014-08-14 78.699997 78.699997 78.699997 78.699997 100 77.991603
2014-08-15 79.099998 79.099998 76.230003 76.230003 1100 75.543842
2014-08-18 78.919998 80.260002 78.919998 79.970001 1200 79.250176
2014-08-19 80.5 80.540001 80.5 80.540001 1700 79.815045
