"Index" "HY.Open" "HY.High" "HY.Low" "HY.Close" "HY.Volume" "HY.Adjusted"
2014-05-06 91.940002 91.980003 89.110001 89.260002 82500 87.22243
2014-05-07 89.690002 89.809998 86.110001 89.5 95400 87.456949
2014-05-08 89.519997 90.110001 86.32 86.769997 60400 84.789264
2014-05-09 86.199997 88.470001 85.459999 88.160004 60400 86.147541
2014-05-12 88.5 91.129997 86.779999 90.410004 79100 88.34618
2014-05-13 90.260002 91.290001 86.349998 86.480003 130900 84.505891
2014-05-14 86.480003 86.480003 83.260002 83.470001 55700 81.564599
2014-05-15 82.940002 83.739998 80.900002 83.199997 83900 81.300758
2014-05-16 83.18 85.650002 81.690002 85.650002 67900 83.694836
2014-05-19 85.559998 87.410004 83.949997 85.580002 49300 83.626434
2014-05-20 85.199997 85.199997 82.459999 82.760002 118600 80.870808
2014-05-21 82.989998 83.279999 82.050003 82.959999 51400 81.066239
2014-05-22 83.32 85.209999 82.290001 84.080002 44900 82.160675
2014-05-23 84.300003 85.889999 84.050003 85.370003 41800 83.421229
2014-05-27 85.839996 87.370003 84.730003 85.540001 38700 83.587346
2014-05-28 84.870003 86.830002 84.440002 85.32 26200 83.372367
2014-05-29 84.989998 85.519997 84.239998 85.18 31600 83.504712
2014-05-30 85.260002 85.260002 83.75 84.080002 48800 82.426348
2014-06-02 84.080002 84.919998 82.669998 84.620003 93100 82.955728
2014-06-03 83.989998 84.779999 82.699997 83.669998 59400 82.024408
2014-06-04 83 86.349998 83 85.029999 46000 83.357661
2014-06-05 85.470001 88.040001 84.449997 87.290001 46700 85.573214
2014-06-06 87.75 88.449997 86.739998 87.330002 65900 85.612428
2014-06-09 87.07 89.18 87.07 88.510002 40600 86.769221
2014-06-10 88.43 89.849998 87.529999 89.699997 46400 87.935811
2014-06-11 89.010002 89.93 87.919998 88.489998 56600 86.74961
2014-06-12 88.480003 88.75 85.980003 86.25 48600 84.553667
2014-06-13 86.239998 86.870003 85.419998 86.349998 41100 84.651699
2014-06-16 85.860001 86.510002 85.5 85.910004 38400 84.220358
2014-06-17 85.470001 87.75 85.419998 87.050003 30000 85.337936
2014-06-18 86.699997 88.949997 86.129997 88.120003 36700 86.386892
2014-06-19 89 89.43 87.18 88 28200 86.269249
2014-06-20 88.169998 89.889999 87.57 88.339996 82700 86.602558
2014-06-23 88.339996 88.739998 86.779999 88.089996 59600 86.357475
2014-06-24 87.989998 89.160004 87.25 87.68 35500 85.955543
2014-06-25 86.989998 88.089996 86.459999 87.370003 32100 85.651642
2014-06-26 88.089996 88.089996 86.120003 87.300003 28100 85.583019
2014-06-27 86.739998 88.43 86.589996 87.970001 80500 86.23984
2014-06-30 87.480003 89.080002 87.349998 88.540001 51900 86.798629
2014-07-01 88.860001 91.150002 88.860001 90.389999 117100 88.612243
2014-07-02 90.120003 90.400002 87.57 88.129997 55800 86.396689
2014-07-03 88.279999 90.800003 88.209999 89.989998 48200 88.220108
2014-07-07 89.099998 89.139999 86.660004 86.730003 51000 85.02423
2014-07-08 86.150002 86.730003 85.019997 85.519997 51100 83.838021
2014-07-09 85.830002 85.860001 84.110001 84.57 42800 82.906709
2014-07-10 82.660004 84.279999 82.139999 83.639999 87300 81.994999
2014-07-11 83.510002 85.480003 83.040001 85.330002 53000 83.651763
2014-07-14 86.160004 86.769997 85.75 86.349998 40600 84.651699
2014-07-15 86.239998 87.660004 86.239998 86.879997 68900 85.171274
2014-07-16 87.349998 88.610001 86.610001 88.160004 89900 86.426106
2014-07-17 87.68 88.43 84.889999 85.360001 60400 83.681172
2014-07-18 85.269997 87.190002 85.269997 86.93 42800 85.220294
2014-07-21 86.349998 87.459999 85.629997 86.730003 53200 85.02423
2014-07-22 87.010002 88.830002 86.230003 88.059998 28000 86.328067
2014-07-23 88.269997 88.919998 88 88.660004 36900 86.916272
2014-07-24 88.629997 88.989998 87.910004 88.68 55700 86.935875
2014-07-25 87.690002 88.510002 87.370003 87.459999 67600 85.739869
2014-07-28 87.419998 87.959999 86.410004 87.459999 33400 85.739869
2014-07-29 87.459999 88.379997 87.459999 87.660004 54700 85.93594
2014-07-30 87.75 88.720001 87 88.709999 50800 86.965284
2014-07-31 87.260002 87.260002 78.959999 80.099998 201000 78.524622
2014-08-01 79.82 80.379997 75.68 76.120003 124600 74.622903
2014-08-04 76.349998 77.480003 75.620003 77.139999 82900 75.622839
2014-08-05 76.510002 77.019997 74.650002 75 96900 73.524928
2014-08-06 74.309998 75.860001 74.309998 75.019997 104900 73.544531
2014-08-07 75.400002 75.400002 72.550003 72.900002 108700 71.466232
2014-08-08 72.860001 73.129997 71.699997 72.199997 190700 70.779994
2014-08-11 72.599998 74.360001 72.379997 73.449997 84900 72.00541
2014-08-12 73.010002 74.879997 72.839996 74.470001 84700 73.005353
2014-08-13 74.639999 75.690002 74.300003 74.809998 50000 73.338663
2014-08-14 74.959999 75.889999 74.309998 75.279999 155900 73.79942
2014-08-15 76.25 76.82 73.57 74.540001 88100 73.073976
2014-08-18 75.489998 76.099998 75.190002 75.709999 73600 74.220963
2014-08-19 75.82 76.940002 75.800003 76.459999 50200 74.956212
2014-08-20 76 76.970001 75.230003 76.440002 77100 74.936609
2014-08-21 76.720001 77.93 75.629997 77.510002 81900 75.985564
2014-08-22 77.5 78.199997 77.129997 77.449997 37200 75.926739
2014-08-25 77.900002 78.279999 77.160004 77.169998 68300 75.652248
2014-08-26 77.489998 77.769997 77.029999 77.330002 46500 75.809104
2014-08-27 77.480003 77.639999 76.589996 76.690002 38800 75.181692
2014-08-28 76.150002 77.150002 75.830002 76.970001 49200 75.727734
2014-08-29 77.080002 77.510002 76.5 77.089996 85100 75.845793
2014-09-02 77.150002 77.529999 76.25 77.220001 87900 75.973699
2014-09-03 77.550003 78.449997 77.349998 77.580002 119500 76.32789
2014-09-04 77.989998 79.440002 77.82 78.540001 51600 77.272395
2014-09-05 78.529999 78.910004 77.980003 77.980003 40100 76.721435
2014-09-08 77.809998 78.559998 76.769997 77.089996 42400 75.845793
2014-09-09 77.199997 77.540001 76.269997 76.989998 62100 75.747408
2014-09-10 76.839996 77.989998 76.650002 77.690002 59000 76.436115
2014-09-11 77.370003 78.739998 77.370003 78.010002 63600 76.75095
2014-09-12 78.019997 78.599998 77.169998 78.239998 57700 76.977234
2014-09-15 78.089996 78.089996 77 77.169998 45600 75.924503
2014-09-16 77.300003 77.839996 76.739998 77.529999 45900 76.278694
2014-09-17 77.889999 77.889999 76.800003 77.440002 48400 76.19015
2014-09-18 77.629997 77.769997 77.099998 77.550003 24400 76.298375
2014-09-19 77.660004 77.800003 75.010002 75.300003 98900 74.084689
2014-09-22 74.970001 75.190002 73.349998 73.650002 135500 72.461318
2014-09-23 73.220001 74.709999 73.220001 74.169998 83200 72.972922
2014-09-24 74.050003 74.290001 73.220001 73.830002 36200 72.638413
2014-09-25 73.839996 73.839996 72.139999 72.650002 80200 71.477458
2014-09-26 72.709999 73.239998 72.669998 72.980003 29700 71.802133
2014-09-29 72.110001 73.480003 71.459999 73.150002 64100 71.969388
2014-09-30 72.839996 73.449997 71.57 71.620003 69800 70.464083
2014-10-01 71.220001 71.940002 70.019997 71.75 88700 70.591982
2014-10-02 72.730003 72.949997 71.199997 72.18 52100 71.015042
2014-10-03 72.860001 73.18 71.93 72.160004 32700 70.995368
2014-10-06 72.540001 73.82 72.32 72.919998 41200 71.743097
2014-10-07 72.25 72.379997 70.07 70.339996 76300 69.204735
2014-10-08 69.879997 72.029999 68.790001 71.980003 56100 70.818273
2014-10-09 72.099998 72.099998 69.279999 69.32 43000 68.201201
2014-10-10 68.870003 70.400002 68.019997 68.300003 99700 67.197667
2014-10-13 68.599998 70.32 68.599998 68.75 84500 67.640401
2014-10-14 69.440002 71.449997 68.900002 69.709999 78400 68.584906
2014-10-15 68.690002 72.339996 67.790001 71.949997 102900 70.788751
2014-10-16 70.910004 73.25 70.559998 72.029999 77600 70.867462
2014-10-17 73.139999 73.139999 70.82 71.779999 64400 70.621496
2014-10-20 71.669998 71.790001 69.910004 70.629997 52000 69.490055
2014-10-21 70.800003 73.580002 70.300003 73.300003 59600 72.116968
2014-10-22 73.690002 73.760002 70.980003 71.300003 70200 70.149248
2014-10-23 71.809998 74.169998 71.769997 73.360001 69000 72.175998
2014-10-24 73.650002 73.779999 72.919998 73.260002 37600 72.077613
2014-10-27 72.839996 72.980003 71.050003 71.809998 61400 70.651011
2014-10-28 72.040001 75.32 72.040001 74.790001 73000 73.582918
2014-10-29 74.879997 75.790001 73.730003 74.279999 58200 73.081147
2014-10-30 75.790001 81.150002 71.279999 80.099998 188200 78.807214
2014-10-31 77.68 79.099998 73.989998 78.489998 157500 77.223199
