"Index" "MKC.Open" "MKC.High" "MKC.Low" "MKC.Close" "MKC.Volume" "MKC.Adjusted"
2014-12-04 73.400002 73.669998 72.769997 73.040001 376100 71.566803
2014-12-05 73.089996 73.529999 72.82 73.330002 383200 71.850955
2014-12-08 73.470001 73.779999 72.879997 73.260002 435500 71.782367
2014-12-09 72.860001 73.419998 72.540001 73.239998 494600 71.762767
2014-12-10 73.269997 73.519997 72.379997 72.489998 458700 71.027894
2014-12-11 72.629997 73.68 72.629997 73.279999 524600 71.801961
2014-12-12 72.779999 73.459999 72.419998 72.480003 499900 71.018101
2014-12-15 72.5 73.050003 71.550003 71.849998 564100 70.400803
2014-12-16 71.839996 73.349998 71.510002 71.879997 661700 70.430197
2014-12-17 72.07 73.019997 71.769997 72.980003 503100 71.508016
2014-12-18 73.5 74.279999 73.349998 74.279999 669100 72.781791
2014-12-19 74.68 76.559998 74.199997 76.290001 2337800 74.751252
2014-12-22 76.25 76.690002 75.839996 76.57 639700 75.025603
2014-12-23 76.900002 77.080002 76.519997 76.779999 323800 75.231367
2014-12-24 76.790001 76.82 76.389999 76.629997 170800 75.084391
2014-12-26 76.620003 77.010002 76.440002 76.559998 244700 75.015803
2014-12-29 76.050003 76.199997 75.599998 75.93 291100 74.789259
2014-12-30 75.870003 76.379997 75.610001 75.849998 381700 74.710459
2014-12-31 75.900002 76.019997 74.269997 74.300003 539900 73.18375
2015-01-02 74.519997 74.980003 73.300003 73.949997 463200 72.839003
2015-01-05 73.699997 73.93 72.599998 72.699997 672600 71.607782
2015-01-06 72.970001 73.209999 72.050003 72.370003 1126300 71.282746
2015-01-07 72.779999 74.620003 72.540001 74.300003 1096100 73.18375
2015-01-08 74.580002 75.639999 74.480003 75.519997 397800 74.385415
2015-01-09 75.57 75.720001 74.589996 74.629997 378700 73.508787
2015-01-12 73.959999 74.849998 73.459999 73.660004 421700 72.553366
2015-01-13 74.059998 74.529999 73.129997 73.849998 704200 72.740506
2015-01-14 73.639999 73.93 73.040001 73.860001 695900 72.750358
2015-01-15 74.25 74.599998 73.730003 73.919998 724400 72.809454
2015-01-16 74.010002 74.580002 73.620003 74.360001 746800 73.242847
2015-01-20 74.559998 75.690002 74.290001 75.669998 775700 74.533163
2015-01-21 75.379997 75.620003 74.589996 74.980003 933700 73.853535
2015-01-22 75.410004 75.529999 74.540001 75.18 796500 74.050527
2015-01-23 74.989998 75.029999 74.080002 74.18 703400 73.06555
2015-01-26 74.059998 74.650002 73.699997 74.32 648100 73.203447
2015-01-27 73.599998 73.860001 72.800003 72.919998 1477300 71.824478
2015-01-28 70.839996 74.339996 70.730003 71.860001 1752400 70.780405
2015-01-29 71.860001 72.660004 70.709999 72.599998 1071000 71.509286
2015-01-30 72.029999 72.209999 71.18 71.389999 1104000 70.317465
2015-02-02 71.43 72.669998 70.699997 72.620003 868200 71.52899
2015-02-03 72.980003 73.43 72.760002 73.419998 554700 72.316966
2015-02-04 73.32 74.160004 73.169998 73.690002 686800 72.582914
2015-02-05 73.800003 74.010002 73.419998 73.919998 467100 72.809454
2015-02-06 73.900002 74.760002 73.540001 74.339996 808900 73.223143
2015-02-09 74.129997 74.309998 73.459999 73.769997 512100 72.661707
