"Index" "H2L.Open" "H2L.High" "H2L.Low" "H2L.Close" "H2L.Volume" "H2L.Adjusted"
2014-10-27 22.628 22.628 22.628 22.628 0 22.628
2014-10-28 22.604 22.604 22.604 22.604 0 22.604
2014-10-29 23.353 23.353 23.353 23.353 0 23.353
2014-10-30 23.851 23.851 23.851 23.851 0 23.851
2014-10-31 24.681 24.681 24.681 24.681 0 24.681
2014-11-03 25.003 25.257 25.003 25.257 0 25.257
2014-11-04 25.35 25.35 25.35 25.35 0 25.35
2014-11-05 24.893 24.893 24.893 24.893 0 24.893
2014-11-06 25.027 25.027 25.027 25.027 0 25.027
2014-11-07 25.016 25.016 25.016 25.016 0 25.016
2014-11-10 25.602 25.602 25.602 25.602 0 25.602
2014-11-11 26.108 26.108 26.108 26.108 0 26.108
2014-11-12 27.348 27.348 27.348 27.348 0 27.348
2014-11-13 28.278 28.278 28.278 28.278 0 28.278
2014-11-14 28.092 28.092 28.092 28.092 0 28.092
2014-11-17 27.381 27.381 27.381 27.381 0 27.381
2014-11-18 27.033 27.033 27.033 27.033 0 27.033
2014-11-19 27.22 27.22 27.22 27.22 0 27.22
2014-11-20 26.744 26.744 26.744 26.744 0 26.744
2014-11-21 27.09 27.09 27.09 27.09 0 27.09
2014-11-24 27.189 27.189 27.189 27.189 0 27.189
2014-11-25 27.532 27.532 27.532 27.532 0 27.532
2014-11-26 26.965 26.965 26.965 26.965 0 26.965
2014-11-27 27.264 27.264 27.264 27.264 0 27.264
2014-11-28 27.367 27.367 27.367 27.367 0 27.367
2014-12-01 27.509 27.509 27.509 27.509 0 27.509
2014-12-02 27.121 27.121 27.121 27.121 0 27.121
2014-12-03 28.035 28.035 28.035 28.035 0 28.035
2014-12-04 28.596 28.596 28.596 28.596 0 28.596
2014-12-05 27.916 27.916 27.916 27.916 0 27.916
2014-12-08 28.771 28.771 28.771 28.771 0 28.771
2014-12-09 28.525 28.525 28.525 28.525 0 28.525
2014-12-10 28.173 28.173 28.173 28.173 0 28.173
2014-12-11 27.555 27.555 27.555 27.555 0 27.555
2014-12-12 28.184 28.184 28.184 28.184 0 28.184
2014-12-15 27.06 27.06 27.06 27.06 0 27.06
2014-12-16 26.807 26.807 26.807 26.807 0 26.807
2014-12-17 26.921 26.921 26.921 26.921 0 26.921
2014-12-18 28.731 28.731 28.731 28.731 0 28.731
2014-12-19 29.013 29.013 29.013 29.013 0 29.013
2014-12-22 28.376 28.376 28.376 28.376 0 28.376
2014-12-23 28.551 28.551 28.551 28.551 0 28.551
2014-12-24 28.551 28.551 28.551 28.551 0 28.551
2014-12-25 28.551 28.551 28.551 28.551 0 28.551
2014-12-26 28.551 28.551 28.551 28.551 0 28.551
2014-12-29 30.089 30.089 30.089 30.089 0 30.089
2014-12-30 29.791 29.791 29.791 29.791 0 29.791
2014-12-31 29.791 29.791 29.791 29.791 0 29.791
2015-01-01 29.791 29.791 29.791 29.791 0 29.791
2015-01-02 29.598 29.598 29.598 29.598 0 29.598
2015-01-05 29.844 29.844 29.844 29.844 0 29.844
2015-01-06 29.296 29.296 29.296 29.296 0 29.296
2015-01-07 28.324 28.324 28.324 28.324 0 28.324
2015-01-08 28.786 28.786 28.786 28.786 0 28.786
2015-01-09 28.939 28.939 28.939 28.939 0 28.939
2015-01-12 28.864 28.864 28.864 28.864 0 28.864
2015-01-13 28.572 28.572 28.572 28.572 0 28.572
2015-01-14 28.403 28.403 28.403 28.403 0 28.403
2015-01-15 29.157 29.157 29.157 29.157 0 29.157
2015-01-16 29.477 29.477 29.477 29.477 0 29.477
2015-01-19 30.659 30.659 30.659 30.659 0 30.659
2015-01-20 30.648 30.648 30.648 30.648 0 30.648
2015-01-21 30.667 30.667 30.667 30.667 0 30.667
2015-01-22 31.039 31.641 31.039 31.641 100 31.641
2015-01-23 33.072 33.072 33.072 33.072 0 33.072
2015-01-26 34.132 34.132 34.132 34.132 0 34.132
