"Index" "USD.SGD"
2015-07-19 1.3677
2015-07-20 1.3709
2015-07-21 1.3676
2015-07-22 1.3647
2015-07-23 1.3672
2015-07-24 1.3716
2015-07-25 1.3717
2015-07-26 1.3717
2015-07-27 1.3697
2015-07-28 1.3664
2015-07-29 1.3651
2015-07-30 1.3727
2015-07-31 1.3731
2015-08-01 1.3723
2015-08-02 1.3723
2015-08-03 1.3754
2015-08-04 1.3784
2015-08-05 1.3843
2015-08-06 1.3845
2015-08-07 1.3853
2015-08-08 1.3845
2015-08-09 1.3845
2015-08-10 1.3845
2015-08-11 1.3966
2015-08-12 1.4062
2015-08-13 1.3973
2015-08-14 1.4027
2015-08-15 1.4068
2015-08-16 1.4068
2015-08-17 1.4082
2015-08-18 1.4057
2015-08-19 1.4037
2015-08-20 1.4034
2015-08-21 1.4062
2015-08-22 1.4083
2015-08-23 1.4083
2015-08-24 1.4115
2015-08-25 1.4038
2015-08-26 1.4041
2015-08-27 1.4016
2015-08-28 1.4041
2015-08-29 1.4087
2015-08-30 1.4087
2015-08-31 1.4116
2015-09-01 1.4105
2015-09-02 1.4146
2015-09-03 1.4164
2015-09-04 1.4192
2015-09-05 1.4246
2015-09-06 1.4246
2015-09-07 1.4264
2015-09-08 1.423
2015-09-09 1.4156
2015-09-10 1.4173
2015-09-11 1.4133
2015-09-12 1.4121
2015-09-13 1.4121
2015-09-14 1.4086
2015-09-15 1.4025
2015-09-16 1.3997
2015-09-17 1.3978
2015-09-18 1.3962
2015-09-19 1.3998
2015-09-20 1.3998
2015-09-21 1.4071
2015-09-22 1.4149
2015-09-23 1.4224
2015-09-24 1.4255
2015-09-25 1.4242
2015-09-26 1.4253
2015-09-27 1.4253
2015-09-28 1.4273
2015-09-29 1.4295
2015-09-30 1.4248
2015-10-01 1.4267
2015-10-02 1.4333
2015-10-03 1.4328
2015-10-04 1.4328
2015-10-05 1.4264
2015-10-06 1.4232
2015-10-07 1.4156
2015-10-08 1.4109
2015-10-09 1.3984
2015-10-10 1.3948
2015-10-11 1.3948
2015-10-12 1.3987
2015-10-13 1.4011
2015-10-14 1.3896
2015-10-15 1.378
2015-10-16 1.3823
2015-10-17 1.3841
2015-10-18 1.3841
2015-10-19 1.3847
2015-10-20 1.3896
2015-10-21 1.3924
2015-10-22 1.3933
2015-10-23 1.3916
2015-10-24 1.3978
2015-10-25 1.3978
2015-10-26 1.3942
2015-10-27 1.3935
2015-10-28 1.3963
2015-10-29 1.4036
2015-10-30 1.4013
2015-10-31 1.4005
2015-11-01 1.4005
