"Index" "MBE.Open" "MBE.High" "MBE.Low" "MBE.Close" "MBE.Volume" "MBE.Adjusted"
2014-11-17 35.6 35.6 35.6 35.6 0 35.42
2014-11-18 34.636 34.636 34.636 34.636 0 34.461
2014-11-19 35.322 35.322 35.322 35.322 0 35.143
2014-11-20 34.14 34.14 34.14 34.14 0 33.967
2014-11-21 34.381 34.381 34.381 34.381 0 34.207
2014-11-24 34.596 34.596 34.596 34.596 0 34.421
2014-11-25 34.64 34.64 34.64 34.64 0 34.465
2014-11-26 34.052 34.052 34.052 34.052 0 33.88
2014-11-27 33.654 33.654 33.654 33.654 0 33.484
2014-11-28 33.801 33.801 33.801 33.801 0 33.63
2014-12-01 32.914 32.914 32.914 32.914 0 32.747
2014-12-02 32.718 32.718 32.718 32.718 0 32.552
2014-12-03 32.446 32.446 32.446 32.446 0 32.282
2014-12-04 32.987 32.987 32.987 32.987 0 32.82
2014-12-05 32.467 32.467 32.467 32.467 0 32.303
2014-12-08 32.955 32.955 32.955 32.955 0 32.788
2014-12-09 32.181 32.181 32.181 32.181 0 32.018
2014-12-10 31.777 31.777 31.777 31.777 0 31.616
2014-12-11 30.562 31.299 30.562 31.299 0 31.141
2014-12-12 30.633 30.633 30.633 30.633 0 30.478
2014-12-15 30.075 30.075 30.075 30.075 0 29.923
2014-12-16 29.582 29.582 29.582 29.582 0 29.432
2014-12-17 29.989 29.989 29.989 29.989 0 29.837
2014-12-18 31.292 31.292 31.292 31.292 0 31.134
2014-12-19 31.68 31.68 31.68 31.68 0 31.52
2014-12-22 30.764 30.764 30.764 30.764 0 30.608
2014-12-23 32.291 32.291 32.291 32.291 0 32.127
2014-12-24 32.291 32.291 32.291 32.291 0 32.127
2014-12-25 32.291 32.291 32.291 32.291 0 32.127
2014-12-26 32.291 32.291 32.291 32.291 0 32.127
2014-12-29 33.647 33.647 33.647 33.647 0 33.477
2014-12-30 33.175 33.175 33.175 33.175 0 33.007
2014-12-31 33.175 33.175 33.175 33.175 0 33.007
2015-01-01 33.175 33.175 33.175 33.175 0 33.007
2015-01-02 33.576 33.576 33.576 33.576 0 33.406
2015-01-05 33.705 33.705 33.705 33.705 0 33.534
2015-01-06 32.781 32.781 32.781 32.781 0 32.615
2015-01-07 32.007 32.007 32.007 32.007 0 31.845
2015-01-08 31.894 31.894 31.894 31.894 0 31.732
2015-01-09 32.022 32.022 32.022 32.022 0 31.86
2015-01-12 31.982 31.982 31.982 31.982 0 31.82
2015-01-13 31.996 31.996 31.996 31.996 0 31.834
2015-01-14 32.419 32.419 32.419 32.419 0 32.255
2015-01-15 32.298 32.298 32.298 32.298 0 32.134
2015-01-16 31.325 31.325 31.325 31.325 0 31.166
2015-01-19 31.765 31.765 31.765 31.765 0 31.604
2015-01-20 31.939 31.939 31.939 31.939 0 31.777
2015-01-21 31.738 31.738 31.738 31.738 0 31.577
2015-01-22 31.963 31.963 31.963 31.963 0 31.801
2015-01-23 33.655 33.655 33.655 33.655 0 33.485
2015-01-26 33.547 33.547 33.547 33.547 0 33.377
2015-01-27 33.146 33.146 33.146 33.146 0 32.978
2015-01-28 33.002 33.002 33.002 33.002 0 32.835
2015-01-29 32.583 32.583 32.583 32.583 0 32.418
2015-01-30 32.539 32.539 32.539 32.539 0 32.374
2015-02-02 31.924 31.924 31.924 31.924 0 31.762
2015-02-03 31.443 31.443 31.443 31.443 0 31.284
2015-02-04 31.968 31.968 31.968 31.968 0 31.806
2015-02-05 32.024 32.024 32.024 32.024 0 31.862
2015-02-06 31.649 31.649 31.649 31.649 0 31.489
2015-02-09 31.715 31.715 31.715 31.715 0 31.554
2015-02-10 33.131 33.131 33.131 33.131 0 32.963
2015-02-11 33.117 33.117 33.117 33.117 0 32.949
2015-02-12 33.346 33.346 33.346 33.346 0 33.177
2015-02-13 36.03 36.03 36.03 36.03 0 35.848
2015-02-16 35.257 35.257 35.257 35.257 0 35.078
2015-02-17 35.362 35.362 35.362 35.362 0 35.183
2015-02-18 35.748 35.748 35.748 35.748 0 35.567
2015-02-19 36.49 36.49 36.49 36.49 0 36.305
2015-02-20 36.731 36.731 36.731 36.731 0 36.545
2015-02-23 36.49 36.49 36.49 36.49 0 36.305
2015-02-24 36.839 36.839 36.839 36.839 0 36.652
2015-02-25 36.697 36.697 36.697 36.697 0 36.511
2015-02-26 37.059 37.059 37.059 37.059 0 36.871
2015-02-27 37.812 37.812 37.812 37.812 0 37.621
2015-03-02 36.929 36.929 36.929 36.929 0 36.742
