"Index" "MJC.Open" "MJC.High" "MJC.Low" "MJC.Close" "MJC.Volume" "MJC.Adjusted"
2014-04-18 1.82 1.82 1.82 1.82 0 1.68866
2014-04-21 1.83 1.83 1.83 1.83 1000 1.69794
2014-04-22 1.83 1.83 1.83 1.83 16800 1.69794
2014-04-23 1.92 1.94 1.88 1.88 132300 1.74433
2014-04-24 1.89 1.89 1.89 1.89 105000 1.75361
2014-04-25 1.89 1.9 1.89 1.9 285600 1.76288
2014-04-28 1.88 1.88 1.88 1.88 59800 1.74433
2014-04-29 1.94 1.94 1.94 1.94 1000 1.8
2014-04-30 1.94 1.94 1.94 1.94 0 1.8
2014-05-01 1.94 1.94 1.94 1.94 0 1.8
2014-05-02 1.9 1.92 1.9 1.92 36700 1.78144
2014-05-05 1.9 1.9 1.9 1.9 6300 1.76288
2014-05-06 1.9 1.9 1.88 1.88 93400 1.74433
2014-05-07 1.88 1.88 1.88 1.88 0 1.74433
2014-05-08 1.88 1.88 1.88 1.88 0 1.74433
2014-05-09 1.88 1.88 1.88 1.88 0 1.74433
2014-05-12 1.88 1.88 1.88 1.88 0 1.74433
2014-05-13 1.88 1.88 1.88 1.88 0 1.74433
2014-05-14 1.88 1.88 1.88 1.88 0 1.74433
2014-05-15 1.88 1.88 1.88 1.88 31500 1.74433
2014-05-16 1.8 1.8 1.8 1.8 396900 1.67011
2014-05-19 1.8 1.8 1.8 1.8 0 1.67011
2014-05-20 1.8 1.8 1.8 1.8 0 1.67011
2014-05-21 1.8 1.84999 1.8 1.84999 55600 1.71649
2014-05-22 1.84999 1.97 1.84999 1.95 232000 1.80928
2014-05-23 1.8 1.9 1.8 1.9 11500 1.76288
2014-05-26 1.9 1.9 1.9 1.9 0 1.76288
2014-05-27 1.8 1.8 1.8 1.8 6300 1.67011
2014-05-28 1.96 2.4 1.96 2.02 1279900 1.87423
2014-05-29 2.05 2.2 1.95 2.15 214200 1.99485
2014-05-30 2.14 2.3 2.14 2.2 451500 2.04124
2014-06-02 2.28 2.28 2.09 2.09 362200 1.93918
2014-06-03 2.22 2.26999 2.12 2.15 267700 1.99485
2014-06-04 2.19 2.25 2.01 2.18 262500 2.02268
2014-06-05 2.16 2.17 2.05 2.1 135400 1.94845
2014-06-06 2.09 2.09 2.09 2.09 6300 1.93918
2014-06-09 2.1 2.26999 2.1 2.1 689800 1.94845
2014-06-10 2.19 2.32 2.09 2.17 810600 2.01341
2014-06-11 2.1 2.11 2.1 2.1 197400 1.94845
2014-06-12 2.1 2.1 2.1 2.1 0 1.94845
2014-06-13 2.1 2.2 2.1 2.1 157500 1.94845
2014-06-16 2.05 2.05 2.05 2.05 44100 1.90206
2014-06-17 2.03 2.03 2.03 2.03 11500 1.8835
2014-06-18 2.03 2.03 2.03 2.03 28300 1.8835
2014-06-19 2.14 2.14 2.03 2.05999 11500 1.91134
2014-06-20 2.05 2.05 2.01 2.01 54600 1.86495
2014-06-23 2.01 2.08 2.01 2.05 134400 1.90206
2014-06-24 2.03 2.03 2.03 2.03 7300 1.8835
2014-06-25 2.01 2.2 2.01 2.17 254100 2.01341
2014-06-26 2.05 2.24 2.05 2.13 131200 1.97629
2014-06-27 2.2 2.22 2.1 2.21 91300 2.05051
2014-06-30 2.21 2.21 2.05 2.05 341200 1.90206
2014-07-01 2.15 2.15 2.12 2.15 137500 1.99485
2014-07-02 2.15 2.18 2.1 2.1 98700 1.94845
2014-07-03 2.18 2.18 2.1 2.1 40900 1.94845
2014-07-04 2.08 2.08 2.05999 2.05999 36700 1.91134
2014-07-07 2.04762 2.04762 1.9619 1.97143 89200 1.82916
2014-07-08 2.04762 2.04762 1.97143 1.97143 116500 1.82916
2014-07-09 2.09 2.2 2.02 2.02 27000 1.96794
2014-07-10 2.1 2.1 2.05 2.1 18000 2.04588
2014-07-11 2.07 2.08 1.93 1.93 323000 1.88026
2014-07-14 1.92 1.94 1.92 1.94 23000 1.89
2014-07-15 2 2 1.96 1.99 87000 1.93871
2014-07-16 1.99 1.99 1.99 1.99 0 1.93871
2014-07-17 1.94 1.94 1.94 1.94 8000 1.89
2014-07-18 2 2.02 2 2 104000 1.94845
