"Index" "UA.Open" "UA.High" "UA.Low" "UA.Close" "UA.Volume" "UA.Adjusted"
2014-02-13 107.220001 109.830002 107.089996 108.580002 2904000 54.290001
2014-02-14 107.720001 108.040001 105.169998 106 4991000 53
2014-02-18 105.110001 108.300003 103 107.459999 4199600 53.73
2014-02-19 107.629997 108.260002 106.830002 107.029999 1781200 53.514999
2014-02-20 107 108.440002 106.519997 107.190002 1613200 53.595001
2014-02-21 107.739998 114.220001 107.650002 112.68 5691400 56.34
2014-02-24 113.809998 116.260002 113.360001 115.230003 4077600 57.615002
2014-02-25 115.5 117.529999 115.260002 116.699997 3220800 58.349998
2014-02-26 117.199997 119.970001 115.889999 116.099998 4077200 58.049999
2014-02-27 116.139999 116.639999 114.68 116.349998 2003200 58.174999
2014-02-28 116.120003 116.349998 112 113.150002 4017600 56.575001
2014-03-03 111.349998 114.099998 110.010002 113.629997 3228200 56.814999
2014-03-04 115.75 117.349998 115.349998 117.18 2489600 58.59
2014-03-05 117.190002 117.599998 115.040001 116.059998 3747400 58.029999
2014-03-06 116.32 116.800003 114.589996 115.800003 2151000 57.900002
2014-03-07 116.730003 118.709999 115.889999 116.410004 2461200 58.205002
2014-03-10 116.400002 117.440002 115.379997 117.400002 1751400 58.700001
2014-03-11 117.480003 118.870003 116.199997 116.5 1673600 58.25
2014-03-12 116.080002 117.519997 114.690002 117.419998 1741200 58.709999
2014-03-13 117.650002 117.900002 115.599998 116.410004 1518600 58.205002
2014-03-14 116 118.209999 115.349998 117.349998 1566400 58.674999
2014-03-17 119.650002 121.43 119.279999 119.669998 3345200 59.834999
2014-03-18 120.559998 124.5 120.400002 124.440002 3675800 62.220001
2014-03-19 124.440002 124.790001 121.25 122.010002 2541800 61.005001
2014-03-20 120.169998 122.029999 118.760002 121.849998 3535000 60.924999
2014-03-21 122.449997 122.989998 119.839996 120.160004 3308800 60.080002
2014-03-24 121.269997 121.5 115.779999 118.639999 3582400 59.32
2014-03-25 119.419998 120.389999 114.349998 114.540001 3007000 57.27
2014-03-26 115.720001 117 112.650002 113.580002 3137600 56.790001
2014-03-27 113.779999 116.059998 112.5 114.599998 1967400 57.299999
2014-03-28 114.809998 116.080002 114.550003 115.220001 1380600 57.610001
2014-03-31 115.910004 116.379997 114.309998 114.639999 2065000 57.32
2014-04-01 115 116.220001 114.870003 116 1750600 58
2014-04-02 116.879997 119.779999 116.279999 118.879997 2787400 59.439999
2014-04-03 119.029999 119.68 112.139999 112.660004 4222800 56.330002
2014-04-04 113.559998 114.290001 103.559998 104.330002 8780800 52.165001
2014-04-07 105 105.5 100.650002 102.510002 6744200 51.255001
2014-04-08 102.400002 106.309998 102.25 105.860001 3871000 52.93
2014-04-09 108 108.709999 105.550003 108.629997 2688000 54.314999
2014-04-10 108.5 108.529999 101.849998 102.239998 4313200 51.119999
2014-04-11 101.550003 104.330002 101.290001 101.879997 3408000 50.939999
2014-04-14 103.379997 103.379997 100.769997 102.160004 2486200 51.080002
2014-04-15 51.82 53.59 50.560001 52.450001 2696100 52.450001
2014-04-16 53.509998 54.259998 52.110001 53.75 2538600 53.75
2014-04-17 53.73 54.150002 53.029999 53.060001 1895500 53.060001
2014-04-21 53.5 53.689999 52.450001 53.009998 1692000 53.009998
2014-04-22 53.700001 54 53.009998 53.869999 2152100 53.869999
2014-04-23 53.84 55.119999 53.25 54.439999 4450800 54.439999
2014-04-24 51.889999 52.310001 48.779999 50.419998 13267000 50.419998
2014-04-25 50.91 51 48.189999 48.419998 9165900 48.419998
2014-04-28 49.009998 49.049999 45.450001 46.740002 7354300 46.740002
2014-04-29 46.790001 47.459999 46.009998 47.169998 3801800 47.169998
2014-04-30 47.169998 49.889999 47.119999 48.889999 42170600 48.889999
2014-05-01 48.939999 50.330002 48.549999 49.18 4933000 49.18
2014-05-02 49.450001 49.75 48.299999 48.84 3589900 48.84
2014-05-05 48.25 48.93 47.759998 48.580002 2758000 48.580002
2014-05-06 48.349998 48.580002 47.52 47.720001 2388100 47.720001
2014-05-07 47.66 47.77 45.599998 46.240002 4359500 46.240002
2014-05-08 46.43 47.970001 46.099998 46.57 3291600 46.57
2014-05-09 46.27 47 45.77 46.790001 1917400 46.790001
2014-05-12 46.900002 48.98 46.900002 48.950001 3101100 48.950001
2014-05-13 49.029999 49.220001 47.700001 48.099998 2363800 48.099998
2014-05-14 48.07 48.5 47.150002 47.32 1827700 47.32
2014-05-15 46.959999 47.150002 45.049999 46.32 4077300 46.32
2014-05-16 46.400002 46.720001 45.860001 46.669998 2139700 46.669998
2014-05-19 46.639999 47.459999 46.5 47.400002 1591100 47.400002
2014-05-20 46.98 47.200001 46.25 46.790001 2481900 46.790001
2014-05-21 46.84 47.220001 46.549999 47.119999 1400400 47.119999
2014-05-22 47.029999 48.419998 46.799999 47.889999 1928200 47.889999
