"Index" "FO.Open" "FO.High" "FO.Low" "FO.Close" "FO.Volume" "FO.Adjusted"
2015-02-02 222.90001 223.05001 222.90001 223.05001 106800 183.28141
2015-02-03 224.00042 224.00042 221.45042 221.45042 83200 181.96702
2015-02-04 221.45042 221.45042 221.45042 221.45042 52600 181.96702
2015-02-05 221.45042 221.45042 220.50001 220.50001 130000 181.18606
2015-02-06 220.50001 220.50001 220.50001 220.50001 60400 181.18606
2015-02-09 220.50001 220.50001 220.50001 220.50001 37600 181.18606
2015-02-10 209.48041 209.48041 209.48041 209.48041 60800 172.1312
2015-02-11 200.00042 200.00042 200.00042 200.00042 193500 164.34143
2015-02-12 200.00042 204.9996 198.9996 201.9996 288000 165.98417
2015-02-13 192.0996 212.09041 192.00001 212.09041 508800 174.27585
2015-02-16 219.9996 219.9996 219.9996 219.9996 198000 180.77487
2015-02-17 219.9996 219.9996 219.99001 219.9996 355100 180.77487
2015-02-18 219.8496 219.9996 215.0604 215.0604 265000 176.71631
2015-02-19 219.9996 222.00001 219.9996 222.00001 203300 182.41862
2015-02-20 231.99001 231.99001 220.40042 220.40042 1446100 181.10423
2015-02-23 228.9996 228.9996 219.9996 222.9996 455100 183.23999
2015-02-24 222.9996 223.77002 222.99001 222.9996 706800 183.23999
2015-02-25 186.658 186.658 180.08299 180.08299 191400 147.97518
2015-02-26 178.39999 178.39999 177.08299 177.08299 205900 145.51006
2015-02-27 169.5 177.83299 168.41701 177.83299 215200 146.12634
2015-03-02 170.942 175 170.942 175 121200 143.79846
2015-03-03 175 175 175 175 127600 143.79846
2015-03-04 175 175 175 175 104400 143.79846
2015-03-05 169.16701 169.16701 169.16701 169.16701 88800 139.00545
2015-03-06 169.16701 169.16701 169.16701 169.16701 77100 139.00545
2015-03-09 169.16701 169.16701 169.16701 169.16701 127100 139.00545
2015-03-10 169.16701 169.16701 169.16701 169.16701 87600 139.00545
2015-03-11 160.83299 160.83299 160.717 160.717 229100 132.06203
2015-03-13 160.717 160.717 160.717 160.717 23100 132.06203
2015-03-16 160.717 160.717 160.717 160.717 26200 132.06203
2015-03-17 154.16701 160.717 160.717 160.717 28000 132.06203
2015-03-18 154.16701 154.16701 154.16701 154.16701 62200 126.67987
2015-03-19 158.33299 150.85001 150.83299 150.83299 78600 123.94029
2015-03-20 146.508 158.375 146.508 158.375 293900 130.1376
2015-03-23 165.08299 164.14999 164.14999 164.14999 115100 134.88295
2015-03-24 163.767 163.767 163.767 163.767 74400 134.56824
2015-03-25 171.658 171.95 171.658 171.95 259800 141.29225
2015-03-26 180.533 175.83299 171.508 175.83299 141700 144.48293
2015-03-27 181.64999 187.408 180.83299 187.408 585200 153.99418
2015-03-31 186.642 180.83299 177.317 179.16701 172600 147.22251
2015-04-01 185.92999 195.22 195.22 195.22 120200 195.22
2015-04-02 204.98 215 200 215 270100 215
2015-04-03 215 215 215 215 0 215
2015-04-06 215 215 215 215 0 215
2015-04-07 211.60001 211.60001 207.5 207.5 136100 207.5
2015-04-08 207.5 207.5 207.5 207.5 38800 207.5
2015-04-09 207.5 207.5 207.5 207.5 44300 207.5
2015-04-10 207.5 207.5 207.5 207.5 27700 207.5
2015-04-13 207.5 207.5 207.5 207.5 42100 207.5
2015-04-14 199.99001 215 199.99001 215 152000 215
2015-04-15 204.39999 204.39999 204.25 204.25 111900 204.25
2015-04-16 204.25 204.25 204.25 204.25 13200 204.25
2015-04-17 204.25 204.25 204.25 204.25 0 204.25
2015-04-20 200 203 200 200 87100 200
2015-04-21 193.10001 193.10001 193.10001 193.10001 51800 193.10001
2015-04-22 193.10001 193.10001 193.10001 193.10001 28500 193.10001
2015-04-23 193.10001 193.10001 193.10001 193.10001 0 193.10001
2015-04-24 208 198 197.60001 197.60001 136200 197.60001
2015-04-27 197.60001 197.60001 197.60001 197.60001 49000 197.60001
2015-04-28 188.06 190 187.72 187.72 230700 187.72
2015-04-29 192.97 190 187 187 151000 187
2015-04-30 178 178 177.64999 177.64999 222800 177.64999
2015-05-01 177.64999 177.64999 177.64999 177.64999 0 177.64999
2015-05-04 178 178 175 177 263400 177
2015-05-05 177.64999 178 177 177.10001 168300 177.10001
2015-05-06 170.5 171 170.5 171 77900 171
2015-05-07 171.16 171.16 170.14999 170.14999 138500 170.14999
2015-05-08 163.00999 163.00999 163.00999 163.00999 99400 163.00999
2015-05-11 157.5 157.5 157.5 157.5 61600 157.5
2015-05-12 154.89 154.89 153 153 108800 153
2015-05-13 160 152 152 152 140100 152
2015-05-14 154.92999 159.60001 154.92999 159.60001 208900 159.60001
2015-05-15 164.99001 173.23 165 173.23 153700 173.23
2015-05-18 181.89 190.98 183 189 338600 189
2015-05-19 187.89999 188.99001 187.89999 188.99001 126000 188.99001
2015-05-20 188.99001 188.99001 188.99001 188.99001 0 188.99001
2015-05-21 186.99001 186.99001 186.99001 186.99001 18800 186.99001
2015-05-22 177.8 177.8 177.8 177.8 53900 177.8
2015-05-25 177.8 177.8 177.8 177.8 19600 177.8
2015-05-26 179 185 179 185 75200 185
2015-05-27 185 185 185 185 45500 185
2015-05-28 176.13 176.13 175.75 176 400800 176
2015-05-29 176 176 176 176 0 176
2015-06-01 169 169 168 168 73900 168
2015-06-02 168 168 162.10001 163 148600 163
2015-06-03 161.5 161.5 154.86 154.86 233900 154.86
2015-06-04 159.3 159.3 154 154 167800 154
2015-06-05 155.10001 159.85001 155.10001 159.85001 146200 159.85001
2015-06-08 159.86 159.86 159.86 159.86 197700 159.86
2015-06-09 158.60001 158.60001 158.60001 158.60001 94600 158.60001
2015-06-10 166.5 173.23 162.85001 173.23 98700 173.23
2015-06-11 173.23 173.23 173.23 173.23 117400 173.23
2015-06-12 173 173 173 173 75100 173
2015-06-15 175 177.99001 175 177.99001 88900 177.99001
2015-06-16 179.60001 179.88 179.60001 179.88 89200 179.88
2015-06-17 179 179.28999 179 179.28999 94600 179.28999
2015-06-18 174.64999 179.8 170.53 179.8 354000 179.8
2015-06-19 178.98 184.89999 170.5 179.98 746000 179.98
