"Index" "NYF.Open" "NYF.High" "NYF.Low" "NYF.Close" "NYF.Volume" "NYF.Adjusted"
2014-11-04 110.650002 110.68 110.43 110.559998 18700 107.677646
2014-11-05 110.790001 110.790001 110.25 110.559998 5600 107.677646
2014-11-06 110.260002 110.629997 110.139999 110.300003 15700 107.42443
2014-11-07 110.230003 110.790001 110.230003 110.589996 16200 107.706863
2014-11-10 110.559998 110.690002 110.349998 110.489998 4900 107.609471
2014-11-11 110.309998 110.599998 110.309998 110.489998 11200 107.609471
2014-11-12 110.769997 110.769997 110.389999 110.599998 19400 107.716604
2014-11-13 110.410004 110.620003 110.379997 110.389999 22100 107.51208
2014-11-14 110.389999 110.690002 110.389999 110.440002 7000 107.560779
2014-11-17 110.599998 110.599998 110.400002 110.410004 7800 107.531562
2014-11-18 110.779999 110.790001 110.330002 110.540001 5600 107.658171
2014-11-19 110.669998 110.669998 110.379997 110.379997 5100 107.502338
2014-11-20 110.660004 110.720001 110.529999 110.580002 2700 107.697129
2014-11-21 110.699997 110.760002 110.389999 110.389999 16900 107.51208
2014-11-24 110.699997 110.809998 110.699997 110.790001 5200 107.901653
2014-11-25 110.559998 110.919998 110.559998 110.720001 8100 107.833478
2014-11-26 111.110001 111.110001 110.779999 110.970001 4900 108.076961
2014-11-28 111.080002 111.139999 111.050003 111.099998 3400 108.203569
2014-12-01 111 111.059998 110.800003 110.910004 5300 108.265068
2014-12-02 110.559998 110.949997 110.559998 110.82 5400 108.177211
2014-12-03 110.949997 111.07 110.809998 111 5300 108.352919
2014-12-04 111.089996 111.110001 110.900002 111.110001 2400 108.460296
2014-12-05 110.900002 111.029999 110.650002 110.849998 5000 108.206494
2014-12-08 111.089996 111.110001 110.800003 110.800003 10800 108.157691
2014-12-09 110.800003 111.330002 110.800003 111.129997 4000 108.479816
2014-12-10 111.25 111.330002 110.949997 111.290001 9400 108.636004
2014-12-11 111.5 111.5 111.209999 111.410004 5800 108.753145
2014-12-12 111.519997 111.620003 111.169998 111.620003 1800 108.958136
2014-12-15 111.379997 111.379997 110.959999 111.269997 2100 108.616477
2014-12-16 111.300003 111.690002 111.220001 111.620003 14400 108.958136
2014-12-17 111.690002 111.690002 111.209999 111.480003 4400 108.821475
2014-12-18 111.529999 111.540001 111.370003 111.459999 8900 108.801948
2014-12-19 111.360001 111.360001 110.809998 111.279999 7400 108.62624
2014-12-22 111.449997 111.449997 110.980003 111.080002 3700 108.431013
