"Index" "GS.Open" "GS.High" "GS.Low" "GS.Close" "GS.Volume" "GS.Adjusted"
2014-01-21 175.100006 175.589996 171.339996 173.199997 5141200 169.30425
2014-01-22 173.449997 174.639999 172.779999 173.679993 2476900 169.773449
2014-01-23 172.419998 172.419998 169.020004 170.75 3977700 166.90936
2014-01-24 168.529999 169.960007 167.220001 167.639999 4156200 163.869312
2014-01-27 167.080002 167.600006 163.429993 164.690002 5589600 160.985669
2014-01-28 165.029999 166.550003 164.589996 166.25 3170400 162.510578
2014-01-29 163.970001 166.100006 163.619995 163.899994 3473700 160.21343
2014-01-30 165.330002 166.169998 164.570007 165.839996 2829400 162.109796
2014-01-31 163.800003 165.979996 163.300003 164.119995 3415500 160.428482
2014-02-03 165.149994 165.520004 159.770004 159.820007 5079700 156.225213
2014-02-04 160.899994 162.570007 159.850006 161.759995 3346600 158.121565
2014-02-05 160.589996 162.649994 160.320007 160.419998 3212900 156.811709
2014-02-06 161.160004 162 160.100006 161.75 3798000 158.111795
2014-02-07 162.779999 162.899994 160.270004 161.929993 4879900 158.287739
2014-02-10 161.020004 161.770004 160.279999 161 4321700 157.378665
2014-02-11 161.210007 164.960007 160.309998 164.389999 4996300 160.692414
2014-02-12 164.5 165.229996 163.229996 163.5 3046600 159.822433
2014-02-13 162.550003 164.399994 162.100006 164.059998 3119600 160.369834
2014-02-14 163.330002 164.5 162.929993 163.720001 3287900 160.037485
2014-02-18 164.039993 165.589996 163.720001 164.649994 3399900 160.94656
2014-02-19 163.910004 166.179993 162.979996 163.259995 3669700 159.587826
2014-02-20 163.490005 164.970001 162.669998 164.5 2631900 160.79994
2014-02-21 164.300003 165.649994 164.149994 164.5 2594500 160.79994
2014-02-24 164.080002 167.410004 164.080002 166.539993 3242900 162.794048
2014-02-25 166.110001 166.300003 163.160004 163.479996 3682300 159.802878
2014-02-26 163.259995 163.899994 160.770004 162.800003 3978300 159.675384
2014-02-27 162.660004 165.789993 162.339996 165.380005 3806600 162.205868
2014-02-28 164.809998 167.820007 164.570007 166.449997 4291500 163.255323
2014-03-03 164.220001 165.309998 163.660004 164.740005 3122900 161.578152
2014-03-04 166.639999 168.759995 166.199997 168.729996 3400500 165.491562
2014-03-05 168.800003 172.899994 168.25 171.899994 4451200 168.600718
2014-03-06 172.710007 174 172.490005 172.600006 3403500 169.287295
2014-03-07 173.979996 175.589996 173.110001 174.259995 4088900 170.915424
2014-03-10 173.600006 174.490005 172.470001 173.509995 2179100 170.179818
2014-03-11 173.960007 173.960007 169.850006 169.889999 3832300 166.629302
2014-03-12 169.130005 169.990005 167.809998 169.720001 2550000 166.462566
2014-03-13 170.479996 171.240005 166.570007 166.699997 3421400 163.500525
2014-03-14 166.899994 167.399994 165.029999 165.350006 2762100 162.176444
2014-03-17 166.380005 168.800003 166.330002 166.839996 3198000 163.637837
2014-03-18 167.270004 169 167.009995 168.089996 1941300 164.863846
2014-03-19 168.490005 170.160004 166.800003 168.179993 3534100 164.952115
2014-03-20 167.880005 170.449997 167.270004 169.220001 3950500 165.972163
2014-03-21 169.690002 170 166.910004 166.949997 4779100 163.745727
2014-03-24 167.130005 167.979996 165.100006 165.720001 2723000 162.539338
2014-03-25 166.589996 167.419998 162.800003 163.25 4437500 160.116744
2014-03-26 164.740005 165 161.720001 161.729996 2590300 158.625913
2014-03-27 161.800003 163.309998 160.770004 162.289993 3890200 159.175162
2014-03-28 162.210007 164.190002 161.289993 162.300003 2630500 159.18498
2014-03-31 163.220001 164.139999 162.220001 163.850006 2494300 160.705234
2014-04-01 164.759995 166.289993 164.220001 165.919998 3325500 162.735497
2014-04-02 165.899994 167.539993 165.729996 167.270004 2407600 164.059592
2014-04-03 167.309998 167.669998 165 166.089996 2337300 162.902232
