"Index" "CB.Open" "CB.High" "CB.Low" "CB.Close" "CB.Volume" "CB.Adjusted"
2015-06-29 95.519997 96.099998 94.650002 94.669998 926300 94.225353
2015-06-30 95.400002 95.870003 94.75 95.139999 1021600 94.693147
2015-07-01 126.75 129.440002 119.919998 119.989998 28806100 119.42643
2015-07-02 118.260002 122.769997 118.260002 121.470001 6225000 120.899483
2015-07-06 120.760002 121.519997 120.410004 121.379997 3754100 120.809901
2015-07-07 121.360001 121.980003 120.940002 121.790001 4190900 121.217979
2015-07-08 121.379997 121.510002 120.419998 120.419998 2534200 119.854411
2015-07-09 121.550003 121.550003 120.739998 121.239998 2936800 120.670559
2015-07-10 122 122 121.239998 121.5 2897300 120.92934
2015-07-13 122 122.150002 121.519997 121.739998 1568400 121.168211
2015-07-14 121.800003 122.139999 121.43 121.860001 1462400 121.28765
2015-07-15 121.82 122.190002 121.519997 121.870003 2452800 121.297605
2015-07-16 122.029999 122.629997 121.870003 121.949997 3091900 121.377224
2015-07-17 122.019997 122.07 121.480003 122.059998 952500 121.486708
2015-07-20 122.059998 122.099998 121.690002 121.980003 1279500 121.407089
2015-07-21 122.18 122.18 121.5 121.779999 1686900 121.208024
2015-07-22 122.68 123.18 122.199997 123.18 3068300 122.60145
2015-07-23 123.169998 123.230003 122.379997 122.800003 2384300 122.223238
2015-07-24 123.040001 123.440002 122.629997 123.029999 1870300 122.452153
2015-07-27 122.800003 124.050003 122.800003 123.32 1929200 122.740792
2015-07-28 123.699997 123.959999 123.360001 123.809998 1847100 123.228488
2015-07-29 123.879997 124.449997 123.620003 124.410004 1276900 123.825676
2015-07-30 124.230003 124.849998 124.059998 124.730003 1180400 124.144173
2015-07-31 125.470001 125.5 124.309998 124.330002 5667500 123.74605
2015-08-03 123.860001 125.860001 123.860001 125.739998 1276500 125.149424
2015-08-04 125.449997 126.199997 125.449997 125.489998 1481900 124.900598
2015-08-05 125.910004 126.370003 125.529999 126 1582800 125.408205
2015-08-06 126.269997 126.269997 125.110001 125.349998 839100 124.761256
