"Index" "XPD.USD"
2015-02-08 785.656
2015-02-09 783
2015-02-10 771.5
2015-02-11 769.99
2015-02-12 775
2015-02-13 791.6
2015-02-14 791.6
2015-02-15 791.438
2015-02-16 789.5
2015-02-17 784.627
2015-02-18 778.119
2015-02-19 786.72
2015-02-20 779.725
2015-02-21 779.725
2015-02-22 780.5
2015-02-23 786.562
2015-02-24 796
2015-02-25 809.8
2015-02-26 812
2015-02-27 817.39
2015-02-28 817.39
2015-03-01 818.794
2015-03-02 827
2015-03-03 830.09
2015-03-04 830.027
2015-03-05 828
2015-03-06 819.65
2015-03-07 819.65
2015-03-08 822.8
2015-03-09 822.8
2015-03-10 822.8
2015-03-11 822.8
2015-03-12 822.8
2015-03-13 822.8
2015-03-14 822.8
2015-03-15 790.666
2015-03-16 790.666
2015-03-17 790.666
2015-03-18 790.666
2015-03-19 790.666
2015-03-20 790.666
2015-03-21 777.45
2015-03-22 777.036
2015-03-23 777.036
2015-03-24 777.036
2015-03-25 777.036
2015-03-26 777.036
2015-03-27 777.036
2015-03-28 741.1
2015-03-29 740.5
2015-03-30 740.5
2015-03-31 740.5
2015-04-01 740.5
2015-04-02 740.5
2015-04-03 747.15
2015-04-04 747.15
2015-04-05 747.57
2015-04-06 747.57
2015-04-07 747.57
2015-04-08 747.57
2015-04-09 747.57
2015-04-10 747.57
2015-04-11 778
2015-04-12 777
2015-04-13 777
2015-04-14 777
2015-04-15 777
2015-04-16 777
2015-04-17 777
2015-04-18 786.55
2015-04-19 787
2015-04-20 787
2015-04-21 787
2015-04-22 787
2015-04-23 787
2015-04-24 787
2015-04-25 771.2
2015-04-26 773.5
2015-04-27 773.5
2015-04-28 773.5
2015-04-29 773.5
2015-04-30 773.5
2015-05-01 773.5
2015-05-02 775.3
2015-05-03 775.3
2015-05-04 775.3
2015-05-05 775.3
2015-05-06 775.3
2015-05-07 775.3
2015-05-08 775.3
2015-05-09 798
2015-05-10 797.243
2015-05-11 797.243
2015-05-12 797.243
2015-05-13 797.243
2015-05-14 797.243
2015-05-15 797.243
2015-05-16 792.255
2015-05-17 791.5
2015-05-18 791.5
2015-05-19 791.5
2015-05-20 791.5
2015-05-21 791.5
2015-05-22 791.5
2015-05-23 784.3
2015-05-24 783.69
2015-05-25 783.69
2015-05-26 783.69
2015-05-27 783.69
2015-05-28 783.69
2015-05-29 783.69
2015-05-30 783.69
2015-05-31 775.5
2015-06-01 775.5
2015-06-02 775.5
2015-06-03 775.5
2015-06-04 775.5
2015-06-05 775.5
2015-06-06 753.05
