"Index" "AR.Open" "AR.High" "AR.Low" "AR.Close" "AR.Volume" "AR.Adjusted"
2014-07-29 57.75 58.700001 57.75 57.91 503100 57.91
2014-07-30 57.939999 58.48 57.619999 58.18 797800 58.18
2014-07-31 58 58.150002 57.209999 57.759998 1220200 57.759998
2014-08-01 57.889999 57.889999 56.610001 57.279999 1254500 57.279999
2014-08-04 57.459999 58.18 56.560001 57.66 740000 57.66
2014-08-05 57.93 58.950001 56.950001 57.380001 896700 57.380001
2014-08-06 57 58.09 56.990002 57.16 1166300 57.16
2014-08-07 56 56.990002 53.419998 56.099998 3341400 56.099998
2014-08-08 56.209999 57.299999 55.82 57.09 610300 57.09
2014-08-11 57.580002 57.82 56.400002 56.459999 767400 56.459999
2014-08-12 56.490002 56.98 55.52 55.619999 812100 55.619999
2014-08-13 55.529999 56.07 55.119999 55.220001 705000 55.220001
2014-08-14 55.25 55.779999 55.110001 55.330002 657300 55.330002
2014-08-15 55.740002 55.970001 55.18 55.52 547000 55.52
2014-08-18 55.57 56 55.240002 55.869999 510200 55.869999
2014-08-19 56.049999 57.740002 55.959999 57.07 689400 57.07
2014-08-20 56.970001 57.93 56.52 56.919998 540300 56.919998
2014-08-21 57.169998 57.169998 56.130001 56.889999 337500 56.889999
2014-08-22 56.77 57.560001 56.279999 56.389999 457100 56.389999
2014-08-25 56.68 57.669998 56.68 57.400002 326400 57.400002
2014-08-26 57.709999 58.490002 57.439999 57.48 514600 57.48
2014-08-27 57.509998 57.860001 56.23 56.73 898800 56.73
2014-08-28 56.639999 57.41 56.5 57.299999 509100 57.299999
2014-08-29 57.299999 57.93 57.09 57.849998 288800 57.849998
2014-09-02 57.889999 58.099998 56.43 56.639999 318300 56.639999
2014-09-03 57.049999 57.110001 56.490002 56.509998 564700 56.509998
2014-09-04 56.48 57.509998 55.389999 55.509998 909500 55.509998
2014-09-05 55.599998 56.209999 55.080002 56.169998 489800 56.169998
2014-09-08 55.75 56.27 55.150002 55.959999 686700 55.959999
2014-09-09 55.939999 56.470001 55.27 55.84 673500 55.84
2014-09-10 55.880001 56.900002 54.959999 56.450001 579400 56.450001
2014-09-11 55.970001 56.75 55.57 56.599998 721300 56.599998
2014-09-12 56.43 57.07 56.09 56.77 907400 56.77
2014-09-15 56.68 57.32 55.869999 56.759998 813200 56.759998
2014-09-16 56.759998 58.02 56.32 57.799999 894600 57.799999
2014-09-17 57.759998 58.25 57.240002 57.630001 751500 57.630001
2014-09-18 57.759998 58.630001 57.66 57.98 943400 57.98
2014-09-19 57.939999 58.299999 57.549999 57.919998 1830500 57.919998
2014-09-22 57.200001 57.630001 56.040001 56.93 1574700 56.93
2014-09-23 56.720001 57.75 56.200001 56.389999 1033800 56.389999
2014-09-24 56.599998 56.75 55.400002 56.32 759600 56.32
