"Index" "MGN.Open" "MGN.High" "MGN.Low" "MGN.Close" "MGN.Volume" "MGN.Adjusted"
2014-09-30 0.64 0.64 0.6 0.607 39100 0.607
2014-10-01 0.612 0.648 0.602 0.635 21900 0.635
2014-10-02 0.62 0.643 0.62 0.625 15900 0.625
2014-10-03 0.62 0.638 0.603 0.612 41300 0.612
2014-10-06 0.61 0.638 0.6 0.614 68800 0.614
2014-10-07 0.62 0.62 0.6 0.6 18600 0.6
2014-10-08 0.581 0.6 0.57 0.59 48600 0.59
2014-10-09 0.598 0.598 0.55 0.56 62000 0.56
2014-10-10 0.52 0.55 0.52 0.525 60900 0.525
2014-10-13 0.55 0.55 0.5 0.5 24700 0.5
2014-10-14 0.52 0.548 0.493 0.5 62500 0.5
2014-10-15 0.52 0.558 0.48 0.556 57400 0.556
2014-10-16 0.56 0.598 0.56 0.594 39600 0.594
2014-10-17 0.59 0.59 0.57 0.57 30200 0.57
2014-10-20 0.55 0.59 0.55 0.588 37600 0.588
2014-10-21 0.59 0.59 0.57 0.579 45000 0.579
2014-10-22 0.56 0.57 0.5 0.56 24600 0.56
2014-10-23 0.545 0.55 0.505 0.52 34900 0.52
2014-10-24 0.51 0.535 0.51 0.53 18200 0.53
2014-10-27 0.53 0.54 0.52 0.52 28200 0.52
2014-10-28 0.52 0.539 0.52 0.539 18600 0.539
2014-10-29 0.52 0.56 0.51 0.56 73900 0.56
2014-10-30 0.58 0.58 0.45 0.479 87700 0.479
2014-10-31 0.498 0.539 0.47 0.52 130800 0.52
2014-11-03 0.5 0.53 0.48 0.51 48600 0.51
2014-11-04 0.539 0.55 0.52 0.52 42600 0.52
2014-11-05 0.51 0.55 0.51 0.51 37300 0.51
2014-11-06 0.51 0.52 0.51 0.51 22800 0.51
2014-11-07 0.52 0.54 0.51 0.536 74900 0.536
2014-11-10 0.54 0.55 0.51 0.511 29300 0.511
2014-11-11 0.537 0.55 0.53 0.545 65200 0.545
2014-11-12 0.565 0.565 0.53 0.54 7100 0.54
2014-11-13 0.54 0.549 0.535 0.549 16500 0.549
2014-11-14 0.549 0.549 0.515 0.53 23600 0.53
2014-11-17 0.549 0.55 0.53 0.55 22300 0.55
2014-11-18 0.55 0.6 0.55 0.6 106400 0.6
2014-11-19 0.62 0.62 0.55 0.563 39100 0.563
2014-11-20 0.56 0.6 0.56 0.59 39500 0.59
2014-11-21 0.588 0.67 0.588 0.64 167800 0.64
2014-11-24 0.63 0.63 0.598 0.613 23000 0.613
2014-11-25 0.59 0.66 0.58 0.62 34800 0.62
2014-11-26 0.62 0.64 0.62 0.622 20400 0.622
2014-11-28 0.62 0.63 0.52 0.523 30900 0.523
2014-12-01 0.53 0.555 0.525 0.555 59400 0.555
2014-12-02 0.544 0.59 0.515 0.59 81900 0.59
2014-12-03 0.576 0.585 0.55 0.55 11900 0.55
2014-12-04 0.57 0.59 0.54 0.54 7900 0.54
2014-12-05 0.57 0.57 0.532 0.532 31800 0.532
2014-12-08 0.51 0.568 0.484 0.54 12800 0.54
2014-12-09 0.52 0.57 0.52 0.524 40000 0.524
2014-12-10 0.55 0.556 0.501 0.51 26200 0.51
2014-12-11 0.5 0.54 0.49 0.54 31600 0.54
2014-12-12 0.53 0.546 0.53 0.53 12400 0.53
2014-12-15 0.54 0.54 0.47 0.48 37100 0.48
2014-12-16 0.503 0.51 0.493 0.51 25800 0.51
2014-12-17 0.48 0.54 0.48 0.54 39300 0.54
2014-12-18 0.52 0.56 0.52 0.559 31400 0.559
2014-12-19 0.53 0.56 0.52 0.54 46900 0.54
2014-12-22 0.54 0.545 0.48 0.49 52200 0.49
2014-12-23 0.5 0.518 0.48 0.49 27900 0.49
2014-12-24 0.48 0.511 0.48 0.51 13600 0.51
2014-12-26 0.51 0.52 0.51 0.511 44200 0.511
2014-12-29 0.48 0.51 0.48 0.5 14900 0.5
2014-12-30 0.489 0.49 0.412 0.48 96600 0.48
2014-12-31 0.488 0.51 0.462 0.47 37700 0.47
2015-01-02 0.48 0.48 0.467 0.47 8500 0.47
2015-01-05 0.47 0.49 0.47 0.472 4000 0.472
2015-01-06 0.48 0.5 0.471 0.49 37700 0.49
2015-01-07 0.5 0.51 0.49 0.5 14300 0.5
2015-01-08 0.52 0.55 0.516 0.55 85400 0.55
2015-01-09 0.56 0.564 0.54 0.56 32600 0.56
2015-01-12 0.59 0.59 0.53 0.544 16500 0.544
2015-01-13 0.57 0.57 0.5 0.51 19900 0.51
2015-01-14 0.5 0.51 0.48 0.49 28000 0.49
2015-01-15 0.53 0.56 0.48 0.5 42000 0.5
2015-01-16 0.48 0.556 0.48 0.539 64600 0.539
2015-01-20 0.7 0.7 0.56 0.58 64800 0.58
2015-01-21 0.58 0.6 0.55 0.555 17900 0.555
2015-01-22 0.7 0.7 0.55 0.57 16800 0.57
2015-01-23 0.59 0.59 0.538 0.552 32200 0.552
2015-01-26 0.559 0.559 0.525 0.529 24900 0.529
2015-01-27 0.517 0.565 0.51 0.53 9400 0.53
2015-01-28 0.54 0.56 0.48 0.52 26100 0.52
2015-01-29 0.501 0.522 0.462 0.505 135700 0.505
2015-01-30 0.48 0.53 0.48 0.51 18600 0.51
2015-02-02 0.49 0.5 0.48 0.5 18300 0.5
2015-02-03 0.52 0.52 0.5 0.51 20200 0.51
2015-02-04 0.48 0.52 0.465 0.5 26400 0.5
2015-02-05 0.5 0.5 0.47 0.48 30200 0.48
