"Index" "USD.HUF"
2014-10-06 246.092
2014-10-07 243.6615
2014-10-08 242.9705
2014-10-09 240.7065
2014-10-10 241.6905
2014-10-11 242.2655
2014-10-12 242.295
2014-10-13 241.0935
2014-10-14 241.2735
2014-10-15 241.1895
2014-10-16 240.871
2014-10-17 239.8235
2014-10-18 239.5205
2014-10-19 239.559
2014-10-20 239.9285
2014-10-21 240.1875
2014-10-22 241.448
2014-10-23 243.079
2014-10-24 243.472
2014-10-25 243.407
2014-10-26 243.386
2014-10-27 243.2245
2014-10-28 243.0795
2014-10-29 242.6975
2014-10-30 245.0035
2014-10-31 246.021
2014-11-01 246.033
2014-11-02 246.461
2014-11-03 247.0255
2014-11-04 246.701
2014-11-05 247.373
2014-11-06 248.7525
2014-11-07 249.722
2014-11-08 248.307
2014-11-09 248.226
2014-11-10 247.324
2014-11-11 247.2235
2014-11-12 246.564
2014-11-13 245.6785
2014-11-14 245.3335
2014-11-15 244.475
2014-11-16 244.4255
2014-11-17 244.9235
2014-11-18 244.8145
2014-11-19 243.603
2014-11-20 243.1055
2014-11-21 244.0645
2014-11-22 245.599
2014-11-23 245.9675
2014-11-24 245.686
2014-11-25 245.9435
2014-11-26 245.55
2014-11-27 245.55
2014-11-28 245.55
2014-11-29 245.55
2014-11-30 246.1085
2014-12-01 245.845
2014-12-02 246.6015
2014-12-03 248.699
2014-12-04 248.834
2014-12-05 248.4965
2014-12-06 248.8755
2014-12-07 249.301
2014-12-08 249.1935
2014-12-09 247.786
2014-12-10 247.345
2014-12-11 247.405
2014-12-12 248.1785
2014-12-13 247.2285
2014-12-14 247.1715
2014-12-15 247.998
2014-12-16 249.1785
2014-12-17 251.335
2014-12-18 255.241
2014-12-19 256.8365
2014-12-20 258.076
2014-12-21 258.096
2014-12-22 257.3255
2014-12-23 257.5715
2014-12-24 259.3915
2014-12-25 259.7385
2014-12-26 259.9435
2014-12-27 259.798
2014-12-28 260.0545
2014-12-29 259.17
2014-12-30 258.9725
2014-12-31 259.802
2015-01-01 261.5985
2015-01-02 263.5355
2015-01-03 264.806
2015-01-04 265.1865
2015-01-05 266.761
2015-01-06 267.408
2015-01-07 269.565
2015-01-08 268.8115
2015-01-09 268.067
2015-01-10 267.495
2015-01-11 267.3085
2015-01-12 268.2675
2015-01-13 269.1305
2015-01-14 269.1305
2015-01-15 277.8725
2015-01-16 277.141
2015-01-17 275.435
2015-01-18 275.4875
2015-01-19 275.56
2015-01-20 275.1085
2015-01-21 272.7645
2015-01-22 272.5135
2015-01-23 275.7505
2015-01-24 276.372
2015-01-25 277.866
2015-01-26 276.926
2015-01-27 275.737
2015-01-28 274.74
2015-01-29 276.0725
2015-01-30 274.8525
2015-01-31 275.1035
2015-02-01 275.0125
2015-02-02 274.59
2015-02-03 272.086
2015-02-04 269.694
2015-02-05 270.312
2015-02-06 268.5115
2015-02-07 270.4125
2015-02-08 270.441
2015-02-09 271.0605
2015-02-10 272.65
2015-02-11 273.43
2015-02-12 271.2475
2015-02-13 268.293
2015-02-14 269.049
2015-02-15 268.724
2015-02-16 268.997
2015-02-17 270.0445
2015-02-18 269.9125
2015-02-19 268.377
2015-02-20 269.049
2015-02-21 267.9845
2015-02-22 267.949
2015-02-23 269.2375
2015-02-24 269.721
2015-02-25 268.787
2015-02-26 268.613
2015-02-27 270.2885
2015-02-28 270.3595
2015-03-01 270.4085
2015-03-02 271.388
2015-03-03 272.9915
2015-03-04 275.495
2015-03-05 276.723
2015-03-06 278.528
2015-03-07 281.954
2015-03-08 281.954
2015-03-09 281.361
2015-03-10 284.006
2015-03-11 284.006
2015-03-12 284.006
2015-03-13 284.006
2015-03-14 291.27
2015-03-15 291.27
2015-03-16 289.18
2015-03-17 286.868
2015-03-18 285.891
2015-03-19 282.901
2015-03-20 283.114
2015-03-21 280.3035
2015-03-22 280.248
2015-03-23 279.5795
2015-03-24 276.4195
2015-03-25 273.1505
2015-03-26 273.2465
2015-03-27 276.1105
2015-03-28 275.673
2015-03-29 275.71
2015-03-30 276.286
2015-03-31 278.2295
2015-04-01 278.303
2015-04-02 276.584
2015-04-03 274.4995
2015-04-04 272.5795
2015-04-05 272.494
2015-04-06 272.1415
2015-04-07 274.6135
2015-04-08 274.728
2015-04-09 276.9955
2015-04-10 280.075
2015-04-11 280.069
2015-04-12 280.198
2015-04-13 280.612
2015-04-14 279.8635
2015-04-15 279.9745
2015-04-16 280.7305
2015-04-17 279.611
2015-04-18 278.718
2015-04-19 278.6665
2015-04-20 278.5795
2015-04-21 278.18
2015-04-22 279.056
2015-04-23 279.755
2015-04-24 278.1025
2015-04-25 278.934
2015-04-26 279.17
2015-04-27 277.867
2015-04-28 275.49
2015-04-29 273.486
2015-04-30 271.422
2015-05-01 270.67
2015-05-02 271.286
2015-05-03 271.2915
2015-05-04 271.8055
2015-05-05 271.916
2015-05-06 270.598
2015-05-07 269.544
2015-05-08 270.119
2015-05-09 269.9145
2015-05-10 270.2625
2015-05-11 272.117
2015-05-12 273.124
2015-05-13 272.2995
2015-05-14 269.994
2015-05-15 268.9435
2015-05-16 267.4965
2015-05-17 267.87
2015-05-18 269.812
2015-05-19 273.6425
2015-05-20 275.607
2015-05-21 276.1545
2015-05-22 276.945
2015-05-23 278.773
2015-05-24 279.246
2015-05-25 280.153
2015-05-26 282.6875
2015-05-27 283.813
2015-05-28 283.133
2015-05-29 281.914
2015-05-30 281.364
2015-05-31 281.393
2015-06-01 282.625
2015-06-02 281.147
2015-06-03 279.2345
2015-06-04 276.8845
2015-06-05 278.5885
2015-06-06 280.625
2015-06-07 280.7165
2015-06-08 280.4955
2015-06-09 277.6615
2015-06-10 276.528
2015-06-11 276.6925
2015-06-12 277.228
2015-06-13 277.0955
2015-06-14 278.5265
2015-06-15 278.437
2015-06-16 277.258
2015-06-17 276.6735
2015-06-18 274.004
2015-06-19 275.8115
2015-06-20 275.8555
2015-06-21 275.343
2015-06-22 274.5335
2015-06-23 276.0375
2015-06-24 277.327
2015-06-25 278.388
2015-06-26 279.275
2015-06-27 279.49
2015-06-28 280.1155
2015-06-29 283.648
2015-06-30 282.034
2015-07-01 283.1515
2015-07-02 283.7165
2015-07-03 283.7145
2015-07-04 283.128
2015-07-05 283.8965
2015-07-06 286.258
2015-07-07 287.7015
2015-07-08 287.9285
2015-07-09 286.5115
2015-07-10 281.615
2015-07-11 279.419
2015-07-12 279.71
2015-07-13 280.9985
2015-07-14 282.14
2015-07-15 282.509
2015-07-16 283.5995
2015-07-17 284.3735
2015-07-18 285.362
2015-07-19 285.2535
2015-07-20 285.53
2015-07-21 284.47
2015-07-22 282.0055
2015-07-23 281.756
