"Index" "R6.Open" "R6.High" "R6.Low" "R6.Close" "R6.Volume" "R6.Adjusted"
2014-05-21 401.76 401.76 401.76 401.76 0 401.76
2014-05-22 402.83 402.83 402.83 402.83 0 402.83
2014-05-23 402.58 402.58 402.58 402.58 0 402.58
2014-05-26 403.44 403.44 403.44 403.44 0 403.44
2014-05-27 403.1 403.1 403.1 403.1 0 403.1
2014-05-28 403.11 403.11 403.11 403.11 0 403.11
2014-05-29 403.55 403.55 403.55 403.55 0 403.55
2014-05-30 397.92 397.92 397.92 397.92 0 397.92
2014-06-02 403.06 403.06 403.06 403.06 0 403.06
2014-06-03 404.94 404.94 404.94 404.94 0 404.94
2014-06-04 403.32 403.32 403.32 403.32 0 403.32
2014-06-05 405.48 405.48 405.48 405.48 0 405.48
2014-06-06 411.23 411.23 411.23 411.23 0 411.23
2014-06-09 413.43 413.43 413.43 413.43 0 413.43
2014-06-10 413.83 413.83 413.83 413.83 0 413.83
2014-06-11 413.02 413.02 413.02 413.02 0 413.02
2014-06-12 410.16 410.16 410.16 410.16 0 410.16
2014-06-13 408.63 408.63 408.63 408.63 0 408.63
2014-06-16 409.75 409.75 409.75 409.75 0 409.75
2014-06-17 409.94 409.94 409.94 409.94 0 409.94
2014-06-18 411.76 411.76 411.76 411.76 0 411.76
2014-06-19 413.15 413.15 413.15 413.15 0 413.15
2014-06-20 412.49 412.49 412.49 412.49 0 412.49
2014-06-23 412.89 412.89 412.89 412.89 0 412.89
2014-06-24 412.58 412.58 412.58 412.58 0 412.58
2014-06-25 412.28 412.28 412.28 412.28 0 412.28
2014-06-26 410.08 410.08 410.08 410.08 0 410.08
2014-06-27 409.05 409.05 409.05 409.05 0 409.05
2014-06-30 411.57 411.57 411.57 411.57 0 411.57
2014-07-01 412.79 412.79 412.79 412.79 0 412.79
2014-07-02 416.5 416.5 416.5 416.5 0 416.5
2014-07-03 419.96 419.96 419.96 419.96 0 419.96
2014-07-04 418.73 418.73 418.73 418.73 0 418.73
2014-07-07 418.21 418.21 418.21 418.21 0 418.21
2014-07-08 417.71 417.71 417.71 417.71 0 417.71
2014-07-09 420.31 420.31 420.31 420.31 0 420.31
2014-07-10 418.27 418.27 418.27 418.27 0 418.27
2014-07-11 418.35 418.35 418.35 418.35 0 418.35
2014-07-14 422.78 422.78 422.78 422.78 0 422.78
2014-07-15 423.25 423.25 423.25 423.25 0 423.25
2014-07-16 423.57 423.57 423.57 423.57 0 423.57
2014-07-17 422.88 422.88 422.88 422.88 0 422.88
2014-07-18 426.26 426.26 426.26 426.26 0 426.26
2014-07-21 424.98 424.98 424.98 424.98 0 424.98
2014-07-22 426.27 426.27 426.27 426.27 0 426.27
2014-07-23 425.72 425.72 425.72 425.72 0 425.72
2014-07-24 428.06 428.06 428.06 428.06 0 428.06
2014-07-25 427.77 427.77 427.77 427.77 0 427.77
2014-07-28 429.21 429.21 429.21 429.21 0 429.21
2014-07-29 428.62 428.62 428.62 428.62 0 428.62
2014-07-30 426.96 426.96 426.96 426.96 0 426.96
2014-07-31 422.35 422.35 422.35 422.35 0 422.35
2014-08-01 424.06 424.06 424.06 424.06 0 424.06
2014-08-04 429.79 429.79 429.79 429.79 0 429.79
2014-08-05 428.68 428.68 428.68 428.68 0 428.68
2014-08-06 428.35 428.35 428.35 428.35 0 428.35
2014-08-07 425.51 425.51 425.51 425.51 0 425.51
2014-08-08 425.54 425.54 425.54 425.54 0 425.54
2014-08-11 430.8 430.8 430.8 430.8 0 430.8
2014-08-12 431.49 431.49 431.49 431.49 0 431.49
