"Index" "USD.INR"
2015-07-28 63.9878
2015-07-29 63.8398
2015-07-30 63.9906
2015-07-31 64.0507
2015-08-01 64.019
2015-08-02 64.019
2015-08-03 64.0386
2015-08-04 63.9072
2015-08-05 63.7804
2015-08-06 63.7002
2015-08-07 63.7273
2015-08-08 63.685
2015-08-09 63.685
2015-08-10 63.7478
2015-08-11 64.1731
2015-08-12 64.7411
2015-08-13 65.0504
2015-08-14 65.1145
2015-08-15 65.11
2015-08-16 65.11
2015-08-17 65.2664
2015-08-18 65.4409
2015-08-19 65.2775
2015-08-20 65.3123
2015-08-21 65.8522
2015-08-22 66.219
2015-08-23 66.219
2015-08-24 66.727
2015-08-25 66.5392
2015-08-26 66.3086
2015-08-27 66.0202
2015-08-28 66.0762
2015-08-29 66.148
2015-08-30 66.148
2015-08-31 66.3397
2015-09-01 66.3602
2015-09-02 66.2758
2015-09-03 66.1658
2015-09-04 66.4333
2015-09-05 66.708
2015-09-06 66.708
2015-09-07 66.7968
2015-09-08 66.598
2015-09-09 66.4184
2015-09-10 66.5202
2015-09-11 66.364
2015-09-12 66.308
2015-09-13 66.308
2015-09-14 66.3484
2015-09-15 66.3779
2015-09-16 66.345
2015-09-17 66.1588
2015-09-18 65.881
2015-09-19 65.875
2015-09-20 65.875
2015-09-21 65.8005
2015-09-22 65.7906
2015-09-23 66.0648
2015-09-24 66.2724
2015-09-25 66.2018
2015-09-26 66.242
2015-09-27 66.242
2015-09-28 66.2513
2015-09-29 66.2136
2015-09-30 65.7113
2015-10-01 65.5702
2015-10-02 65.51
2015-10-03 65.248
2015-10-04 65.248
2015-10-05 65.2097
2015-10-06 65.2046
2015-10-07 65.0255
2015-10-08 64.9618
2015-10-09 64.7161
2015-10-10 64.684
2015-10-11 64.684
2015-10-12 64.7536
2015-10-13 65.0206
2015-10-14 65.0068
2015-10-15 64.7415
2015-10-16 64.7695
2015-10-17 64.703
2015-10-18 64.703
2015-10-19 64.7876
2015-10-20 64.9377
2015-10-21 65.0709
2015-10-22 65.0071
2015-10-23 64.8084
2015-10-24 64.95
2015-10-25 64.95
2015-10-26 64.8985
2015-10-27 64.9544
2015-10-28 65.0438
2015-10-29 65.261
2015-10-30 65.3478
2015-10-31 65.398
2015-11-01 65.398
