"Index" "USD.RUB"
2014-07-30 35.6761
2014-07-31 35.5928
2014-08-01 35.7419
2014-08-02 35.7419
2014-08-03 35.753
2014-08-04 35.7712
2014-08-05 35.8708
2014-08-06 36.1471
2014-08-07 36.2628
2014-08-08 36.3036
2014-08-09 36.1605
2014-08-10 36.33
2014-08-11 36.0247
2014-08-12 36.0569
2014-08-13 36.1577
2014-08-14 35.9951
2014-08-15 36.0364
2014-08-16 36.0364
2014-08-17 36.1115
2014-08-18 36.0489
2014-08-19 36.1161
2014-08-20 36.2403
2014-08-21 36.2355
2014-08-22 36.0901
2014-08-23 36.1165
2014-08-24 36.11
2014-08-25 36.1531
2014-08-26 36.1356
2014-08-27 36.1063
2014-08-28 36.4698
2014-08-29 36.9018
2014-08-30 37.048
2014-08-31 37.048
2014-09-01 37.3088
2014-09-02 37.3922
2014-09-03 37.0763
2014-09-04 36.915
2014-09-05 36.9416
2014-09-06 36.9415
2014-09-07 36.9415
2014-09-08 37.0722
2014-09-09 37.0635
2014-09-10 37.2092
2014-09-11 37.4383
2014-09-12 37.7104
2014-09-13 37.7995
2014-09-14 37.7995
2014-09-15 38.1898
2014-09-16 38.4906
2014-09-17 38.3613
2014-09-18 38.4528
2014-09-19 38.4484
2014-09-20 38.4185
2014-09-21 38.4185
2014-09-22 38.6208
2014-09-23 38.6427
2014-09-24 38.3557
2014-09-25 38.3652
2014-09-26 38.8391
2014-09-27 39.1465
2014-09-28 39.1465
2014-09-29 39.4512
2014-09-30 39.4883
2014-10-01 39.6569
2014-10-02 39.6171
2014-10-03 39.756
2014-10-04 40.154
2014-10-05 40.154
2014-10-06 39.8683
2014-10-07 39.8293
2014-10-08 39.977
2014-10-09 40.0039
2014-10-10 40.2699
2014-10-11 40.3855
2014-10-12 40.3855
2014-10-13 40.4422
2014-10-14 40.6602
2014-10-15 40.8489
2014-10-16 40.7714
2014-10-17 40.8616
2014-10-18 40.74
2014-10-19 40.74
2014-10-20 40.9738
2014-10-21 40.99
2014-10-22 41.1008
2014-10-23 41.5832
2014-10-24 41.8363
2014-10-25 41.9155
2014-10-26 41.9129
2014-10-27 42.1583
2014-10-28 42.3657
2014-10-29 42.7111
2014-10-30 43.2088
2014-10-31 43.0056
2014-11-01 43.0595
2014-11-02 43.0595
2014-11-03 43.4525
2014-11-04 43.6061
2014-11-05 44.3361
2014-11-06 45.6673
2014-11-07 47.0525
2014-11-08 46.6885
2014-11-09 46.6885
2014-11-10 45.6354
2014-11-11 46.3637
2014-11-12 46.1207
2014-11-13 46.442
2014-11-14 47.1645
2014-11-15 47.295
2014-11-16 47.295
2014-11-17 47.25
2014-11-18 46.8975
2014-11-19 46.8771
2014-11-20 46.5042
2014-11-21 45.7843
2014-11-22 45.7843
2014-11-23 45.7047
2014-11-24 44.9481
2014-11-25 45.5401
2014-11-26 46.6653
2014-11-27 47.6584
2014-11-28 49.5837
2014-11-29 49.5837
2014-11-30 50.2825
2014-12-01 50.2825
2014-12-02 52.8479
2014-12-03 53.5248
2014-12-04 53.7028
2014-12-05 53.3884
2014-12-06 52.695
2014-12-07 52.695
2014-12-08 53.5951
2014-12-09 54.1706
2014-12-10 54.391
2014-12-11 55.2373
2014-12-12 57.0435
2014-12-13 57.0435
2014-12-14 57.0435
2014-12-15 61.6744
2014-12-16 68.3013
2014-12-17 65.0487
2014-12-18 65.0487
2014-12-19 65.0487
2014-12-20 65.0487
2014-12-21 58.878
2014-12-22 56.0256
2014-12-23 54.8024
2014-12-24 54.1565
2014-12-25 53.0192
2014-12-26 53.496
2014-12-27 53.496
2014-12-28 53.9336
2014-12-29 57.0051
2014-12-30 56.6331
2014-12-31 59.296
2015-01-01 59.5625
2015-01-02 59.2297
2015-01-03 59.2297
2015-01-04 58.535
2015-01-05 59.6004
2015-01-06 62.7915
2015-01-07 63.1474
2015-01-08 61.4932
2015-01-09 61.4442
2015-01-10 61.4442
2015-01-11 61.675
2015-01-12 62.8234
2015-01-13 64.4338
2015-01-14 64.4338
2015-01-15 64.9342
2015-01-16 65.1868
2015-01-17 65.275
2015-01-18 65.275
2015-01-19 64.8567
2015-01-20 65.1693
2015-01-21 65.4961
2015-01-22 64.9464
2015-01-23 63.9746
2015-01-24 64.125
2015-01-25 63.7038
2015-01-26 66.3526
2015-01-27 67.4853
2015-01-28 67.6017
2015-01-29 68.9031
2015-01-30 69.8809
2015-01-31 70.05
2015-02-01 70.05
2015-02-02 69.0929
2015-02-03 66.4938
2015-02-04 66.8738
2015-02-05 67.0793
2015-02-06 66.6876
2015-02-07 66.6876
2015-02-08 67.075
2015-02-09 65.803
2015-02-10 65.9693
2015-02-11 65.9464
2015-02-12 65.6316
2015-02-13 64.4376
2015-02-14 63.35
2015-02-15 63.35
2015-02-16 62.8356
2015-02-17 62.828
2015-02-18 61.9455
2015-02-19 62.0118
2015-02-20 61.9587
2015-02-21 61.9587
2015-02-22 60.5792
2015-02-23 63.6538
2015-02-24 63.0877
2015-02-25 62.1061
2015-02-26 60.8608
2015-02-27 61.5146
2015-02-28 61.225
2015-03-01 61.225
2015-03-02 62.2292
2015-03-03 62.1356
2015-03-04 61.9055
2015-03-05 61.4262
2015-03-06 60.0689
2015-03-07 60.395
2015-03-08 60.395
2015-03-09 60.5858
2015-03-10 61.2036
2015-03-11 62.2244
2015-03-12 61.5026
2015-03-13 61.4417
2015-03-14 62.25
2015-03-15 62.25
2015-03-16 62.2739
2015-03-17 61.7186
2015-03-18 60.8478
2015-03-19 59.9963
2015-03-20 59.8895
2015-03-21 59.3
2015-03-22 59.2797
2015-03-23 59.0419
2015-03-24 58.1097
2015-03-25 57.2097
2015-03-26 56.9437
2015-03-27 57.5605
2015-03-28 57.95
2015-03-29 57.95
2015-03-30 57.856
2015-03-31 57.867
2015-04-01 57.9268
2015-04-02 56.8231
2015-04-03 56.7623
2015-04-04 56.7623
2015-04-05 56.706
2015-04-06 55.961
2015-04-07 55.1516
2015-04-08 53.8695
2015-04-09 52.4443
2015-04-10 52.0412
2015-04-11 53.3366
2015-04-12 53.6133
2015-04-13 52.7225
2015-04-14 51.5877
2015-04-15 50.5161
2015-04-16 49.8434
2015-04-17 51.3008
2015-04-18 51.3008
2015-04-19 52.004
2015-04-20 52.4096
2015-04-21 53.5579
2015-04-22 52.9479
2015-04-23 51.4278
2015-04-24 50.8932
2015-04-25 50.8932
2015-04-26 50.5563
2015-04-27 51.46
2015-04-28 51.7426
2015-04-29 51.2867
2015-04-30 51.4235
2015-05-01 51.6485
2015-05-02 51.8902
2015-05-03 51.8902
2015-05-04 51.8745
2015-05-05 51.1473
2015-05-06 50.3511
2015-05-07 50.4839
2015-05-08 50.8344
2015-05-09 50.8344
2015-05-10 50.5246
2015-05-11 51.3744
2015-05-12 50.567
2015-05-13 49.4377
2015-05-14 49.9443
2015-05-15 49.825
2015-05-16 49.395
2015-05-17 49.3263
2015-05-18 49.1627
2015-05-19 49.3924
2015-05-20 49.8568
2015-05-21 49.793
2015-05-22 49.9641
2015-05-23 49.95
2015-05-24 49.45
2015-05-25 49.9569
2015-05-26 50.5467
2015-05-27 51.3235
2015-05-28 52.2126
2015-05-29 53.0159
2015-05-30 52.424
2015-05-31 52.4425
2015-06-01 53.1801
2015-06-02 53.1505
2015-06-03 53.655
2015-06-04 55.2903
2015-06-05 56.0904
