"Index" "FEW.Open" "FEW.High" "FEW.Low" "FEW.Close" "FEW.Volume" "FEW.Adjusted"
2014-12-16 1.944 1.944 1.944 1.944 0 1.944
2014-12-17 1.927 1.927 1.927 1.927 0 1.927
2014-12-18 1.923 1.923 1.923 1.923 0 1.923
2014-12-19 1.822 1.822 1.822 1.822 0 1.822
2014-12-22 1.834 1.834 1.834 1.834 100 1.834
2014-12-23 1.8 1.8 1.8 1.8 0 1.8
2014-12-24 1.8 1.8 1.8 1.8 0 1.8
2014-12-25 1.8 1.8 1.8 1.8 0 1.8
2014-12-26 1.8 1.8 1.8 1.8 0 1.8
2014-12-29 1.8 1.8 1.8 1.8 0 1.8
2014-12-30 1.745 1.745 1.745 1.745 0 1.745
2014-12-31 1.745 1.745 1.745 1.745 0 1.745
2015-01-01 1.745 1.745 1.745 1.745 0 1.745
2015-01-02 1.716 1.716 1.716 1.716 0 1.716
2015-01-05 1.715 1.715 1.715 1.715 0 1.715
2015-01-06 1.717 1.717 1.717 1.717 0 1.717
2015-01-07 1.78 1.78 1.78 1.78 0 1.78
2015-01-08 1.807 1.807 1.807 1.807 0 1.807
2015-01-09 1.744 1.744 1.744 1.744 0 1.744
2015-01-12 1.77 1.77 1.77 1.77 0 1.77
2015-01-13 1.816 1.816 1.816 1.816 0 1.816
2015-01-14 1.787 1.787 1.787 1.787 0 1.787
2015-01-15 1.929 1.929 1.929 1.929 0 1.929
2015-01-16 1.861 1.861 1.861 1.861 0 1.861
2015-01-19 1.88 1.88 1.88 1.88 0 1.88
2015-01-20 1.88 1.88 1.88 1.88 0 1.88
2015-01-21 1.88 1.88 1.88 1.88 0 1.88
2015-01-22 1.88 1.88 1.88 1.88 0 1.88
2015-01-23 1.88 1.88 1.88 1.88 0 1.88
2015-01-26 1.88 1.88 1.88 1.88 0 1.88
2015-01-27 1.867 1.867 1.867 1.867 0 1.867
2015-01-28 1.718 1.718 1.718 1.718 0 1.718
2015-01-29 1.747 1.747 1.747 1.747 0 1.747
2015-01-30 1.747 1.747 1.747 1.747 0 1.747
2015-02-02 1.747 1.747 1.747 1.747 0 1.747
2015-02-03 1.747 1.747 1.747 1.747 0 1.747
2015-02-04 1.72 1.72 1.72 1.72 0 1.72
2015-02-05 1.72 1.72 1.72 1.72 0 1.72
2015-02-06 1.72 1.72 1.72 1.72 0 1.72
2015-02-09 1.72 1.72 1.72 1.72 100 1.72
2015-02-10 1.72 1.72 1.72 1.72 0 1.72
2015-02-11 1.72 1.72 1.72 1.72 0 1.72
2015-02-12 1.72 1.72 1.72 1.72 0 1.72
2015-02-13 1.722 1.722 1.722 1.722 0 1.722
2015-02-16 1.72 1.72 1.72 1.72 0 1.72
2015-02-17 1.72 1.72 1.72 1.72 0 1.72
2015-02-18 1.75 1.75 1.75 1.75 0 1.75
2015-02-19 1.76 1.76 1.76 1.76 0 1.76
2015-02-20 1.76 1.76 1.76 1.76 0 1.76
2015-02-23 1.72 1.72 1.72 1.72 0 1.72
2015-02-24 1.72 1.75 1.72 1.75 200 1.75
2015-02-25 1.72 1.72 1.72 1.72 0 1.72
2015-02-26 1.72 1.72 1.72 1.72 0 1.72
2015-02-27 1.7 1.7 1.7 1.7 0 1.7
2015-03-02 1.705 1.705 1.705 1.705 0 1.705
2015-03-03 1.701 1.701 1.701 1.701 0 1.701
2015-03-04 1.701 1.895 1.701 1.895 1100 1.895
2015-03-05 1.801 1.801 1.801 1.801 0 1.801
2015-03-06 1.72 1.72 1.72 1.72 500 1.72
2015-03-09 1.8 1.8 1.8 1.8 1000 1.8
2015-03-10 1.776 1.776 1.776 1.776 0 1.776
2015-03-11 1.75 1.75 1.75 1.75 0 1.75
2015-03-12 1.79 1.79 1.79 1.79 0 1.79
2015-03-13 1.73 1.73 1.73 1.73 0 1.73
2015-03-16 1.8 1.8 1.8 1.8 0 1.8
2015-03-17 1.768 1.768 1.768 1.768 0 1.768
2015-03-18 1.73 1.73 1.73 1.73 0 1.73
2015-03-19 1.782 1.782 1.782 1.782 0 1.782
2015-03-20 1.83 1.83 1.83 1.83 0 1.83
2015-03-23 1.88 1.88 1.88 1.88 0 1.88
2015-03-24 1.992 1.992 1.992 1.992 0 1.992
2015-03-25 2.03 2.03 2.03 2.03 0 2.03
2015-03-26 2.068 2.068 2.068 2.068 0 2.068
2015-03-27 2.07 2.07 2.04 2.04 3000 2.04
2015-03-30 2.081 2.081 2.081 2.081 0 2.081
2015-03-31 2.127 2.127 2.127 2.127 0 2.127
2015-04-01 2.1 2.1 2.1 2.1 0 2.1
2015-04-02 2.103 2.52 2.103 2.52 300 2.52
2015-04-03 2.52 2.52 2.52 2.52 0 2.52
2015-04-06 2.52 2.52 2.52 2.52 0 2.52
2015-04-07 2.549 2.549 2.549 2.549 0 2.549
2015-04-08 2.7 2.872 2.7 2.872 300 2.872
2015-04-09 2.97 2.98 2.97 2.98 0 2.98
2015-04-10 2.94 2.94 2.94 2.94 0 2.94
2015-04-13 3.022 3.022 3.022 3.022 0 3.022
2015-04-14 2.881 2.881 2.881 2.881 0 2.881
2015-04-15 2.715 2.715 2.715 2.715 0 2.715
2015-04-16 2.525 2.525 2.525 2.525 0 2.525
2015-04-17 2.17 2.17 2.17 2.17 0 2.17
2015-04-20 2.2 2.48 2.2 2.48 300 2.48
2015-04-21 2.34 2.34 2.34 2.34 0 2.34
2015-04-22 2.27 2.27 2.27 2.27 0 2.27
2015-04-23 2.282 2.282 2.282 2.282 0 2.282
2015-04-24 2.35 2.35 2.35 2.35 0 2.35
2015-04-27 2.3 2.3 2.3 2.3 0 2.3
2015-04-28 2.224 2.224 2.068 2.068 300 2.068
2015-04-29 2.05 2.05 2.05 2.05 0 2.05
2015-04-30 2.05 2.05 2.05 2.05 0 2.05
2015-05-01 2.05 2.05 2.05 2.05 0 2.05
2015-05-04 2.05 2.05 2.05 2.05 0 2.05
2015-05-05 2.098 2.098 2.098 2.098 0 2.098
2015-05-06 2.21 2.21 2.21 2.21 0 2.21
2015-05-07 2.192 2.192 2.192 2.192 0 2.192
2015-05-08 2.192 2.192 2.192 2.192 0 2.192
2015-05-11 2.139 2.139 2.139 2.139 0 2.139
2015-05-12 2.05 2.05 2.05 2.05 0 2.05
2015-05-13 2.11 2.11 2.11 2.11 0 2.11
2015-05-14 2.11 2.11 2.11 2.11 0 2.11
2015-05-15 2.11 2.11 2.11 2.11 0 2.11
2015-05-18 2.068 2.068 2.068 2.068 0 2.068
2015-05-19 2.088 2.088 2.088 2.088 0 2.088
2015-05-20 2.106 2.106 2.106 2.106 0 2.106
2015-05-21 2.11 2.11 2.11 2.11 0 2.11
2015-05-22 2.307 2.307 2.307 2.307 0 2.307
2015-05-25 2.2 2.2 2.2 2.2 0 2.2
2015-05-26 2.2 2.2 2.2 2.2 0 2.2
2015-05-27 2.181 2.181 2.181 2.181 0 2.181
2015-05-28 2.2 2.2 2.2 2.2 0 2.2
2015-05-29 2.2 2.2 2.2 2.2 0 2.2
2015-06-01 2.2 2.2 2.2 2.2 0 2.2
2015-06-02 2.1 2.1 2.1 2.1 0 2.1
2015-06-03 2.1 2.1 2.1 2.1 0 2.1
2015-06-04 2.22 2.22 2.22 2.22 0 2.22
2015-06-05 2.22 2.22 2.22 2.22 0 2.22
2015-06-08 2.166 2.166 2.166 2.166 0 2.166
2015-06-09 2.166 2.166 2.166 2.166 0 2.166
2015-06-10 2.16 2.16 2.16 2.16 0 2.16
2015-06-11 2.16 2.16 2.16 2.16 0 2.16
2015-06-12 2.16 2.16 2.16 2.16 0 2.16
2015-06-15 2.16 2.16 2.16 2.16 0 2.16
2015-06-16 2.107 2.107 2.107 2.107 0 2.107
2015-06-17 2.107 2.107 2.107 2.107 0 2.107
2015-06-18 2.107 2.202 2.107 2.202 100 2.202
2015-06-19 2.202 2.202 2.202 2.202 0 2.202
2015-06-22 2.1 2.1 2.1 2.1 0 2.1
2015-06-23 2.146 2.146 2.146 2.146 0 2.146
2015-06-24 2.146 2.146 2.146 2.146 0 2.146
2015-06-25 2.146 2.146 2.146 2.146 0 2.146
2015-06-26 2.146 2.146 2.146 2.146 0 2.146
2015-06-29 2.1 2.1 2.1 2.1 0 2.1
2015-06-30 2.1 2.1 2.1 2.1 0 2.1
2015-07-01 2.1 2.1 2.1 2.1 0 2.1
2015-07-02 2.1 2.1 2.1 2.1 0 2.1
2015-07-03 2.137 2.137 2.137 2.137 0 2.137
2015-07-06 2.15 2.15 2.15 2.15 0 2.15
2015-07-07 2.191 2.191 2.191 2.191 0 2.191
2015-07-08 2.102 2.102 2.102 2.102 0 2.102
2015-07-09 2.13 2.13 2.13 2.13 0 2.13
2015-07-10 2.137 2.137 2.137 2.137 0 2.137
