"Index" "KRZ.Open" "KRZ.High" "KRZ.Low" "KRZ.Close" "KRZ.Volume" "KRZ.Adjusted"
2014-07-08 55.5 55.74 54.549 54.56 147000 54.0282
2014-07-09 55.27 55.27 54.48 55.09 292600 54.553
2014-07-10 55 55.34 54.73 55.34 151900 54.8006
2014-07-11 55.02 55.84 55.02 55.7 151100 55.1571
2014-07-14 55.97 56.41 55.63 56.25 119900 55.7017
2014-07-15 56.1 57 56.1 57 144800 56.4444
2014-07-16 57.1 57.73 56.76 57.3 177700 56.7415
2014-07-17 57.3 57.71 57.22 57.45 296300 56.89
2014-07-18 56.77 57.57 56.58 56.78 136800 56.2265
2014-07-21 57.07 57.07 56.18 56.57 99400 56.0186
2014-07-22 56.31 57.36 56.31 56.77 252100 56.2166
2014-07-23 56.36 57.65 56.36 57.29 133400 56.7316
2014-07-24 57 57.4 55.84 56.75 133700 56.1968
2014-07-25 56.9 57.07 56.62 56.95 129900 56.3949
2014-07-28 56.88 57.19 56.53 56.68 193300 56.1275
2014-07-29 56.43 57.1 56.43 56.75 109000 56.1968
2014-07-30 56.36 56.63 55.55 55.97 113000 55.4244
2014-07-31 55.05 55.83 55.05 55.5 147300 54.959
2014-08-01 55.8 55.8 54.88 55.49 121200 54.9491
2014-08-04 55.88 55.88 54.58 54.63 140300 54.0975
2014-08-05 54.41 54.81 53.4 53.9 129300 53.3746
2014-08-06 53.5 53.5 52.62 53.37 278800 52.8498
2014-08-07 53.5 55.07 53.5 55.07 229400 54.5332
2014-08-08 55 55 54 54.25 238100 53.7212
2014-08-11 54.5 55.17 54.34 55.09 94600 54.553
2014-08-12 55.37 55.38 54.7 55.1 73900 54.5629
2014-08-13 55.2 55.94 55.2 55.64 308700 55.0977
2014-08-14 55.86 56.23 55.35 56.23 171700 55.6819
2014-08-15 55.82 56.67 55.76 56.09 91400 55.5433
2014-08-18 56.6 56.93 55.96 56.6 124100 56.0483
2014-08-19 57 57.09 56.66 57.06 56400 56.5038
2014-08-20 57.21 57.21 56.01 56.3 206300 55.7512
2014-08-21 56.27 56.49 55.74 56.1 272300 55.5532
2014-08-22 56 56.6 55.83 56.46 281800 55.9097
2014-08-25 56.45 57.34 56.45 56.82 50200 56.2662
2014-08-26 57.1 57.22 56.86 57.15 216200 56.5929
2014-08-27 56.8 57.4 56.8 57.19 189400 56.6325
2014-08-28 57.12 57.27 56.46 56.6 174400 56.0483
2014-08-29 57.01 57.25 56.38 57.25 164500 56.692
2014-09-01 56.62 57.4 56.62 57.23 65900 56.6722
2014-09-02 57.14 57.51 56.6 57.16 101800 56.6028
2014-09-03 57.55 57.78 57.3 57.78 214900 57.2168
2014-09-04 57.78 57.78 57.46 57.73 222700 57.1673
2014-09-05 57.7 57.7 57.13 57.5 204900 56.9395
2014-09-08 57.6 57.6 56.1 56.42 96900 55.8701
2014-09-09 56.45 56.49 55.81 56.49 138700 55.9394
2014-09-10 56.6 56.6 56.04 56.39 62300 55.8403
2014-09-11 56.6 56.6 55.87 56.06 122000 55.5136
2014-09-12 56 56.11 55.41 55.61 82500 55.0679
2014-09-15 55.3 55.71 54.92 55.5 103800 54.959
2014-09-16 54.94 55.58 54.94 55.52 175400 54.9788
2014-09-17 55.97 55.97 54.94 55 167200 54.4639
2014-09-18 55.25 55.38 54.77 55.13 182900 54.5926
2014-09-19 54.85 55.54 54.65 54.65 339400 54.1173
2014-09-22 55.07 55.07 54.5 54.93 247000 54.3946
2014-09-23 55 55.41 54.75 55 205700 54.4639
2014-09-24 55.4 55.4 54.28 54.8 484900 54.2658
2014-09-25 54.5 55.24 54.5 54.8 281200 54.2658
2014-09-26 55.14 55.4 54.75 54.85 173400 54.3154
2014-09-29 55.45 56 55.34 55.63 251300 55.0878
2014-09-30 54.25 56.13 54.25 55.82 384000 55.2759
2014-10-01 56.23 56.62 55.02 55.74 178500 55.1967
2014-10-02 55.95 56.38 53.84 54.12 161800 53.5925
2014-10-03 54.41 54.81 54.01 54.16 625900 53.6321
2014-10-06 54.5 54.99 54.22 54.44 103000 53.9094
2014-10-07 54.52 54.61 53.5 53.5 175200 52.9785
2014-10-08 53.74 54.31 53.17 54.3 485500 53.7707
2014-10-09 54.5 54.57 53.11 53.55 552400 53.028
2014-10-10 53.1 53.41 52.32 52.32 211800 51.81
2014-10-13 52.5 52.99 51.89 52.41 249400 51.8991
2014-10-14 52.6 53 51.62 51.85 150600 51.3446
2014-10-15 53 53 49.69 49.84 184700 49.3542
