"Index" "USD.EGP"
2015-09-12 7.8281
2015-09-13 7.8283
2015-09-14 7.8255
2015-09-15 7.8299
2015-09-16 7.8296
2015-09-17 7.8291
2015-09-18 7.8277
2015-09-19 7.8321
2015-09-20 7.8344
2015-09-21 7.8306
2015-09-22 7.8301
2015-09-23 7.8301
2015-09-24 7.8297
2015-09-25 7.8303
2015-09-26 7.8306
2015-09-27 7.8325
2015-09-28 7.8306
2015-09-29 7.8299
2015-09-30 7.83
2015-10-01 7.8299
2015-10-02 7.8301
2015-10-03 7.8362
2015-10-04 7.8353
2015-10-05 7.8282
2015-10-06 7.8297
2015-10-07 7.8306
2015-10-08 7.8301
2015-10-09 7.8297
2015-10-10 7.8308
2015-10-11 7.8304
2015-10-12 7.8275
2015-10-13 7.8299
2015-10-14 7.8293
2015-10-15 7.8736
2015-10-16 7.93
2015-10-17 7.9344
2015-10-18 7.9296
2015-10-19 7.9879
2015-10-20 8.0298
2015-10-21 8.0299
2015-10-22 8.0303
2015-10-23 8.031
2015-10-24 8.0252
2015-10-25 8.027
2015-10-26 8.0247
2015-10-27 8.0299
2015-10-28 8.0298
2015-10-29 8.0298
2015-10-30 8.0298
2015-10-31 8.0318
2015-11-01 8.0226
