"Index" "PE.Open" "PE.High" "PE.Low" "PE.Close" "PE.Volume" "PE.Adjusted"
2015-02-17 17.139999 17.370001 16.190001 16.969999 944500 16.969999
2015-02-18 16.68 17.24 16.41 16.469999 725000 16.469999
2015-02-19 15.83 17.16 15.83 16.75 1066200 16.75
2015-02-20 16.75 16.985001 16.23 16.360001 724100 16.360001
2015-02-23 16.049999 16.65 15.95 16.16 712800 16.16
2015-02-24 16.360001 16.389999 15.615 15.91 835300 15.91
2015-02-25 15.91 16.4 15.64 16.25 1038200 16.25
2015-02-26 16.02 16.129999 15.35 15.71 2854400 15.71
2015-02-27 15.63 16 14.75 14.89 1933800 14.89
2015-03-02 14.81 14.835 14.01 14.65 1865100 14.65
2015-03-03 14.64 14.89 14.4 14.52 916200 14.52
2015-03-04 14.49 14.68 14.05 14.49 1427300 14.49
2015-03-05 14.51 14.73 14.1 14.25 1031600 14.25
2015-03-06 14.1 14.39 13.39 13.5 1436600 13.5
2015-03-09 13.5 14.38 13.413 13.91 2032400 13.91
2015-03-10 13.68 14.45 13.68 14.31 1149600 14.31
2015-03-11 14.28 14.54 13.91 14.33 2160200 14.33
2015-03-12 14.49 14.94 14.18 14.57 1429800 14.57
2015-03-13 14.38 14.69 13.86 14.61 1515100 14.61
2015-03-16 14.47 15.07 14.06 14.99 1455100 14.99
2015-03-17 15.09 15.61 14.96 15.02 1544700 15.02
2015-03-18 14.79 15.42 14.4 15.05 1636100 15.05
2015-03-19 14.71 14.9 13.9 14.6 2556000 14.6
2015-03-20 14.8 15.06 14.46 14.84 1134800 14.84
2015-03-23 14.81 15.25 14.46 14.54 864200 14.54
2015-03-24 14.84 15.2 14.5 15.15 1610400 15.15
2015-03-25 15.48 16.459999 15.48 15.87 2183800 15.87
2015-03-26 16.26 16.5 15.74 16.24 1660300 16.24
2015-03-27 16.16 16.25 15.58 15.9 1508500 15.9
2015-03-30 15.71 16.110001 15.52 16.049999 1184000 16.049999
2015-03-31 15.8 16.280001 15.69 15.98 1091800 15.98
2015-04-01 15.9 16.940001 15.87 16.559999 3570200 16.559999
2015-04-02 16.5 17.26 16.4 16.77 2449100 16.77
2015-04-06 17.059999 17.65 16.950001 17.450001 3208100 17.450001
2015-04-07 17.35 17.690001 17.190001 17.440001 3602300 17.440001
2015-04-08 17.43 17.469999 16.555 16.67 2502200 16.67
2015-04-09 16.83 17.450001 16.67 17.209999 1979700 17.209999
2015-04-10 17.34 17.440001 16.799999 17.360001 1668000 17.360001
2015-04-13 17.48 17.48 16.790001 16.99 1882400 16.99
2015-04-14 17.209999 17.6 16.98 17.379999 1469800 17.379999
2015-04-15 17.6 18.129999 16.950001 17.68 2543600 17.68
2015-04-16 17.559999 17.620001 16.76 16.85 2400400 16.85
2015-04-17 16.75 16.790001 16.139999 16.43 1566200 16.43
2015-04-20 16.4 16.82 16.25 16.540001 1164400 16.540001
2015-04-21 16.59 16.73 15.92 16.09 1241400 16.09
2015-04-22 16.209999 16.4 15.79 16.07 880200 16.07
2015-04-23 16.049999 16.969999 16.049999 16.700001 1018800 16.700001
2015-04-24 16.65 16.93 16.379999 16.719999 870000 16.719999
2015-04-27 16.889999 17.225 16.68 16.719999 1220200 16.719999
2015-04-28 16.700001 17.049999 16.67 16.76 544900 16.76
2015-04-29 16.639999 17.790001 16.610001 17.370001 1608600 17.370001
2015-04-30 17.35 18 17 17.34 2547900 17.34
2015-05-01 17.290001 17.440001 16.790001 16.84 1400500 16.84
2015-05-04 16.9 17.26 16.49 17.18 1428100 17.18
2015-05-05 17.5 17.75 16.42 16.5 1122900 16.5
2015-05-06 16.690001 17.23 16.344 16.83 1216700 16.83
2015-05-07 16.77 16.77 15.78 16.35 1330200 16.35
2015-05-08 16.6 16.74 15.8 16.5 1684100 16.5
2015-05-11 16.66 16.950001 15.86 15.92 1702500 15.92
2015-05-12 15.87 16.440001 15.79 16 1520000 16
2015-05-13 15.93 17.040001 15.52 16.67 4217800 16.67
2015-05-14 16.83 18.030001 16.559999 17.299999 2319600 17.299999
2015-05-15 17.379999 17.844999 16.84 17.620001 1004500 17.620001
2015-05-18 17.780001 18.040001 17.49 18.01 1251600 18.01
2015-05-19 17.790001 18.219999 17.43 17.58 1859900 17.58
2015-05-20 17.48 17.629999 16.93 17.1 1603200 17.1
2015-05-21 17.370001 17.77 17.16 17.549999 1405000 17.549999
2015-05-22 17.379999 17.83 17.27 17.51 928100 17.51
2015-05-26 17.23 17.629999 16.969999 17.280001 1783900 17.280001
2015-05-27 17.23 17.66 17.040001 17.459999 1993900 17.459999
2015-05-28 17.32 17.360001 16.16 16.719999 2826900 16.719999
2015-05-29 16.610001 17.719999 16.610001 17.49 2312200 17.49
2015-06-01 17.450001 17.639999 16.99 17.360001 1903900 17.360001
2015-06-02 17.200001 17.92 17.200001 17.83 1322500 17.83
2015-06-03 17.559999 18.209999 17.559999 18.030001 1582300 18.030001
2015-06-04 18.129999 18.190001 17.48 17.690001 1487800 17.690001
2015-06-05 17.57 18.5 17.51 18.059999 1764400 18.059999
2015-06-08 17.93 18.6 17.780001 18 1870700 18
2015-06-09 18.200001 18.780001 18.040001 18.52 1548400 18.52
2015-06-10 18.620001 19 18.355 18.870001 2077600 18.870001
2015-06-11 18.860001 19.02 18.52 18.82 1123300 18.82
2015-06-12 18.66 18.889999 18.030001 18.219999 1934100 18.219999
2015-06-15 18.26 18.65 18 18.34 1693600 18.34
2015-06-16 18.360001 18.610001 17.950001 18.42 1670200 18.42
2015-06-17 18.6 18.77 17.780001 18.01 1735000 18.01
2015-06-18 18.09 18.549999 17.68 17.85 2043200 17.85
2015-06-19 17.75 18.02 17.43 17.940001 3047900 17.940001
2015-06-22 17.940001 18.530001 17.540001 18.360001 1430000 18.360001
2015-06-23 18.35 18.59 18.219 18.450001 1283600 18.450001
2015-06-24 18.440001 18.6 18.235001 18.43 1343400 18.43
2015-06-25 18.360001 18.74 17.950001 18.58 1759500 18.58
2015-06-26 18.530001 18.549999 17.82 18.01 2933000 18.01
2015-06-29 17.629999 17.860001 17.18 17.26 1684200 17.26
2015-06-30 17.58 17.620001 16.98 17.42 2399100 17.42
2015-07-01 17.450001 17.75 16.799999 17.02 1765200 17.02
2015-07-02 17.1 17.379999 16.92 17 959900 17
2015-07-06 16.51 16.719999 15.94 16.030001 2099100 16.030001
2015-07-07 16.16 16.858 15.44 16.75 2661000 16.75
2015-07-08 16.57 16.860001 16.115 16.360001 1337500 16.360001
2015-07-09 16.76 17.280001 16.540001 16.940001 1456800 16.940001
