"Index" "NS.Open" "NS.High" "NS.Low" "NS.Close" "NS.Volume" "NS.Adjusted"
2014-09-19 66.129997 66.790001 65.720001 66.029999 427500 59.983087
2014-09-22 66 66.309998 64.860001 65.349998 455100 59.36536
2014-09-23 65.379997 65.989998 64.07 64.099998 339800 58.229833
2014-09-24 64.040001 64.349998 62.860001 63.77 271700 57.930056
2014-09-25 63.919998 63.990002 62.830002 63.16 210200 57.375918
2014-09-26 62.080002 64.400002 62.080002 64.220001 168300 58.338846
2014-09-29 63.93 64.610001 63.419998 64.489998 181300 58.584117
2014-09-30 64.510002 66 63.669998 65.940002 465600 59.901333
2014-10-01 65.830002 66.940002 65.050003 65.449997 909400 59.456201
2014-10-02 65.620003 65.620003 63.43 65.010002 507900 59.0565
2014-10-03 65 65.870003 63.939999 65.339996 192200 59.356274
2014-10-06 65.339996 65.82 64.510002 65.529999 234100 59.528876
2014-10-07 65.290001 65.860001 64.120003 64.660004 482700 58.738554
2014-10-08 64.599998 64.709999 61.91 64.480003 561600 58.575038
2014-10-09 64.279999 64.279999 61.650002 62.900002 596800 57.13973
2014-10-10 62.419998 63.169998 56.52 60.779999 1218300 55.213873
2014-10-13 61.049999 61.049999 56.150002 56.810001 1377700 51.607441
2014-10-14 56.509998 58.27 53.060001 55.099998 1169800 50.054037
2014-10-15 55.189999 59.970001 53.419998 59.599998 734600 54.141935
2014-10-16 58.560001 62.689999 58.349998 61.709999 769200 56.058706
2014-10-17 62.209999 63.529999 58.93 61.700001 668300 56.049623
2014-10-20 61.790001 64.5 61.790001 63.709999 687900 57.875549
2014-10-21 63.900002 65.480003 63.43 65.160004 941400 59.192765
2014-10-22 65.110001 65.5 63.830002 64.43 866700 58.529614
2014-10-23 64.57 65.43 63.650002 65.019997 456100 59.065579
2014-10-24 65.029999 65.900002 64.5 65.529999 403000 59.528876
2014-10-27 65.099998 65.099998 63.82 64.699997 270200 58.774885
2014-10-28 64.839996 64.839996 63.130001 64.459999 572000 58.556865
2014-10-29 64.480003 65 63.869999 64.949997 347300 59.00199
2014-10-30 64.949997 64.949997 62.299999 62.68 434800 56.939876
2014-10-31 64.239998 64.239998 60.07 60.799999 1144000 55.232042
2014-11-03 60.5 63.369999 59.52 62.5 1284000 56.77636
2014-11-04 61.75 62.330002 59.599998 60.470001 636200 54.932265
2014-11-05 60.779999 62.41 60.099998 61.48 774100 55.849769
2014-11-06 61.369999 61.369999 59.450001 60.099998 474900 55.586173
2014-11-07 59.970001 61.220001 59.939999 60.200001 623200 55.678665
2014-11-10 59.91 60.740002 59.900002 60.139999 394700 55.62317
2014-11-11 60.049999 61.009998 59.889999 60.720001 436700 56.15961
2014-11-12 60.5 60.799999 60.049999 60.130001 566900 55.613922
2014-11-13 60.099998 60.84 57.23 57.689999 696300 53.357177
2014-11-14 58.34 58.82 56.279999 58.799999 1051300 54.383811
2014-11-17 57.799999 60.349998 57.439999 60.23 827000 55.70641
2014-11-18 60.240002 60.66 58.82 59.799999 495000 55.308705
2014-11-19 59.700001 60.459999 58.959999 59.77 443800 55.28096
2014-11-20 59.360001 60.240002 59.060001 60.07 553300 55.558427
2014-11-21 60.299999 61.310001 59.790001 61.02 1912400 56.437078
2014-11-24 61 61.099998 57.98 58.02 643800 53.662394
2014-11-25 58.27 58.799999 58.029999 58.419998 578800 54.03235
2014-11-26 58.389999 60.09 58.02 60.040001 380200 55.530682
2014-11-28 58.740002 58.849998 56 56 549500 51.794106
2014-12-01 55.68 55.799999 50.91 52.380001 1467600 48.445988
2014-12-02 52.150002 56.060001 52 54.32 1251800 50.240283
2014-12-03 54.900002 57.119999 54.450001 56.259998 496800 52.034577
2014-12-04 56.5 57.669998 55.66 55.98 319000 51.775608
2014-12-05 56.169998 56.169998 54.580002 54.68 999400 50.573245
2014-12-08 54.32 54.52 52.130001 52.66 649400 48.704957
2014-12-09 52 54.91 52 54.369999 516300 50.286527
2014-12-10 53.150002 53.549999 51.610001 52.66 677500 48.704957
2014-12-11 52.419998 55.259998 52.290001 53.630001 477700 49.602106
2014-12-12 54.290001 54.91 52.630001 54.52 585300 50.425262
2014-12-15 54.369999 54.869999 52.200001 53.419998 466500 49.407876
2014-12-16 52.75 55.77 52.060001 53.82 617900 49.777835
2014-12-17 54.009998 56.380001 54.009998 55.529999 657000 51.359404
2014-12-18 59.330002 59.330002 54.310001 57.040001 496000 52.755997
2014-12-19 57.040001 57.27 56.099998 57.040001 698300 52.755997
2014-12-22 57 57.509998 55.32 56.139999 314700 51.923591
2014-12-23 56.580002 57.09 55.619999 56.93 213500 52.654258
2014-12-24 56.860001 57.810001 56.77 57.169998 103500 52.876231
2014-12-26 57.169998 57.639999 56.82 57.389999 113200 53.079709
2014-12-29 57.34 57.400002 56.299999 56.849998 312300 52.580265
2014-12-30 56.709999 57.139999 56.57 56.970001 504500 52.691255
2014-12-31 56.650002 58.5 56.650002 57.75 361200 53.412672
2015-01-02 57.849998 59.220001 57.259998 59.220001 248100 54.772268
2015-01-05 58 58.290001 56.540001 57.169998 431000 52.876231
2015-01-06 56.610001 57.220001 54.580002 55.529999 369300 51.359404
2015-01-07 56.400002 56.869999 55.07 55.82 395000 51.627625
2015-01-08 55.82 57.73 55.560001 57.459999 360100 53.144451
2015-01-09 57.389999 57.889999 56.830002 57.599998 189200 53.273936
2015-01-12 57.43 57.540001 56.360001 56.799999 412400 52.534021
2015-01-13 57 57.439999 56.18 56.900002 293000 52.626513
2015-01-14 56.799999 58.790001 55.779999 58.689999 355100 54.282072
2015-01-15 58.689999 59.950001 58.439999 59.540001 395500 55.068234
