"Index" "CNH.Open" "CNH.High" "CNH.Low" "CNH.Close" "CNH.Volume" "CNH.Adjusted"
2014-02-18 30.55 30.55 30.55 30.55 0 28.9328
2014-02-19 30.97 30.97 30.97 30.97 0 29.3306
2014-02-20 29.85 29.85 29.85 29.85 0 28.5
2014-02-21 30.127 30.127 30.127 30.127 0 28.7644
2014-02-24 29.858 29.858 29.858 29.858 0 28.5076
2014-02-25 29.761 29.761 29.761 29.761 0 28.415
2014-02-26 30.104 30.104 30.104 30.104 0 28.7425
2014-02-27 30.294 30.294 30.294 30.294 0 28.9239
2014-02-28 30.333 30.333 30.333 30.333 0 28.9611
2014-03-03 29.725 29.725 29.725 29.725 0 28.3806
2014-03-04 30.196 30.196 30.196 30.196 0 28.8303
2014-03-05 30.414 30.414 30.414 30.414 0 29.0384
2014-03-06 30.736 30.736 30.736 30.736 0 29.3459
2014-03-07 30.503 30.503 30.503 30.503 0 29.1234
2014-03-10 30.436 30.436 30.436 30.436 0 29.0595
2014-03-11 30.593 30.593 30.593 30.593 0 29.2094
2014-03-12 30.397 30.397 30.397 30.397 0 29.0222
2014-03-13 30.355 30.355 30.355 30.355 0 28.9821
2014-03-14 30.395 30.395 30.395 30.395 0 29.0203
2014-03-17 30.286 30.286 30.286 30.286 0 28.9162
2014-03-18 30.349 30.349 30.349 30.349 0 28.9764
2014-03-19 30.431 30.431 30.431 30.431 0 29.0547
2014-03-20 30.299 30.299 30.299 30.299 0 28.9286
2014-03-21 30.673 30.673 30.673 30.673 0 29.2857
2014-03-24 30.704 30.704 30.704 30.704 0 29.3153
2014-03-25 30.54 30.54 30.54 30.54 0 29.1587
2014-03-26 30.758 30.758 30.758 30.758 0 29.3669
2014-03-27 30.395 30.395 30.395 30.395 0 29.0203
2014-03-28 30.538 30.538 30.538 30.538 0 29.1568
2014-03-31 30.714 30.714 30.714 30.714 0 29.3249
2014-04-01 30.949 30.949 30.949 30.949 0 29.5492
2014-04-02 30.953 30.953 30.953 30.953 0 29.5531
2014-04-03 31.126 31.126 31.126 31.126 0 29.7182
2014-04-04 31.389 31.389 31.389 31.389 0 29.9693
2014-04-07 31 31 31 31 0 29.5979
2014-04-08 30.77 30.77 30.77 30.77 0 29.3783
2014-04-09 30.646 30.646 30.646 30.646 0 29.26
2014-04-10 30.71 30.71 30.71 30.71 0 29.3211
2014-04-11 30.198 30.198 30.198 30.198 0 28.8322
2014-04-14 30.202 30.202 30.202 30.202 0 28.836
2014-04-15 30.471 30.471 30.471 30.471 0 29.0929
2014-04-16 30.545 30.545 30.545 30.545 0 29.1635
2014-04-17 30.613 30.613 30.613 30.613 0 29.2284
2014-04-18 30.613 30.613 30.613 30.613 0 29.2284
2014-04-21 30.613 30.613 30.613 30.613 0 29.2284
2014-04-22 30.727 30.727 30.727 30.727 0 29.3373
2014-04-23 30.595 30.595 30.595 30.595 0 29.2113
2014-04-24 30.79 30.79 30.79 30.79 0 29.3974
2014-04-25 30.695 30.695 30.695 30.695 0 29.3067
2014-04-28 30.822 30.822 30.822 30.822 0 29.428
2014-04-29 28.61 28.61 28.61 28.61 0 27.316
2014-04-30 28.749 28.749 28.749 28.749 0 27.4488
2014-05-01 28.749 28.749 28.749 28.749 0 27.4488
2014-05-02 30.058 30.058 30.058 30.058 0 28.6985
2014-05-05 29.86 29.86 29.86 29.86 0 28.5095
2014-05-06 29.979 29.979 29.979 29.979 0 28.6231
2014-05-07 29.86 29.86 29.844 29.844 0 28.4942
2014-05-08 29.981 29.981 29.981 29.981 0 28.8668
2014-05-09 29.855 29.855 29.855 29.855 0 28.7455
2014-05-12 29.904 29.904 29.904 29.904 0 28.7927
2014-05-13 29.952 29.952 29.952 29.952 0 28.8389
2014-05-14 30.032 30.032 30.032 30.032 0 28.9159
2014-05-15 29.68 29.68 29.68 29.68 0 28.577
2014-05-16 29.306 29.306 29.306 29.306 0 28.2169
2014-05-19 29.073 29.073 29.073 29.073 0 27.9926
2014-05-20 29.274 29.274 29.274 29.274 0 28.1861
2014-05-21 28.931 28.931 28.931 28.931 0 27.8559
2014-05-22 29.168 29.168 29.168 29.168 0 28.0841
2014-05-23 29.062 29.062 29.062 29.062 0 27.982
2014-05-26 29.31 29.31 29.31 29.31 0 28.2208
2014-05-27 29.31 29.31 29.31 29.31 0 28.2208
2014-05-28 29.454 29.454 29.454 29.454 0 28.3594
2014-05-29 29.411 29.411 29.411 29.411 0 28.318
2014-05-30 29.451 29.451 29.451 29.451 0 28.3565
2014-06-02 29.391 29.391 29.391 29.391 0 28.2988
2014-06-03 29.343 29.343 29.343 29.343 0 28.2526
2014-06-04 29.156 29.156 29.156 29.156 0 28.0725
2014-06-05 29.693 29.693 29.693 29.693 0 28.5895
2014-06-06 29.766 29.766 29.766 29.766 0 28.6598
2014-06-09 29.743 29.743 29.743 29.743 0 28.6377
2014-06-10 29.721 29.721 29.721 29.721 0 28.6165
2014-06-11 29.681 29.681 29.681 29.681 0 28.578
2014-06-12 29.601 29.601 29.601 29.601 0 28.501
2014-06-13 29.309 29.309 29.309 29.309 0 28.2198
2014-06-16 29 29 29 29 0 27.9223
2014-06-17 29.025 29.025 29.025 29.025 0 27.9464
2014-06-18 29.265 29.265 29.265 29.265 0 28.1775
2014-06-19 29.135 29.135 29.135 29.135 0 28.0523
2014-06-20 29.105 29.105 29.105 29.105 0 28.0234
2014-06-23 29.109 29.109 29.109 29.109 0 28.0272
2014-06-24 29.165 29.165 29.165 29.165 0 28.0812
2014-06-25 28.893 28.893 28.893 28.893 0 27.8193
2014-06-26 28.906 28.906 28.906 28.906 0 27.8318
2014-06-27 28.889 28.889 28.889 28.889 0 27.8154
2014-06-30 29.194 29.194 29.194 29.194 0 28.1091
2014-07-01 29.456 29.456 29.456 29.456 0 28.3614
2014-07-02 29.709 29.709 29.709 29.709 0 28.605
2014-07-03 29.247 29.247 29.247 29.247 0 28.1601
2014-07-04 29.539 29.539 29.539 29.539 0 28.4413
2014-07-07 29.58 29.58 29.58 29.58 0 28.4807
2014-07-08 29.33 29.33 29.33 29.33 0 28.24
2014-07-09 29.614 29.614 29.614 29.614 0 28.5135
2014-07-10 29.369 29.369 29.369 29.369 0 28.2776
2014-07-11 29.313 29.313 29.313 29.313 0 28.2237
2014-07-14 29.457 29.457 29.457 29.457 0 28.3623
2014-07-15 29.531 29.531 29.531 29.531 0 28.4336
2014-07-16 29.614 29.614 29.614 29.614 0 28.5135
2014-07-17 29.39 29.39 29.39 29.39 0 28.2978
2014-07-18 29.102 29.102 29.102 29.102 0 28.0205
2014-07-21 29.356 29.356 29.356 29.356 0 28.2651
2014-07-22 29.303 29.303 29.303 29.303 0 28.214
2014-07-23 29.155 29.155 29.155 29.155 0 28.0715
2014-07-24 29.348 29.348 29.348 29.348 0 28.2574
2014-07-25 29.287 29.287 29.287 29.287 0 28.1986
2014-07-28 29.091 29.091 29.091 29.091 0 28.0099
2014-07-29 29.066 29.066 29.066 29.066 0 27.9858
2014-07-30 28.796 28.796 28.796 28.796 0 27.7259
2014-07-31 28.339 28.339 28.339 28.339 0 27.2859
2014-08-01 27.876 27.876 27.876 27.876 0 26.8401
2014-08-04 28.353 28.353 28.353 28.353 0 27.2993
2014-08-05 28.27 28.27 28.27 28.27 0 27.2194
2014-08-06 27.733 27.733 27.733 27.733 0 26.7024
2014-08-07 27.943 27.943 27.943 27.943 0 26.9046
2014-08-08 27.492 27.492 27.492 27.492 0 26.4703
2014-08-11 27.886 27.886 27.886 27.886 0 26.8497
2014-08-12 28.188 28.188 28.188 28.188 0 27.1405
2014-08-13 28.239 28.239 28.239 28.239 0 27.1896
2014-08-14 28.237 28.237 28.237 28.237 0 27.4305
2014-08-15 28.435 28.435 28.435 28.435 0 27.6228
2014-08-18 28.325 28.325 28.325 28.325 0 27.516
2014-08-19 28.481 28.481 28.481 28.481 0 27.6675
2014-08-20 28.526 28.526 28.526 28.526 0 27.7112
