"Index" "XSC.Open" "XSC.High" "XSC.Low" "XSC.Close" "XSC.Volume" "XSC.Adjusted"
2014-05-13 42.865 42.865 42.865 42.865 0 42.865
2014-05-14 43.485 43.485 43.485 43.485 0 43.485
2014-05-15 43.335 43.335 43.335 43.335 0 43.335
2014-05-16 43.235 43.235 43.235 43.235 0 43.235
2014-05-19 43.03 43.03 43.03 43.03 0 43.03
2014-05-20 43.815 43.815 43.815 43.815 0 43.815
2014-05-21 43.735 43.735 43.735 43.735 0 43.735
2014-05-22 44.07 44.07 44.07 44.07 0 44.07
2014-05-23 44.31 44.31 44.31 44.31 0 44.31
2014-05-26 44.645 44.645 44.645 44.645 0 44.645
2014-05-27 44.68 44.68 44.68 44.68 0 44.68
2014-05-28 44.565 44.565 44.565 44.565 0 44.565
2014-05-29 44.62 44.62 44.62 44.62 0 44.62
2014-05-30 44.42 44.42 44.42 44.42 0 44.42
2014-06-02 45.12 45.12 45.12 45.12 0 45.12
2014-06-03 45.23 45.23 45.23 45.23 0 45.23
2014-06-04 45.45 45.45 45.45 45.45 0 45.45
2014-06-05 45.775 45.775 45.775 45.775 0 45.775
2014-06-06 45.815 45.815 45.815 45.815 0 45.815
2014-06-09 45.4 45.4 45.4 45.4 0 45.4
2014-06-10 45.425 45.565 45.425 45.565 0 45.565
2014-06-11 45.995 45.995 45.995 45.995 0 45.995
2014-06-12 45.565 45.565 45.565 45.565 0 45.565
2014-06-13 45.545 45.545 45.545 45.545 0 45.545
2014-06-16 44.395 44.395 44.395 44.395 0 44.395
2014-06-17 44.085 44.085 44.085 44.085 0 44.085
2014-06-18 44.385 44.385 44.385 44.385 0 44.385
2014-06-19 45.07 45.07 45.07 45.07 0 45.07
2014-06-20 44.795 44.795 44.795 44.795 0 44.795
2014-06-23 44.805 44.805 44.805 44.805 0 44.805
2014-06-24 44.73 44.73 44.73 44.73 0 44.73
2014-06-25 44.43 44.43 44.43 44.43 0 44.43
2014-06-26 44.535 44.535 44.535 44.535 0 44.535
2014-06-27 43.96 43.96 43.96 43.96 0 43.96
2014-06-30 44.35 44.35 44.35 44.35 0 44.35
2014-07-01 44.55 44.55 44.55 44.55 0 44.55
2014-07-02 44.875 44.875 44.875 44.875 0 44.875
2014-07-03 44.335 44.335 44.335 44.335 0 44.335
2014-07-04 44.525 44.525 44.525 44.525 0 44.525
2014-07-07 44.32 44.32 44.32 44.32 0 44.32
2014-07-08 44.555 44.555 44.555 44.555 0 44.555
2014-07-09 44.38 44.38 44.295 44.295 0 44.295
2014-07-10 44.415 44.415 44.415 44.415 0 44.415
2014-07-11 44.64 44.64 44.64 44.64 0 44.64
2014-07-14 44.51 44.51 44.51 44.51 0 44.51
2014-07-15 44.61 44.61 44.61 44.61 0 44.61
2014-07-16 45.105 45.105 45.105 45.105 0 45.105
2014-07-17 45.27 45.27 45.27 45.27 0 45.27
2014-07-18 44.665 44.665 44.665 44.665 0 44.665
2014-07-21 44.66 44.66 44.66 44.66 0 44.66
2014-07-22 45.155 45.155 45.155 45.155 0 45.155
2014-07-23 45.44 45.44 45.44 45.44 0 45.44
2014-07-24 45.395 45.395 45.395 45.395 0 45.395
