"Index" "WCC.Open" "WCC.High" "WCC.Low" "WCC.Close" "WCC.Volume" "WCC.Adjusted"
2014-10-09 77.800003 78.150002 74.959999 74.989998 415400 74.989998
2014-10-10 74.629997 74.769997 72.410004 72.919998 533700 72.919998
2014-10-13 73.029999 73.440002 71.419998 71.440002 394400 71.440002
2014-10-14 71.699997 72.339996 71.239998 71.599998 565000 71.599998
2014-10-15 70.440002 71.709999 68.970001 71.18 701300 71.18
2014-10-16 70.260002 72.160004 70.220001 71.989998 633100 71.989998
2014-10-17 72.970001 73.879997 72.510002 73.720001 923700 73.720001
2014-10-20 73.160004 73.860001 73.059998 73.720001 400300 73.720001
2014-10-21 74.050003 76.510002 74.050003 76.470001 406500 76.470001
2014-10-22 76.370003 76.800003 75 75.169998 553700 75.169998
2014-10-23 80.82 81.160004 77.720001 77.93 1287800 77.93
2014-10-24 77.900002 78.150002 76.690002 77.139999 1304500 77.139999
2014-10-27 77.129997 78.800003 76.209999 78.5 1351000 78.5
2014-10-28 78.919998 80.019997 78.809998 79.459999 449500 79.459999
2014-10-29 79.5 79.620003 78.5 79.269997 590100 79.269997
2014-10-30 79.080002 80.120003 78.389999 79.699997 491800 79.699997
2014-10-31 80.910004 82.540001 79.779999 82.410004 748000 82.410004
2014-11-03 82.589996 83.550003 81.910004 83.07 653100 83.07
2014-11-04 83.18 83.730003 82.699997 83.080002 681500 83.080002
2014-11-05 83.919998 84.82 83.110001 84.779999 679300 84.779999
2014-11-06 84.690002 85.830002 84.339996 85.650002 921100 85.650002
2014-11-07 85.800003 86.720001 85.190002 86.300003 499400 86.300003
2014-11-10 86.519997 86.879997 85.900002 86.540001 399200 86.540001
2014-11-11 86.360001 86.919998 85.849998 86.550003 366900 86.550003
2014-11-12 86.080002 86.550003 85.379997 86.199997 463600 86.199997
2014-11-13 85.980003 86.230003 85 85.510002 295300 85.510002
2014-11-14 85.300003 86.230003 85 85.839996 412800 85.839996
2014-11-17 85.239998 85.849998 84.720001 85.449997 360900 85.449997
2014-11-18 85.279999 86.050003 84.830002 84.93 462500 84.93
2014-11-19 84.940002 85.269997 84.07 84.82 352400 84.82
