"Index" "MAE.Open" "MAE.High" "MAE.Low" "MAE.Close" "MAE.Volume" "MAE.Adjusted"
2014-06-12 0.24 0.24 0.24 0.24 0 240
2014-06-13 0.175 0.175 0.175 0.175 5000 175
2014-06-16 0.175 0.175 0.175 0.175 0 175
2014-06-17 0.175 0.175 0.175 0.175 0 175
2014-06-18 0.175 0.175 0.175 0.175 0 175
2014-06-19 0.175 0.175 0.175 0.175 0 175
2014-06-20 0.175 0.175 0.175 0.175 0 175
2014-06-23 0.175 0.175 0.175 0.175 0 17.5
2014-06-24 0.175 0.175 0.175 0.175 0 17.5
2014-06-25 0.2 0.2 0.2 0.2 25000 20
2014-06-26 0.2 0.2 0.2 0.2 0 20
2014-06-27 0.2 0.2 0.2 0.2 0 20
2014-06-30 0.2 0.2 0.2 0.2 0 20
2014-07-01 0.2 0.2 0.2 0.2 0 20
2014-07-02 0.2 0.2 0.2 0.2 0 20
2014-07-03 0.2 0.2 0.2 0.2 0 20
2014-07-04 0.2 0.2 0.2 0.2 0 20
2014-07-07 0.2 0.2 0.2 0.2 0 20
2014-07-08 0.2 0.2 0.2 0.2 0 20
2014-07-09 0.2 0.2 0.2 0.2 0 20
2014-07-10 0.2 0.2 0.2 0.2 0 20
2014-07-11 0.2 0.2 0.2 0.2 0 20
2014-07-14 0.18 0.18 0.18 0.18 5000 18
2014-07-15 0.18 0.18 0.18 0.18 0 18
2014-07-16 0.18 0.18 0.18 0.18 0 18
2014-07-17 0.18 0.18 0.18 0.18 0 18
2014-07-18 0.18 0.18 0.18 0.18 0 18
2014-07-21 0.18 0.18 0.18 0.18 0 18
2014-07-22 0.18 0.18 0.18 0.18 0 18
2014-07-23 0.18 0.18 0.18 0.18 0 18
2014-07-24 0.18 0.18 0.18 0.18 2e+05 18
2014-07-25 0.18 0.18 0.18 0.18 0 18
2014-07-28 0.18 0.18 0.18 0.18 0 18
2014-07-29 0.18 0.18 0.18 0.18 0 18
2014-07-30 0.18 0.185 0.13 0.13 281500 13
2014-07-31 0.145 0.175 0.145 0.175 1500 17.5
2014-08-01 0.175 0.175 0.175 0.175 0 17.5
2014-08-04 0.175 0.175 0.175 0.175 0 17.5
2014-08-05 0.175 0.175 0.175 0.175 0 17.5
2014-08-06 0.145 0.16 0.145 0.16 20000 16
2014-08-07 0.16 0.16 0.16 0.16 0 16
2014-08-08 0.16 0.16 0.16 0.16 0 16
