"Index" "PZ.Open" "PZ.High" "PZ.Low" "PZ.Close" "PZ.Volume" "PZ.Adjusted"
2014-10-29 27.8 27.8 27.8 27.8 100 26.976
2014-10-30 26.41 26.41 26.41 26.41 50000 25.627
2014-10-31 23.84 23.84 23.84 23.84 28000 23.134
2014-11-03 21.52 21.52 21.52 21.52 200 20.882
2014-11-04 20.45 20.45 20.45 20.45 1600 19.844
2014-11-05 19.43 19.43 19.43 19.43 2700 18.854
2014-11-06 19.43 19.43 19.43 19.43 20000 18.854
2014-11-07 17.54 17.54 17.54 17.54 300 17.02
2014-11-10 17.5 17.5 17.5 17.5 55000 16.981
2014-11-11 19.28 19.28 19.28 19.28 2000 18.709
2014-11-12 21.25 21.25 21.25 21.25 49100 20.62
2014-11-13 21.9 21.9 21.9 21.9 15100 21.251
2014-11-14 22 22 22 22 7800 21.348
2014-11-17 23 23 23 23 800 22.318
2014-11-18 23 23 23 23 5700 22.318
2014-11-19 23 23 23 23 2000 22.318
2014-11-20 22 22 22 22 200 21.348
2014-11-21 22.2 22.2 22.2 22.2 2100 21.542
2014-11-24 22.2 22.2 22.2 22.2 1000 21.542
2014-11-25 24.4 24.4 24.4 24.4 200 23.677
2014-11-26 26.9 26.9 26.9 26.9 90200 26.103
2014-11-27 28.24 28.24 28.24 28.24 10000 27.403
2014-11-28 0.2 0.2 0.2 0.2 0 0.194
2014-12-01 0.2 0.2 0.2 0.2 0 0.194
2014-12-02 0.2 0.2 0.2 0.2 0 0.194
2014-12-03 0.2 0.2 0.2 0.2 0 0.194
2014-12-04 0.2 0.2 0.2 0.2 0 0.194
2014-12-05 0.2 0.2 0.2 0.2 0 0.194
2014-12-08 0.2 0.2 0.2 0.2 0 0.194
2014-12-09 33.03 33.03 33.03 33.03 15000 32.051
2014-12-10 30.98 30.98 30.98 30.98 600 30.062
2014-12-11 30.78 30.78 30.78 30.78 500 29.868
2014-12-12 30.78 30.78 30.78 30.78 1200 29.868
2014-12-15 30.78 30.78 30.78 30.78 7000 29.868
2014-12-16 30.78 30.78 30.78 30.78 700 29.868
2014-12-17 27.79 27.79 27.79 27.79 2000 26.966
2014-12-18 27.79 27.79 27.79 27.79 300 26.966
2014-12-19 25.09 25.09 25.09 25.09 11900 24.346
2014-12-22 25.06 25.06 25.06 25.06 5000 24.317
2014-12-23 24.7 24.7 24.7 24.7 10000 23.968
2014-12-24 0.2 0.2 0.2 0.2 0 0.194
2014-12-25 24.7 24.7 24.7 24.7 0 23.968
2014-12-26 24.7 24.7 24.7 24.7 0 23.968
2014-12-29 24.55 24.55 24.55 24.55 17600 23.822
2014-12-30 23.33 23.33 23.33 23.33 3700 22.639
2014-12-31 23.8 23.8 23.8 23.8 5100 23.095
2015-01-01 23.8 23.8 23.8 23.8 0 23.095
2015-01-02 0.2 0.2 0.2 0.2 0 0.194
2015-01-05 23.99 23.99 23.99 23.99 33000 23.279
2015-01-06 25.18 25.18 25.18 25.18 20000 24.434
2015-01-07 26.5 26.5 26.5 26.5 1000 25.715
2015-01-08 25.3 25.3 25.3 25.3 10000 24.55
2015-01-09 24.54 24.54 24.54 24.54 1800 23.813
2015-01-12 24.54 24.54 24.54 24.54 110600 23.813
2015-01-13 23.52 24.69 24.39 24.69 450700 23.958
