"Index" "EVC.Open" "EVC.High" "EVC.Low" "EVC.Close" "EVC.Volume" "EVC.Adjusted"
2014-10-24 4.85 4.85 4.74 4.8 268500 4.733148
2014-10-27 4.75 4.83 4.68 4.82 584000 4.752869
2014-10-28 4.84 5.22 4.78 5.12 844300 5.04869
2014-10-29 5.09 5.2 5.02 5.11 705000 5.03883
2014-10-30 5.07 5.2 5.01 5.13 512400 5.058551
2014-10-31 5.29 5.3 5.02 5.16 564300 5.088133
2014-11-03 5.14 5.26 5.05 5.14 529000 5.068412
2014-11-04 5.09 5.16 4.87 4.91 646100 4.841615
2014-11-05 4.97 5.1 4.87 5.08 616300 5.009248
2014-11-06 5.09 5.14 5 5.14 284600 5.068412
2014-11-07 5.13 5.22 4.94 5.19 906500 5.117716
2014-11-10 5.18 5.28 5.02 5.14 454500 5.068412
2014-11-11 5.14 5.22 5.05 5.19 445800 5.117716
2014-11-12 5.16 5.25 5.1 5.24 489200 5.167019
2014-11-13 5.26 5.31 5.17 5.24 276500 5.167019
2014-11-14 5.24 5.51 5.21 5.46 607900 5.383955
2014-11-17 5.45 5.54 5.44 5.5 317900 5.423398
2014-11-18 5.5 5.63 5.46 5.55 414500 5.472702
2014-11-19 5.51 5.56 5.4 5.47 379200 5.393816
2014-11-20 5.45 5.61 5.45 5.56 151300 5.482562
2014-11-21 5.63 5.8 5.57 5.72 506100 5.640334
2014-11-24 5.73 6.22 5.72 6.06 814400 5.975598
2014-11-25 6.06 6.43 6.06 6.38 962300 6.291142
2014-11-26 6.37 6.51 6.24 6.32 453500 6.231977
2014-11-28 6.35 6.5 6.33 6.46 265300 6.370027
2014-12-01 6.41 6.49 6.32 6.44 454900 6.350306
2014-12-02 6.46 6.72 6.42 6.7 487300 6.606685
2014-12-03 6.73 6.93 6.69 6.84 648700 6.744735
2014-12-04 6.81 6.94 6.68 6.84 496700 6.744735
2014-12-05 6.82 6.95 6.81 6.88 644200 6.784178
2014-12-08 6.86 7.1 6.8 6.8 1051200 6.705292
2014-12-09 6.68 7.1 6.6 7.08 1289700 6.981392
2014-12-10 7.01 7.2 6.98 7.08 1477700 6.981392
2014-12-11 7.15 7.72 7.08 7.31 2286100 7.233732
2014-12-12 7.22 7.32 7.11 7.14 1884600 7.065506
2014-12-15 7.16 7.28 7.09 7.13 1100600 7.05561
2014-12-16 6.71 7.37 6.41 7.12 1351600 7.045714
2014-12-17 7.16 7.28 7.04 7.12 547500 7.045714
2014-12-18 7.22 7.28 7.05 7.13 560200 7.05561
2014-12-19 6.83 6.84 6.4 6.45 1736200 6.382705
2014-12-22 6.48 6.53 6.47 6.51 619200 6.442079
2014-12-23 6.51 6.67 6.45 6.5 451800 6.432183
2014-12-24 6.51 6.61 6.51 6.59 158800 6.521244
2014-12-26 6.64 6.81 6.56 6.77 398300 6.699366
2014-12-29 6.75 6.9 6.62 6.65 425800 6.580618
2014-12-30 6.67 6.7 6.49 6.53 349100 6.46187
2014-12-31 6.58 6.66 6.4 6.48 436700 6.412392
2015-01-02 6.55 6.56 6.25 6.45 478100 6.382705
