"Index" "SI.Open" "SI.High" "SI.Low" "SI.Close" "SI.Volume" "SI.Adjusted"
2014-06-05 0.13 0.13 0.13 0.13 25000 0.13
2014-06-06 0.13 0.13 0.13 0.13 0 0.13
2014-06-09 0.13 0.13 0.13 0.13 0 0.13
2014-06-10 0.13 0.13 0.13 0.13 0 0.13
2014-06-11 0.13 0.13 0.13 0.13 0 0.13
2014-06-12 0.13 0.13 0.13 0.13 500 0.13
2014-06-13 0.13 0.13 0.13 0.13 0 0.13
2014-06-16 0.13 0.13 0.13 0.13 49500 0.13
2014-06-17 0.13 0.13 0.13 0.13 0 0.13
2014-06-18 0.13 0.13 0.13 0.13 0 0.13
2014-06-19 0.13 0.13 0.13 0.13 0 0.13
2014-06-20 0.14 0.14 0.13 0.13 24200 0.13
2014-06-23 0.13 0.13 0.13 0.13 0 0.13
2014-06-24 0.13 0.13 0.13 0.13 0 0.13
2014-06-25 0.125 0.125 0.125 0.125 1200 0.125
2014-06-26 0.125 0.125 0.125 0.125 500 0.125
2014-06-27 0.125 0.125 0.125 0.125 0 0.125
2014-06-30 0.125 0.125 0.125 0.125 0 0.125
2014-07-01 0.125 0.125 0.125 0.125 0 0.125
2014-07-02 0.125 0.125 0.125 0.125 0 0.125
2014-07-03 0.125 0.125 0.125 0.125 9200 0.125
2014-07-04 0.125 0.125 0.125 0.125 0 0.125
2014-07-07 0.13 0.13 0.13 0.13 73500 0.13
2014-07-08 0.135 0.145 0.135 0.135 47000 0.135
2014-07-09 0.135 0.135 0.135 0.135 0 0.135
2014-07-10 0.145 0.145 0.145 0.145 19000 0.145
2014-07-11 0.135 0.135 0.135 0.135 500 0.135
2014-07-14 0.135 0.135 0.135 0.135 0 0.135
2014-07-15 0.14 0.145 0.14 0.145 105000 0.145
2014-07-16 0.145 0.145 0.145 0.145 0 0.145
2014-07-17 0.135 0.135 0.135 0.135 900 0.135
2014-07-18 0.135 0.135 0.135 0.135 0 0.135
2014-07-21 0.135 0.135 0.135 0.135 0 0.135
2014-07-22 0.135 0.135 0.135 0.135 0 0.135
2014-07-23 0.135 0.135 0.135 0.135 0 0.135
2014-07-24 0.15 0.15 0.15 0.15 3100 0.15
2014-07-25 0.15 0.15 0.15 0.15 35000 0.15
2014-07-28 0.135 0.135 0.135 0.135 10000 0.135
2014-07-29 0.145 0.145 0.145 0.145 12000 0.145
2014-07-30 0.145 0.145 0.145 0.145 11200 0.145
2014-07-31 0.145 0.145 0.145 0.145 0 0.145
2014-08-01 0.145 0.145 0.145 0.145 0 0.145
2014-08-04 0.145 0.145 0.145 0.145 0 0.145
2014-08-05 0.145 0.145 0.145 0.145 0 0.145
2014-08-06 0.145 0.145 0.145 0.145 0 0.145
2014-08-07 0.14 0.15 0.14 0.15 25700 0.15
2014-08-08 0.15 0.15 0.15 0.15 0 0.15
2014-08-11 0.15 0.15 0.15 0.15 0 0.15
2014-08-12 0.15 0.15 0.15 0.15 0 0.15
2014-08-13 0.15 0.15 0.15 0.15 0 0.15
2014-08-14 0.15 0.15 0.15 0.15 0 0.15
2014-08-15 0.15 0.15 0.15 0.15 0 0.15
2014-08-18 0.15 0.15 0.15 0.15 0 0.15
2014-08-19 0.15 0.15 0.15 0.15 0 0.15
2014-08-20 0.15 0.15 0.15 0.15 0 0.15
2014-08-21 0.15 0.15 0.15 0.15 0 0.15
2014-08-22 0.15 0.15 0.15 0.15 0 0.15
2014-08-25 0.145 0.145 0.145 0.145 4500 0.145
2014-08-26 0.145 0.145 0.145 0.145 0 0.145
2014-08-27 0.145 0.145 0.145 0.145 0 0.145
2014-08-28 0.145 0.145 0.145 0.145 0 0.145
2014-08-29 0.145 0.145 0.145 0.145 0 0.145
2014-09-01 0.145 0.145 0.145 0.145 0 0.145
2014-09-02 0.145 0.145 0.145 0.145 0 0.145
2014-09-03 0.145 0.145 0.145 0.145 0 0.145
2014-09-04 0.145 0.145 0.145 0.145 0 0.145
2014-09-05 0.145 0.145 0.145 0.145 0 0.145
2014-09-08 0.145 0.145 0.145 0.145 0 0.145
2014-09-09 0.145 0.145 0.145 0.145 0 0.145
2014-09-10 0.155 0.155 0.155 0.155 1000 0.155
2014-09-11 0.155 0.155 0.155 0.155 0 0.155
2014-09-12 0.17 0.25 0.17 0.215 149700 0.215
2014-09-15 0.215 0.215 0.215 0.215 0 0.215
2014-09-16 0.225 0.23 0.225 0.225 244000 0.225
2014-09-17 0.21 0.22 0.21 0.21 166500 0.21
2014-09-18 0.21 0.21 0.21 0.21 0 0.21
2014-09-19 0.21 0.21 0.21 0.21 0 0.21
2014-09-22 0.21 0.21 0.21 0.21 0 0.21
2014-09-23 0.19 0.19 0.19 0.19 5000 0.19
2014-09-24 0.16 0.16 0.15 0.15 223400 0.15
2014-09-25 0.15 0.15 0.15 0.15 11500 0.15
2014-09-26 0.16 0.16 0.16 0.16 10000 0.16
2014-09-29 0.15 0.15 0.15 0.15 58000 0.15
2014-09-30 0.15 0.15 0.15 0.15 30000 0.15
2014-10-01 0.15 0.15 0.15 0.15 2500 0.15
2014-10-02 0.18 0.18 0.18 0.18 4400 0.18
2014-10-03 0.18 0.18 0.18 0.18 0 0.18
2014-10-06 0.18 0.18 0.18 0.18 0 0.18
2014-10-07 0.15 0.15 0.15 0.15 1100 0.15
2014-10-08 0.15 0.15 0.15 0.15 0 0.15
2014-10-09 0.15 0.15 0.15 0.15 600 0.15
2014-10-10 0.15 0.15 0.14 0.14 30000 0.14
2014-10-13 0.14 0.14 0.14 0.14 0 0.14
2014-10-14 0.14 0.14 0.14 0.14 0 0.14
2014-10-15 0.14 0.14 0.14 0.14 0 0.14
