"Index" "NEN.Open" "NEN.High" "NEN.Low" "NEN.Close" "NEN.Volume" "NEN.Adjusted"
2014-07-17 48.75 48.75 47.810001 48.5 1900 47.281957
2014-07-18 48.25 48.25 48.200001 48.220001 1000 47.00899
2014-07-21 48.25 48.25 48 48.049999 1800 46.843257
2014-07-22 46.5 47.939999 46.5 47.939999 1800 46.736019
2014-07-23 47.939999 48.610001 47.939999 48.610001 1000 47.389195
2014-07-24 48.16 48.16 48.16 48.16 500 46.950495
2014-07-25 48.470001 48.470001 48.470001 48.470001 400 47.252711
2014-07-28 48.5 48.5 48.5 48.5 800 47.281957
2014-07-29 48.5 48.5 47.970001 48 1700 46.794514
2014-07-30 48 48 48 48 700 46.794514
2014-07-31 47.900002 48 47.509998 47.509998 500 46.316818
2014-08-01 48 48 47.560001 47.560001 500 46.365565
2014-08-04 46.689999 47.009998 46.689999 47.009998 700 45.829375
2014-08-05 47.009998 47.009998 47.009998 47.009998 0 45.829375
2014-08-06 47.150002 47.150002 47.150002 47.150002 100 45.965862
2014-08-07 47.150002 47.150002 47.150002 47.150002 0 45.965862
2014-08-08 48.5 48.5 48.5 48.5 500 47.281957
2014-08-11 47.060001 49.619999 46.630001 49.02 1500 47.788898
2014-08-12 49.880001 49.880001 49.259998 49.259998 600 48.022868
2014-08-13 49.259998 49.259998 49 49 1600 47.769399
2014-08-14 49.689999 49.77 49.689999 49.77 200 48.520062
2014-08-15 48 49.18 48 49.18 900 47.944879
2014-08-18 48.360001 49.200001 48.360001 49.200001 500 47.964377
2014-08-19 49.25 49.25 48.830002 48.830002 500 47.603671
2014-08-20 49.189999 49.189999 46.889999 48 2700 46.794514
2014-08-21 47.509998 47.509998 47.509998 47.509998 500 46.316818
2014-08-22 47.52 47.52 47.52 47.52 300 46.326569
2014-08-25 47.779999 48.75 47.779999 48.75 300 47.525678
2014-08-26 48.98 48.98 48.02 48.200001 700 46.989492
2014-08-27 48.549999 48.549999 48.5 48.5 1200 47.281957
2014-08-28 49.150002 49.150002 48.75 48.75 300 47.525678
2014-08-29 49.25 49.25 48.75 48.75 400 47.525678
2014-09-02 48.360001 48.360001 48.360001 48.360001 100 47.145473
2014-09-03 49.720001 49.720001 48.669998 48.669998 1100 47.447685
2014-09-04 48.75 48.75 48.52 48.52 300 47.301455
2014-09-05 49.720001 49.720001 49.259998 49.259998 400 48.022868
2014-09-08 49.5 49.5 49.5 49.5 300 48.256842
2014-09-09 49.400002 49.720001 49.02 49.720001 1000 48.471318
2014-09-10 49.720001 49.720001 49.720001 49.720001 0 48.471318
2014-09-11 49.529999 49.529999 49.529999 49.529999 600 48.286088
2014-09-12 49 49 48.619999 48.619999 500 47.639399
2014-09-15 48.619999 48.619999 48.619999 48.619999 0 47.639399
2014-09-16 48.279999 48.279999 48.279999 48.279999 200 47.306256
2014-09-17 48 48 48 48 2400 47.031904
2014-09-18 48.009998 48.029999 47.02 48.029999 1200 47.061298
2014-09-19 47.150002 47.450001 47.049999 47.450001 2000 46.492998
2014-09-22 47.84 48.02 47.84 48.02 300 47.051501
2014-09-23 47.84 48 47.5 47.5 2900 46.541989
2014-09-24 48.049999 48.049999 48.049999 48.049999 200 47.080895
2014-09-25 47.950001 49 47.5 48.5 800 47.52182
2014-09-26 47.25 47.290001 47.25 47.290001 700 46.336225
2014-09-29 47.290001 47.290001 47.290001 47.290001 0 46.336225
2014-09-30 47.299999 47.299999 47.299999 47.299999 400 46.346022
2014-10-01 47.25 47.25 47.049999 47.049999 1700 46.101064
2014-10-02 47.099998 47.48 47.049999 47.169998 3000 46.218642
2014-10-03 47.099998 48 47.099998 47.5 500 46.541989
2014-10-06 47.5 47.5 47.099998 47.099998 3100 46.150055
2014-10-07 47.740002 47.740002 47.049999 47.049999 500 46.101064
2014-10-08 47.57 47.57 47.57 47.57 300 46.610576
2014-10-09 47.720001 47.720001 47.040001 47.040001 400 46.091267
2014-10-10 47.650002 47.650002 47.040001 47.040001 1300 46.091267
2014-10-13 47.41 47.41 47.049999 47.299999 800 46.346022
2014-10-14 47.34 47.34 46.5 46.630001 900 45.689536
2014-10-15 46.75 47.400002 46.75 47.25 1000 46.297031
2014-10-16 47.549999 47.549999 46.52 46.52 1700 45.581754
2014-10-17 46.919998 46.919998 46.52 46.68 1000 45.738527
2014-10-20 46.5 47.48 46.5 47.150002 3400 46.199049
2014-10-21 47.139999 47.400002 46.5 47.400002 800 46.444007
2014-10-22 47.349998 47.349998 46.549999 46.779999 2000 45.836509
2014-10-23 46.540001 47.439999 46.540001 47.299999 2300 46.346022
2014-10-24 47.650002 47.650002 47.549999 47.549999 300 46.590979
2014-10-27 47.099998 47.509998 47.099998 47.509998 1300 46.551785
2014-10-28 46.790001 47.599998 46.790001 47.200001 1100 46.24804
2014-10-29 47.57 47.57 47.57 47.57 200 46.610576
2014-10-30 47.419998 47.450001 47.419998 47.43 300 46.473401
2014-10-31 47.450001 47.549999 47.200001 47.27 600 46.316628
2014-11-03 47.27 47.27 47.27 47.27 0 46.316628
2014-11-04 47.27 47.27 47.27 47.27 0 46.316628
2014-11-05 47.349998 47.700001 47 47.700001 1200 46.737956
2014-11-06 46.540001 47.509998 46.540001 47.509998 2400 46.551785
2014-11-07 47.599998 47.599998 47.25 47.599998 2500 46.63997
2014-11-10 47.599998 47.599998 47.34 47.34 700 46.385216
2014-11-11 47.450001 48 47.450001 47.919998 900 46.953516
2014-11-12 47.400002 47.900002 47.02 47.110001 2300 46.159855
2014-11-13 47.830002 47.830002 47.799999 47.799999 800 46.835937
2014-11-14 47.900002 47.900002 47.900002 47.900002 400 46.933923
2014-11-17 46.400002 47.98 46.299999 47 900 46.052073
2014-11-18 46.509998 47.470001 45.02 46.099998 8000 45.170223
2014-11-19 45.540001 46.93 45.540001 46.869999 500 45.924694
2014-11-20 46.889999 46.98 46.889999 46.98 1600 46.032476
2014-11-21 47.25 47.799999 47.119999 47.119999 600 46.169652
2014-11-24 47.700001 47.77 47.700001 47.77 600 46.806543
2014-11-25 47.740002 47.740002 47.740002 47.740002 300 46.77715
2014-11-26 47.790001 47.799999 47.779999 47.790001 600 46.826141
2014-11-28 47.150002 48 47.150002 48 400 47.031904
2014-12-01 47.950001 48.75 47.950001 48.599998 2200 47.619802
2014-12-02 49.799999 49.950001 49.290001 49.900002 2200 48.893585
2014-12-03 49.990002 50 49.32 49.950001 1800 48.942576
2014-12-04 50 50 49.110001 49.110001 400 48.119518
2014-12-05 48.049999 48.049999 48.049999 48.049999 100 47.080895
2014-12-08 49.93 49.93 47.599998 49.869999 1100 48.864188
2014-12-09 50 50 49.98 50 700 48.991567
2014-12-10 47.009998 50 47.009998 50 1000 48.991567
2014-12-11 49.02 50.240002 49.02 50.240002 1100 49.226728
2014-12-12 48.16 49.599998 47.009998 49 5000 48.25184
2014-12-15 49 49 49 49 0 48.25184
2014-12-16 46 46 46 46 0 45.297646
2014-12-17 48.669998 49.25 48.669998 49 400 48.25184
2014-12-18 49 49.310001 48.02 49 3800 48.25184
2014-12-19 49.799999 49.799999 49.43 49.43 400 48.675275
2014-12-22 49.529999 49.529999 49.110001 49.110001 1400 48.360161
2014-12-23 49.5 49.5 49.5 49.5 300 48.744206
2014-12-24 48.02 48.610001 48.02 48.610001 300 47.867796
2014-12-26 49.84 49.970001 46.009998 47.919998 10700 47.188329
2014-12-29 48.02 48.299999 48 48.130001 1400 47.395125
2014-12-30 48.029999 48.98 48 48 1400 47.267109
2014-12-31 48.740002 48.75 48.200001 48.75 600 48.005657
2015-01-02 48.02 48.5 48.02 48.5 700 47.759475
2015-01-05 48.389999 48.490002 48.380001 48.419998 1800 47.680694
2015-01-06 47.720001 49.599998 47.720001 48.5 1400 47.759475
2015-01-07 48.529999 49.369999 48.529999 48.529999 700 47.789015
2015-01-08 49 49 48 48.139999 1900 47.404971
2015-01-09 47.509998 49.119999 47.509998 49.119999 1000 48.370007
2015-01-12 48.98 48.98 47.560001 47.560001 900 46.833828
2015-01-13 47.75 48.5 47.75 47.889999 3000 47.158788
2015-01-14 48.900002 48.98 48.220001 48.220001 700 47.483751
2015-01-15 48.290001 48.290001 48 48 600 47.267109
2015-01-16 48.419998 48.889999 48.419998 48.889999 1500 48.143519
2015-01-20 48.900002 49.599998 48.900002 49.599998 900 48.842678
2015-01-21 49.599998 49.599998 49.599998 49.599998 300 48.842678
2015-01-22 49.779999 49.900002 48.66 49.650002 6200 48.891917
2015-01-23 49.650002 49.650002 49.650002 49.650002 0 48.891917
2015-01-26 48.889999 49 48.889999 49 1000 48.25184
2015-01-27 49 49 49 49 0 48.25184
2015-01-28 48.549999 48.549999 48.549999 48.549999 100 47.80871
2015-01-29 48.470001 48.5 48.040001 48.040001 2100 47.306499
2015-01-30 48.040001 48.040001 48.040001 48.040001 0 47.306499
2015-02-02 47.07 48.400002 47.07 48.400002 700 47.661003
2015-02-03 48 48 48 48 300 47.267109
2015-02-04 48 48 48 48 0 47.267109
2015-02-05 48 48.5 47.959999 48.5 3700 47.759475
2015-02-06 49 49 48.450001 48.5 3000 47.759475
2015-02-09 48.75 48.75 48.75 48.75 100 48.005657
2015-02-10 48.75 48.75 48.75 48.75 0 48.005657
2015-02-11 46.610001 46.610001 46.610001 46.610001 0 45.898333
2015-02-12 46.610001 46.610001 46.610001 46.610001 0 45.898333
2015-02-13 48.02 48.02 48.02 48.02 300 47.286804
2015-02-17 48.049999 48.049999 48.049999 48.049999 100 47.316345
2015-02-18 47.07 47.25 47.07 47.25 800 46.52856
2015-02-19 47.25 47.25 47.25 47.25 0 46.52856
2015-02-20 47.099998 47.709999 47.099998 47.709999 400 46.981536
2015-02-23 47.709999 47.709999 47.709999 47.709999 0 46.981536
2015-02-24 46.610001 46.610001 46.610001 46.610001 0 45.898333
2015-02-25 46.610001 46.610001 46.610001 46.610001 0 45.898333
2015-02-26 46.610001 46.610001 46.610001 46.610001 0 45.898333
2015-02-27 48.669998 48.98 48.669998 48.98 300 48.232145
2015-03-02 48.98 48.98 48.98 48.98 0 48.232145
2015-03-03 47.150002 48.98 47.150002 48.98 400 48.232145
2015-03-04 48.98 49.75 48.98 49.75 400 48.990389
2015-03-05 49.75 49.75 49.75 49.75 0 48.990389
2015-03-06 49.889999 49.889999 47.099998 48.5 700 47.759475
2015-03-09 48.5 48.5 48.5 48.5 0 47.759475
2015-03-10 46.610001 46.610001 46.610001 46.610001 0 45.898333
2015-03-11 46.610001 46.610001 46.610001 46.610001 0 45.898333
2015-03-12 48.75 48.75 48.75 48.75 400 48.005657
2015-03-13 48.75 48.75 48.75 48.75 0 48.253112
2015-03-16 48.040001 48.43 46.849998 46.849998 3000 46.372476
2015-03-17 47.880001 47.880001 47.880001 47.880001 400 47.391981
2015-03-18 48.009998 48.549999 48.009998 48.25 1100 47.758208
2015-03-19 48.25 49.599998 48.25 49.599998 800 49.094447
2015-03-20 49.5 49.5 49.5 49.5 400 48.995468
2015-03-23 49.599998 49.599998 49.549999 49.549999 400 49.044957
2015-03-24 49.549999 49.549999 49.549999 49.549999 200 49.044957
2015-03-25 49.549999 49.549999 49.549999 49.549999 0 49.044957
2015-03-26 49.5 49.5 49.5 49.5 200 48.995468
2015-03-27 49.5 49.5 49.5 49.5 0 48.995468
2015-03-30 49.400002 49.400002 49.400002 49.400002 300 48.896488
2015-03-31 48.84 49.400002 48.84 49.400002 400 48.896488
2015-04-01 49.77 50.240002 49.77 50.200001 2300 49.688334
2015-04-02 50.200001 50.200001 50.200001 50.200001 0 49.688334
2015-04-06 50.200001 50.200001 50.200001 50.200001 0 49.688334
2015-04-07 50.200001 50.200001 50.200001 50.200001 100 49.688334
2015-04-08 50.200001 50.200001 50.200001 50.200001 0 49.688334
2015-04-09 49.529999 49.529999 49.490002 49.5 700 48.995468
2015-04-10 49.389999 49.389999 49.389999 49.389999 200 48.886588
2015-04-13 48.049999 49 48.049999 48.5 3100 48.00566
2015-04-14 49.48 49.5 49.48 49.5 400 48.995468
2015-04-15 49.5 49.5 49.5 49.5 0 48.995468
2015-04-16 49.5 49.5 49.48 49.490002 700 48.985571
2015-04-17 49.09 49.349998 49.09 49.349998 600 48.846995
2015-04-20 48.509998 48.509998 48.5 48.5 500 48.00566
2015-04-21 49.470001 49.5 49.470001 49.5 400 48.995468
2015-04-22 49.5 49.5 49.5 49.5 0 48.995468
2015-04-23 49.5 49.5 49.5 49.5 0 48.995468
2015-04-24 49.599998 49.599998 49.599998 49.599998 200 49.094447
2015-04-27 49.599998 49.599998 49.599998 49.599998 0 49.094447
2015-04-28 49.720001 49.720001 49.720001 49.720001 100 49.213226
2015-04-29 49.02 49.150002 49.02 49.150002 3200 48.649037
2015-04-30 49.23 49.23 48.689999 48.700001 6400 48.203622
2015-05-01 48.700001 48.700001 48.700001 48.700001 0 48.203622
2015-05-04 49.610001 50 48.099998 48.099998 3300 47.609736
2015-05-05 48.650002 48.650002 48.59 48.59 1700 48.094743
2015-05-06 49.150002 49.150002 49.150002 49.150002 200 48.649037
2015-05-07 48.23 48.68 48.139999 48.150002 3200 47.659229
2015-05-08 48.150002 48.150002 47.419998 47.52 36400 47.035649
2015-05-11 48.169998 48.349998 47.970001 48.200001 5900 47.708719
2015-05-12 48.200001 48.200001 48.200001 48.200001 500 47.708719
2015-05-13 48.200001 48.200001 48.200001 48.200001 0 47.708719
2015-05-14 48.200001 48.200001 48.200001 48.200001 0 47.708719
2015-05-15 47.5 47.98 47.5 47.98 1000 47.49096
2015-05-18 47.52 48.880001 47.52 47.630001 2600 47.144529
2015-05-19 48.889999 48.889999 48.009998 48.009998 500 47.520653
2015-05-20 48.619999 48.619999 48 48 600 47.510756
2015-05-21 47.470001 48.299999 47.470001 48.200001 800 47.708719
2015-05-22 48.200001 48.200001 48.200001 48.200001 0 47.708719
2015-05-26 48.639999 48.689999 47.790001 48 4600 47.510756
2015-05-27 48.040001 48.98 48.040001 48.799999 1300 48.302602
2015-05-28 49 49.459999 48.900002 49.450001 1200 48.945978
2015-05-29 49.450001 49.450001 49.450001 49.450001 0 48.945978
2015-06-01 49.450001 49.450001 49.450001 49.450001 0 48.945978
2015-06-02 48.529999 48.529999 48.529999 48.529999 200 48.035353
2015-06-03 48.529999 48.529999 48.529999 48.529999 0 48.035353
