"Index" "HMO.Open" "HMO.High" "HMO.Low" "HMO.Close" "HMO.Volume" "HMO.Adjusted"
2014-10-03 10.726 10.726 10.726 10.726 0 10.726
2014-10-06 10.97 10.97 10.946 10.946 0 10.946
2014-10-07 10.962 10.974 10.962 10.974 0 10.974
2014-10-08 10.799 10.799 10.799 10.799 0 10.799
2014-10-09 10.676 10.676 10.676 10.676 0 10.676
2014-10-10 10.527 10.584 10.527 10.584 0 10.584
2014-10-13 10.602 10.602 10.378 10.378 0 10.378
2014-10-14 10.342 10.342 10.342 10.342 0 10.342
2014-10-15 10.514 10.514 10.514 10.514 0 10.514
2014-10-16 10.338 10.338 10.338 10.338 0 10.338
2014-10-17 10.169 10.169 10.169 10.169 0 10.169
2014-10-20 10.656 10.656 10.656 10.656 0 10.656
2014-10-21 10.437 10.437 10.437 10.437 0 10.437
2014-10-22 10.738 10.738 10.738 10.738 0 10.738
2014-10-23 10.697 10.697 10.697 10.697 0 10.697
2014-10-24 10.809 10.809 10.809 10.809 0 10.809
2014-10-27 10.825 10.825 10.825 10.825 0 10.825
2014-10-28 10.666 10.666 10.666 10.666 0 10.666
2014-10-29 10.908 10.908 10.908 10.908 0 10.908
2014-10-30 10.973 10.973 10.946 10.946 0 10.946
2014-10-31 11.221 11.221 11.147 11.147 0 11.147
2014-11-03 11.131 11.131 11.131 11.131 0 11.131
2014-11-04 11.306 11.306 11.306 11.306 0 11.306
2014-11-05 11.219 11.219 11.219 11.219 0 11.219
2014-11-06 11.074 11.074 11.074 11.074 0 11.074
2014-11-07 11.183 11.218 11.183 11.218 0 11.218
2014-11-10 11.095 11.095 11.072 11.072 0 11.072
2014-11-11 11.21 11.21 11.21 11.21 0 11.21
2014-11-12 11.075 11.075 11.075 11.075 0 11.075
2014-11-13 11.182 11.182 11.182 11.182 0 11.182
2014-11-14 11.184 11.184 11.184 11.184 0 11.184
2014-11-17 10.546 10.546 10.546 10.546 0 10.546
2014-11-18 10.776 10.776 10.776 10.776 0 10.776
2014-11-19 10.542 10.542 10.529 10.529 0 10.529
2014-11-20 10.376 10.425 10.376 10.425 0 10.425
2014-11-21 10.463 10.564 10.463 10.564 0 10.564
2014-11-24 10.581 10.581 10.581 10.581 0 10.581
2014-11-25 10.761 10.761 10.737 10.741 0 10.741
2014-11-26 10.707 10.707 10.672 10.68 0 10.68
2014-11-27 10.615 10.615 10.615 10.615 0 10.615
2014-11-28 10.745 10.745 10.745 10.745 0 10.745
2014-12-01 10.729 10.758 10.729 10.758 0 10.758
2014-12-02 10.75 10.773 10.75 10.769 0 10.769
2014-12-03 10.627 10.637 10.627 10.637 0 10.637
2014-12-04 10.815 10.815 10.815 10.815 0 10.815
2014-12-05 11.104 11.104 11.059 11.059 0 11.059
2014-12-08 11.19 11.239 11.19 11.23 0 11.23
2014-12-09 11.036 11.036 11.036 11.036 0 11.036
2014-12-10 10.773 10.773 10.773 10.773 0 10.773
2014-12-11 10.555 10.555 10.502 10.502 0 10.502
2014-12-12 10.227 10.227 10.199 10.199 0 10.199
2014-12-15 10.046 10.046 10.046 10.046 0 10.046
