"Index" "HK.Open" "HK.High" "HK.Low" "HK.Close" "HK.Volume" "HK.Adjusted"
2014-12-19 2.05 2.2 2.02 2.18 9873800 2.18
2014-12-22 2.18 2.19 1.96 1.98 7561700 1.98
2014-12-23 2.02 2.09 1.96 2.04 4594500 2.04
2014-12-24 1.97 1.99 1.92 1.96 2140300 1.96
2014-12-26 2 2.02 1.85 1.88 3321900 1.88
2014-12-29 1.88 1.94 1.72 1.85 6770000 1.85
2014-12-30 1.79 1.84 1.72 1.73 6928800 1.73
2014-12-31 1.72 1.79 1.66 1.78 7014000 1.78
2015-01-02 1.75 1.88 1.7 1.87 3181600 1.87
2015-01-05 1.85 1.85 1.65 1.69 5619900 1.69
2015-01-06 1.65 1.71 1.5 1.57 6179600 1.57
2015-01-07 1.66 1.66 1.51 1.54 3935400 1.54
2015-01-08 1.58 1.64 1.52 1.59 4005100 1.59
2015-01-09 1.63 1.67 1.53 1.59 4322400 1.59
2015-01-12 1.52 1.54 1.43 1.52 3221600 1.52
2015-01-13 1.5 1.59 1.45 1.49 3869300 1.49
2015-01-14 1.43 1.52 1.31 1.5 7231100 1.5
2015-01-15 1.51 1.53 1.32 1.34 4730900 1.34
2015-01-16 1.34 1.37 1.12 1.2 9675100 1.2
2015-01-20 1.15 1.16 1.06 1.09 7303300 1.09
2015-01-21 1.1 1.25 1.1 1.22 7643500 1.22
2015-01-22 1.27 1.44 1.21 1.41 8365700 1.41
2015-01-23 1.41 1.54 1.34 1.48 6250100 1.48
2015-01-26 1.48 1.49 1.36 1.41 3040200 1.41
2015-01-27 1.41 1.51 1.36 1.47 3730200 1.47
2015-01-28 1.48 1.48 1.33 1.37 4079800 1.37
2015-01-29 1.37 1.45 1.25 1.45 3543500 1.45
2015-01-30 1.4 1.47 1.34 1.4 3707900 1.4
2015-02-02 1.45 1.53 1.38 1.53 5436700 1.53
2015-02-03 1.59 1.74 1.55 1.74 10637500 1.74
2015-02-04 1.72 1.82 1.63 1.76 8709000 1.76
2015-02-05 1.77 1.92 1.76 1.87 6684400 1.87
2015-02-06 1.95 2.06 1.88 2.03 7204200 2.03
2015-02-09 2.05 2.25 2.04 2.13 8771400 2.13
2015-02-10 2.15 2.16 1.89 2.08 5500000 2.08
2015-02-11 2.01 2.13 1.91 2.1 4155200 2.1
2015-02-12 2.16 2.24 2.1 2.2 6392300 2.2
2015-02-13 2.27 2.32 2.17 2.18 6197000 2.18
2015-02-17 2.25 2.27 2.1 2.23 3460800 2.23
2015-02-18 2.18 2.22 2.13 2.18 3608900 2.18
2015-02-19 2.1 2.19 2 2.1 3961700 2.1
2015-02-20 2.14 2.21 2.07 2.1 3387500 2.1
2015-02-23 2.05 2.13 2 2.09 2837800 2.09
2015-02-24 2.11 2.14 2.03 2.05 1808400 2.05
2015-02-25 2.05 2.09 1.95 2.01 3297300 2.01
2015-02-26 2.05 2.14 1.91 1.97 4777900 1.97
2015-02-27 2.01 2.05 1.92 1.92 4148200 1.92
2015-03-02 1.91 1.97 1.85 1.91 2599500 1.91
2015-03-03 1.92 2 1.88 1.98 2624800 1.98
2015-03-04 2 2.02 1.91 2.01 2502500 2.01
2015-03-05 2.03 2.03 1.9 1.95 2442300 1.95
2015-03-06 1.95 1.96 1.74 1.77 5640500 1.77
2015-03-09 1.73 1.81 1.71 1.77 2080000 1.77
2015-03-10 1.72 1.74 1.57 1.59 3197300 1.59
2015-03-11 1.6 1.69 1.59 1.69 2671800 1.69
2015-03-12 1.72 1.72 1.55 1.65 2702800 1.65
2015-03-13 1.62 1.67 1.55 1.65 2324900 1.65
2015-03-16 1.59 1.61 1.51 1.55 3074000 1.55
2015-03-17 1.51 1.54 1.43 1.43 3898900 1.43
2015-03-18 1.4 1.69 1.33 1.64 4922600 1.64
2015-03-19 1.6 1.63 1.5 1.58 2318100 1.58
2015-03-20 1.62 1.65 1.5 1.6 9114700 1.6
2015-03-23 1.56 1.68 1.53 1.56 5942300 1.56
2015-03-24 1.55 1.66 1.55 1.65 3135000 1.65
2015-03-25 1.65 1.75 1.62 1.69 3163000 1.69
2015-03-26 1.76 1.83 1.71 1.78 3551300 1.78
2015-03-27 1.76 1.76 1.64 1.65 2049900 1.65
2015-03-30 1.64 1.66 1.49 1.58 5504400 1.58
2015-03-31 1.54 1.61 1.53 1.54 2674700 1.54
2015-04-01 1.54 1.66 1.52 1.64 5297300 1.64
