"Index" "OPM.Open" "OPM.High" "OPM.Low" "OPM.Close" "OPM.Volume" "OPM.Adjusted"
2014-06-06 1.69 1.69 1.69 1.69 0 1.3884
2014-06-09 1.69 1.69 1.69 1.69 0 1.3884
2014-06-10 1.69 1.69 1.69 1.69 0 1.3884
2014-06-11 1.69 1.69 1.69 1.69 0 1.3884
2014-06-12 1.7 1.7 1.62 1.62 500 1.3309
2014-06-13 1.75 1.75 1.75 1.75 4600 1.4377
2014-06-16 1.75 1.75 1.75 1.75 0 1.4377
2014-06-17 1.8 1.8 1.78 1.78 36400 1.4623
2014-06-18 1.78 1.78 1.78 1.78 0 1.4623
2014-06-19 1.78 1.78 1.78 1.78 0 1.4623
2014-06-20 1.8 1.85 1.8 1.8 78100 1.4787
2014-06-23 1.8 1.8 1.8 1.8 0 1.4787
2014-06-24 1.85 1.85 1.8 1.8 5200 1.4787
2014-06-25 1.8 1.8 1.8 1.8 0 1.4787
2014-06-26 1.8 1.8 1.8 1.8 0 1.4787
2014-06-27 1.8 1.8 1.8 1.8 0 1.575
2014-06-30 1.85 1.85 1.85 1.85 35900 1.6188
2014-07-01 1.85 1.85 1.85 1.85 0 1.6188
2014-07-02 1.85 1.85 1.85 1.85 0 1.6188
2014-07-03 1.85 1.85 1.85 1.85 0 1.6188
2014-07-04 1.85 1.85 1.85 1.85 0 1.6188
2014-07-07 1.85 1.85 1.85 1.85 0 1.6188
2014-07-08 1.85 1.85 1.85 1.85 0 1.6188
2014-07-09 1.85 1.85 1.85 1.85 0 1.6188
2014-07-10 1.85 1.85 1.85 1.85 1000 1.6188
2014-07-11 1.85 1.85 1.85 1.85 0 1.6188
2014-07-14 1.85 1.85 1.85 1.85 200 1.6188
2014-07-15 1.8 1.8 1.77 1.79 21500 1.5662
2014-07-16 1.79 1.79 1.79 1.79 0 1.5662
2014-07-17 1.8 1.8 1.74 1.75 5300 1.5312
2014-07-18 1.75 1.75 1.75 1.75 0 1.5312
2014-07-21 1.75 1.75 1.75 1.75 0 1.5312
2014-07-22 1.8 1.85 1.79 1.85 47200 1.6188
2014-07-23 1.85 1.85 1.85 1.85 0 1.6188
2014-07-24 1.9 2.075 1.9 1.93 9800 1.6887
2014-07-25 2 2.1 2 2.1 7900 1.8375
2014-07-28 2.1 2.1 2.1 2.1 0 1.8375
2014-07-29 2 2 1.9 1.9 4900 1.6625
2014-07-30 1.91 1.91 1.9 1.9 1400 1.6625
2014-07-31 1.9 1.9 1.9 1.9 0 1.6625
2014-08-01 1.9 1.91 1.9 1.91 5400 1.6712
2014-08-04 1.91 1.91 1.91 1.91 0 1.6712
2014-08-05 1.91 1.91 1.91 1.91 0 1.6712
2014-08-06 1.91 1.91 1.91 1.91 0 1.6712
2014-08-07 1.91 1.91 1.91 1.91 0 1.6712
2014-08-08 1.91 1.91 1.91 1.91 0 1.6712
2014-08-11 1.91 1.91 1.91 1.91 0 1.6712
2014-08-12 1.9 1.9 1.9 1.9 21900 1.6625
2014-08-13 1.9 1.9 1.9 1.9 0 1.6625
2014-08-14 1.9 1.9 1.9 1.9 0 1.6625
2014-08-15 1.9 1.9 1.9 1.9 0 1.6625
2014-08-18 1.9 1.9 1.9 1.9 0 1.6625
2014-08-19 1.9 1.9 1.9 1.9 0 1.6625
2014-08-20 1.9 1.9 1.9 1.9 0 1.6625
2014-08-21 1.9 1.9 1.9 1.9 0 1.6625
2014-08-22 1.9 1.9 1.9 1.9 0 1.6625
2014-08-25 1.9 1.9 1.9 1.9 0 1.6625
2014-08-26 1.9 1.9 1.9 1.9 0 1.6625
2014-08-27 1.9 1.9 1.9 1.9 100 1.6625
2014-08-28 1.91 1.91 1.85 1.85 3100 1.6188
2014-08-29 1.85 1.85 1.85 1.85 0 1.6188
2014-09-01 1.85 1.85 1.85 1.85 0 1.6188
2014-09-02 1.85 1.85 1.85 1.85 0 1.6188
2014-09-03 1.85 1.85 1.85 1.85 1000 1.6188
2014-09-04 1.9 1.9 1.9 1.9 11600 1.6625
2014-09-05 1.9 1.9 1.9 1.9 0 1.6625
