"Index" "ZAR.Open" "ZAR.High" "ZAR.Low" "ZAR.Close" "ZAR.Volume" "ZAR.Adjusted"
2014-03-13 84.5 84.95 84.5 84.93 0 84.93
2014-03-14 84.75 84.75 83.5 83.5 0 83.5
2014-03-17 83.75 84 83.75 84 0 84
2014-03-18 84.2 84.25 83.75 84.25 0 84.25
2014-03-19 83.95 84 83.95 84 0 84
2014-03-20 84.25 84.26 84.25 84.25 0 84.25
2014-03-21 84.25 84.25 84.25 84.25 0 84.25
2014-03-24 84.25 84.25 84.25 84.25 0 84.25
2014-03-25 84.25 84.25 84.25 84.25 0 84.25
2014-03-26 84.25 84.25 84.25 84.25 0 84.25
2014-03-27 84.25 84.25 84.25 84.25 0 84.25
2014-03-28 84.25 84.25 84.25 84.25 0 84.25
2014-03-31 84.25 84.25 84.25 84.25 0 84.25
2014-04-01 82.35 82.35 82.35 82.35 0 82.35
2014-04-02 83.61 83.61 83.26 83.26 0 83.26
2014-04-03 83.65 83.65 83.41 83.41 0 83.41
2014-04-04 83.51 83.52 83.41 83.41 0 83.41
2014-04-07 83.65 83.65 83.37 83.5 0 83.5
2014-04-08 83.65 83.65 83.65 83.65 0 83.65
2014-04-09 83.15 83.85 83.05 83.85 0 83.85
2014-04-10 83.65 83.65 83.65 83.65 0 83.65
2014-04-11 83.4 84 83.3 83.88 0 83.88
2014-04-14 83.76 83.76 83.4 83.5 0 83.5
2014-04-15 84.05 84.05 83.56 83.9 0 83.9
2014-04-16 83.56 84.1 83.56 84.1 0 84.1
2014-04-17 84.03 84.51 84.03 84.28 0 84.28
2014-04-18 84.28 84.28 84.28 84.28 0 84.28
2014-04-21 84.28 84.28 84.28 84.28 0 84.28
2014-04-22 84.5 84.5 84.5 84.5 0 84.5
2014-04-23 85.25 86.35 85.25 86.35 0 86.35
2014-04-24 86.98 86.98 86.98 86.98 0 86.98
2014-04-25 85.74 85.74 85.74 85.74 0 85.74
2014-04-28 84.26 84.26 84.26 84.26 0 84.26
2014-04-29 84.5 84.5 84.5 84.5 0 84.5
2014-04-30 84.25 84.28 84.25 84.28 0 84.28
2014-05-01 84.28 84.28 84.28 84.28 0 84.28
2014-05-02 85.69 85.69 84.94 84.94 0 84.94
2014-05-05 84.5 84.51 84.5 84.51 0 84.51
2014-05-06 84.5 84.5 84.5 84.5 0 84.5
2014-05-07 85.65 86.2 85.25 85.5 0 85.5
2014-05-08 85 85 84.75 84.75 0 84.75
2014-05-09 85.93 86.65 85.93 86.23 0 86.23
2014-05-12 85.98 86.44 85.98 86.44 0 86.44
2014-05-13 86.38 86.38 86.38 86.38 0 86.38
2014-05-14 86.5 86.75 86.5 86.75 0 86.75
2014-05-15 86.75 87.82 86.75 87.82 0 87.82
2014-05-16 87.5 88.05 87.5 88.05 0 88.05
2014-05-19 88.25 90.9 88.07 90.9 0 90.9
2014-05-20 91.07 91.07 90.95 90.95 0 90.95
2014-05-21 89.85 89.85 89.5 89.5 0 89.5
2014-05-22 89.5 89.5 89.5 89.5 0 89.5
2014-05-23 89.6 92.55 89.6 92.55 0 92.55
2014-05-26 91.5 91.5 91 91 0 91
2014-05-27 91 91 91 91 0 91
2014-05-28 91 91 90.5 90.5 0 90.5
2014-05-29 90.5 90.5 90.25 90.25 0 90.25
2014-05-30 90 90 90 90 0 90
2014-06-02 90.61 90.61 90.61 90.61 0 90.61
2014-06-03 91 91.01 90.76 90.76 0 90.76
2014-06-04 90.75 90.76 90.75 90.75 0 90.75
2014-06-05 90.75 91.09 90.75 91.09 0 91.09
2014-06-06 91.2 91.2 90.47 90.47 0 90.47
2014-06-09 90.45 90.45 90.45 90.45 0 90.45
2014-06-10 90.45 90.45 90.45 90.45 0 90.45
2014-06-11 90.5 90.5 90.5 90.5 0 90.5
2014-06-12 90.5 90.5 90.5 90.5 0 90.5
2014-06-13 90.25 90.25 90 90 0 90
2014-06-16 89.63 89.63 89.63 89.63 0 89.63
2014-06-17 88.55 88.55 88.55 88.55 0 88.55
2014-06-18 88.55 88.55 88.15 88.15 0 88.15
2014-06-19 88.81 89.68 88.81 89.66 0 89.66
2014-06-20 89.34 89.76 89.34 89.76 0 89.76
2014-06-23 88.25 89.51 88.25 89.51 0 89.51
2014-06-24 89.46 89.46 89.46 89.46 0 89.46
2014-06-25 88.51 88.51 88.51 88.51 0 88.51
2014-06-26 88.51 88.51 88.51 88.51 0 88.51
2014-06-27 88.51 88.75 88.51 88.75 0 88.75
2014-06-30 88.75 88.75 88.75 88.75 0 88.75
2014-07-01 89 89.48 89 89.48 0 89.48
2014-07-02 89.23 89.23 88.26 88.26 0 88.26
2014-07-03 87.52 88.71 87.52 88.71 0 88.71
2014-07-04 88.71 88.72 88.71 88.71 0 88.71
2014-07-07 87.78 88.26 87.78 88.26 0 88.26
2014-07-08 88.26 88.26 88.26 88.26 0 88.26
2014-07-09 87.75 88.26 87.75 87.76 0 87.76
2014-07-10 87.76 87.76 87.76 87.76 0 87.76
2014-07-11 87.76 87.76 87.76 87.76 0 87.76
2014-07-14 87.75 87.75 87.75 87.75 0 87.75
2014-07-15 87.75 87.75 87.75 87.75 0 87.75
2014-07-16 87.75 87.75 87.75 87.75 0 87.75
2014-07-17 87.75 87.75 87.51 87.51 0 87.51
2014-07-18 87.51 87.51 87.36 87.36 0 87.36
2014-07-21 87.5 87.51 87.49 87.49 0 87.49
2014-07-22 87.24 87.24 87.24 87.24 0 87.24
2014-07-23 87.24 87.24 87.24 87.24 0 87.24
2014-07-24 87.24 87.24 87.24 87.24 0 87.24
2014-07-25 87.29 87.29 87.29 87.29 0 87.29
2014-07-28 86.75 86.75 86.75 86.75 0 86.75
2014-07-29 86.74 86.74 86.49 86.49 0 86.49
2014-07-30 86.44 86.5 86.44 86.5 0 86.5
2014-07-31 85.62 85.62 85.62 85.62 0 85.62
2014-08-01 84.74 86.24 84.74 86.24 0 86.24
2014-08-04 86.23 86.23 86.23 86.23 0 86.23
2014-08-05 86.23 86.48 86.23 86.48 0 86.48
2014-08-06 86.48 86.48 86.48 86.48 0 86.48
2014-08-07 86.48 86.48 85 85 0 85
2014-08-08 85.5 86 84.38 84.38 0 84.38
2014-08-11 84.88 84.88 83.82 83.82 0 83.82
2014-08-12 83.94 83.94 81.5 81.5 0 81.5
2014-08-13 82.51 82.76 82.5 82.76 0 82.76
2014-08-14 83.05 83.05 82.7 82.7 0 82.7
2014-08-15 82.7 83.2 82.55 82.55 0 82.55
2014-08-18 82.9 83 82.9 83 0 83
2014-08-19 83 83.5 83 83.5 0 83.5
2014-08-20 83.5 83.5 82.75 82.75 0 82.75
2014-08-21 82.64 82.64 82.64 82.64 0 82.64
2014-08-22 82.64 82.99 82.64 82.99 0 82.99
2014-08-25 82.99 82.99 82.99 82.99 0 82.99
2014-08-26 83.24 83.24 83.24 83.24 0 83.24
2014-08-27 82.75 83 82.75 83 0 83
2014-08-28 82.99 82.99 82.6 82.75 0 82.75
2014-08-29 82.75 82.75 82.4 82.64 0 82.64
2014-09-01 82.98 82.98 82.6 82.6 0 82.6
2014-09-02 82.64 82.65 82.64 82.65 0 82.65
2014-09-03 82.74 83.14 82.74 82.76 0 82.76
2014-09-04 82.51 82.76 82.51 82.76 0 82.76
2014-09-05 82.8 82.8 82.4 82.4 0 82.4
2014-09-08 82.4 82.4 82.33 82.33 0 82.33
2014-09-09 82.4 82.4 82.35 82.35 0 82.35
2014-09-10 82.4 82.4 82.38 82.38 0 82.38
2014-09-11 82.41 82.41 82.33 82.33 0 82.33
2014-09-12 81.66 82.16 81.66 81.91 0 81.91
2014-09-15 82.68 82.68 82.68 82.68 0 82.68
2014-09-16 82.68 82.68 82.68 82.68 0 82.68
2014-09-17 82.32 82.32 82.32 82.32 0 82.32
2014-09-18 82.32 82.32 82.15 82.18 0 82.18
2014-09-19 82.18 82.3 82.16 82.2 0 82.2
2014-09-22 82.2 82.2 82.18 82.19 0 82.19
2014-09-23 82.2 82.2 82.15 82.15 0 82.15
2014-09-24 82.15 82.23 82.15 82.23 0 82.23
2014-09-25 82.1 82.15 82.1 82.15 0 82.15
2014-09-26 82.1 82.1 81.95 81.95 0 81.95
2014-09-29 81.55 82 81.55 82 0 82
2014-09-30 82 82 82 82 0 82
2014-10-01 82.25 82.25 82.01 82.01 0 82.01
2014-10-02 82.01 82.01 82.01 82.01 0 82.01
2014-10-03 81.01 81.01 81.01 81.01 0 81.01
2014-10-06 81.75 81.75 80.02 80.02 100 80.02
2014-10-07 80.89 80.89 79.47 79.47 0 79.47
2014-10-08 79.5 79.51 79.26 79.26 0 79.26
2014-10-09 79.75 79.75 79.26 79.75 0 79.75
2014-10-10 79.75 79.75 78.02 78.76 100 78.76
2014-10-13 79.45 79.45 79.45 79.45 0 79.45
2014-10-14 78.6 78.6 77.5 77.5 0 77.5
2014-10-15 77.5 77.51 77.5 77.5 0 77.5
2014-10-16 77 77 74.51 74.51 0 74.51
2014-10-17 76.5 76.51 75.5 76.51 0 76.51
