"Index" "ZN.Open" "ZN.High" "ZN.Low" "ZN.Close" "ZN.Volume" "ZN.Adjusted"
2014-11-13 1.71 1.74 1.69 1.7 27400 1.7
2014-11-14 1.67 1.74 1.65 1.69 41700 1.69
2014-11-17 1.72 1.74 1.67 1.72 16900 1.72
2014-11-18 1.71 1.74 1.7 1.7 16400 1.7
2014-11-19 1.7 1.72 1.6 1.66 34100 1.66
2014-11-20 1.68 1.68 1.62 1.65 17900 1.65
2014-11-21 1.64 1.65 1.64 1.65 13400 1.65
2014-11-24 1.75 1.75 1.65 1.7 23700 1.7
2014-11-25 1.7 1.7 1.65 1.66 17600 1.66
2014-11-26 1.68 1.7 1.64 1.64 27800 1.64
2014-11-28 1.64 1.69 1.63 1.63 8600 1.63
2014-12-01 1.63 1.65 1.55 1.57 34600 1.57
2014-12-02 1.6 1.65 1.55 1.55 24800 1.55
2014-12-03 1.55 1.65 1.55 1.63 24700 1.63
2014-12-04 1.65 1.65 1.45 1.46 235200 1.46
2014-12-05 1.46 1.46 1.36 1.45 116000 1.45
2014-12-08 1.41 1.45 1.34 1.36 112700 1.36
2014-12-09 1.39 1.5 1.37 1.43 91500 1.43
2014-12-10 1.35 1.5 1.35 1.41 33600 1.41
2014-12-11 1.51 1.51 1.44 1.49 55400 1.49
2014-12-12 1.49 1.51 1.45 1.45 31500 1.45
2014-12-15 1.46 1.55 1.45 1.47 37700 1.47
2014-12-16 1.48 1.53 1.4 1.44 69000 1.44
2014-12-17 1.47 1.52 1.41 1.46 34000 1.46
2014-12-18 1.48 1.52 1.42 1.46 36100 1.46
2014-12-19 1.49 1.51 1.44 1.47 27300 1.47
2014-12-22 1.48 1.48 1.43 1.46 37900 1.46
2014-12-23 1.47 1.49 1.43 1.45 56300 1.45
2014-12-24 1.43 1.48 1.4 1.47 24400 1.47
2014-12-26 1.47 1.47 1.4 1.41 44400 1.41
2014-12-29 1.41 1.45 1.37 1.38 57300 1.38
2014-12-30 1.4 1.42 1.38 1.38 65500 1.38
2014-12-31 1.37 1.42 1.35 1.37 52600 1.37
2015-01-02 1.39 1.43 1.37 1.38 34300 1.38
2015-01-05 1.38 1.43 1.37 1.39 15100 1.39
2015-01-06 1.42 1.42 1.4 1.4 16800 1.4
2015-01-07 1.41 1.41 1.4 1.41 29200 1.41
2015-01-08 1.4 1.47 1.38 1.43 47200 1.43
2015-01-09 1.4 1.44 1.38 1.39 32200 1.39
2015-01-12 1.4 1.45 1.39 1.4 20300 1.4
2015-01-13 1.39 1.43 1.39 1.39 41900 1.39
