"Index" "NRS.Open" "NRS.High" "NRS.Low" "NRS.Close" "NRS.Volume" "NRS.Adjusted"
2014-04-22 0.41 0.41 0.41 0.41 0 0.41
2014-04-23 0.43 0.43 0.43 0.43 0 0.43
2014-04-24 0.43 0.43 0.43 0.43 0 0.43
2014-04-25 0.438 0.438 0.438 0.438 0 0.438
2014-04-28 0.431 0.431 0.431 0.431 0 0.431
2014-04-29 0.435 0.483 0.435 0.483 1900 0.483
2014-04-30 0.425 0.425 0.425 0.425 0 0.425
2014-05-01 0.425 0.425 0.425 0.425 0 0.425
2014-05-02 0.429 0.429 0.429 0.429 0 0.429
2014-05-05 0.424 0.424 0.424 0.424 0 0.424
2014-05-06 0.425 0.425 0.425 0.425 0 0.425
2014-05-07 0.426 0.426 0.426 0.426 0 0.426
2014-05-08 0.426 0.426 0.426 0.426 0 0.426
2014-05-09 0.431 0.431 0.431 0.431 0 0.431
2014-05-12 0.43 0.43 0.43 0.43 0 0.43
2014-05-13 0.423 0.423 0.423 0.423 0 0.423
2014-05-14 0.423 0.423 0.423 0.423 0 0.423
2014-05-15 0.423 0.423 0.423 0.423 0 0.423
2014-05-16 0.421 0.421 0.421 0.421 0 0.421
2014-05-19 0.422 0.422 0.422 0.422 0 0.422
2014-05-20 0.425 0.425 0.425 0.425 0 0.425
2014-05-21 0.423 0.423 0.423 0.423 0 0.423
2014-05-22 0.429 0.429 0.429 0.429 0 0.429
2014-05-23 0.439 0.439 0.439 0.439 0 0.439
2014-05-26 0.433 0.433 0.433 0.433 0 0.433
2014-05-27 0.428 0.428 0.428 0.428 0 0.428
2014-05-28 0.428 0.428 0.428 0.428 0 0.428
2014-05-29 0.435 0.435 0.435 0.435 0 0.435
2014-05-30 0.435 0.435 0.435 0.435 0 0.435
2014-06-02 0.435 0.435 0.435 0.435 0 0.435
2014-06-03 0.428 0.428 0.428 0.428 0 0.428
2014-06-04 0.424 0.424 0.424 0.424 0 0.424
2014-06-05 0.424 0.424 0.424 0.424 0 0.424
2014-06-06 0.433 0.433 0.433 0.433 0 0.433
2014-06-09 0.429 0.429 0.429 0.429 0 0.429
2014-06-10 0.429 0.429 0.429 0.429 0 0.429
2014-06-11 0.432 0.432 0.432 0.432 0 0.432
2014-06-12 0.433 0.433 0.433 0.433 0 0.433
2014-06-13 0.432 0.432 0.432 0.432 0 0.432
2014-06-16 0.434 0.434 0.434 0.434 0 0.434
2014-06-17 0.432 0.432 0.432 0.432 0 0.432
2014-06-18 0.428 0.428 0.428 0.428 0 0.428
2014-06-19 0.428 0.428 0.428 0.428 0 0.428
2014-06-20 0.436 0.436 0.436 0.436 0 0.436
2014-06-23 0.429 0.429 0.429 0.429 0 0.429
2014-06-24 0.427 0.427 0.427 0.427 0 0.427
2014-06-25 0.421 0.421 0.421 0.421 0 0.421
2014-06-26 0.422 0.422 0.422 0.422 0 0.422
2014-06-27 0.427 0.427 0.427 0.427 0 0.427
2014-06-30 0.421 0.421 0.421 0.421 0 0.421
2014-07-01 0.426 0.426 0.426 0.426 0 0.426
2014-07-02 0.42 0.42 0.42 0.42 0 0.42
2014-07-03 0.437 0.437 0.437 0.437 0 0.437
2014-07-04 0.424 0.424 0.424 0.424 0 0.424
2014-07-07 0.429 0.429 0.429 0.429 0 0.429
2014-07-08 0.437 0.437 0.437 0.437 0 0.437
2014-07-09 0.426 0.426 0.426 0.426 0 0.426
2014-07-10 0.431 0.431 0.431 0.431 0 0.431
2014-07-11 0.423 0.423 0.423 0.423 0 0.423
2014-07-14 0.422 0.422 0.422 0.422 0 0.422
2014-07-15 0.419 0.419 0.419 0.419 0 0.419
2014-07-16 0.419 0.419 0.419 0.419 0 0.419
2014-07-17 0.423 0.423 0.423 0.423 0 0.423
2014-07-18 0.421 0.421 0.421 0.421 0 0.421
2014-07-21 0.416 0.416 0.416 0.416 0 0.416
2014-07-22 0.42 0.42 0.42 0.42 0 0.42
2014-07-23 0.419 0.419 0.419 0.419 0 0.419
2014-07-24 0.417 0.417 0.417 0.417 0 0.417
2014-07-25 0.419 0.419 0.419 0.419 0 0.419
2014-07-28 0.418 0.418 0.418 0.418 0 0.418
2014-07-29 0.418 0.418 0.418 0.418 0 0.418
2014-07-30 0.423 0.423 0.423 0.423 0 0.423
2014-07-31 0.413 0.413 0.413 0.413 0 0.413
2014-08-01 0.411 0.411 0.411 0.411 0 0.411
2014-08-04 0.406 0.406 0.406 0.406 0 0.406
2014-08-05 0.402 0.402 0.402 0.402 0 0.402
2014-08-06 0.402 0.402 0.402 0.402 0 0.402
2014-08-07 0.404 0.404 0.404 0.404 0 0.404
2014-08-08 0.4 0.4 0.4 0.4 0 0.4
2014-08-11 0.399 0.399 0.399 0.399 0 0.399
2014-08-12 0.401 0.401 0.401 0.401 0 0.401
2014-08-13 0.399 0.399 0.399 0.399 0 0.399
2014-08-14 0.399 0.399 0.399 0.399 0 0.399
2014-08-15 0.399 0.399 0.399 0.399 0 0.399
2014-08-18 0.405 0.405 0.405 0.405 0 0.405
2014-08-19 0.373 0.373 0.373 0.373 0 0.373
2014-08-20 0.389 0.389 0.389 0.389 0 0.389
2014-08-21 0.376 0.376 0.376 0.376 0 0.376
2014-08-22 0.386 0.386 0.386 0.386 0 0.386
2014-08-25 0.378 0.378 0.378 0.378 0 0.378
2014-08-26 0.375 0.375 0.375 0.375 0 0.375
2014-08-27 0.381 0.381 0.381 0.381 0 0.381
2014-08-28 0.384 0.384 0.384 0.384 0 0.384
2014-08-29 0.38 0.38 0.38 0.38 0 0.38
2014-09-01 0.383 0.383 0.383 0.383 0 0.383
2014-09-02 0.379 0.379 0.379 0.379 0 0.379
2014-09-03 0.383 0.383 0.383 0.383 0 0.383
2014-09-04 0.379 0.379 0.379 0.379 0 0.379
2014-09-05 0.379 0.379 0.379 0.379 0 0.379
2014-09-08 0.379 0.379 0.379 0.379 0 0.379
2014-09-09 0.382 0.382 0.382 0.382 0 0.382
2014-09-10 0.382 0.382 0.382 0.382 0 0.382
2014-09-11 0.374 0.374 0.374 0.374 0 0.374
2014-09-12 0.382 0.382 0.382 0.382 0 0.382
2014-09-15 0.376 0.376 0.376 0.376 0 0.376
2014-09-16 0.375 0.375 0.375 0.375 0 0.375
2014-09-17 0.376 0.376 0.376 0.376 0 0.376
2014-09-18 0.377 0.377 0.377 0.377 0 0.377
2014-09-19 0.374 0.374 0.374 0.374 0 0.374
2014-09-22 0.373 0.373 0.373 0.373 0 0.373
2014-09-23 0.373 0.373 0.373 0.373 0 0.373
2014-09-24 0.372 0.372 0.372 0.372 0 0.372
2014-09-25 0.372 0.372 0.372 0.372 0 0.372
2014-09-26 0.372 0.4 0.372 0.4 0 0.4
2014-09-29 0.373 0.402 0.373 0.4 0 0.4
2014-09-30 0.372 0.4 0.372 0.398 0 0.398
2014-10-01 0.371 0.396 0.371 0.396 0 0.396
2014-10-02 0.37 0.404 0.37 0.404 0 0.404
2014-10-03 0.404 0.404 0.404 0.404 0 0.404
2014-10-06 0.369 0.399 0.369 0.392 0 0.392
2014-10-07 0.37 0.393 0.37 0.393 0 0.393
2014-10-08 0.367 0.367 0.367 0.367 0 0.367
2014-10-09 0.368 0.395 0.368 0.395 0 0.395
2014-10-10 0.367 0.374 0.367 0.374 0 0.374
2014-10-13 0.349 0.349 0.349 0.349 0 0.349
2014-10-14 0.35 0.354 0.35 0.354 0 0.354
2014-10-15 0.327 0.363 0.327 0.363 0 0.363
2014-10-16 0.33 0.33 0.33 0.33 0 0.33
2014-10-17 0.332 0.332 0.332 0.332 0 0.332
2014-10-20 0.332 0.332 0.332 0.332 0 0.332
2014-10-21 0.34 0.34 0.34 0.34 0 0.34
2014-10-22 0.339 0.339 0.339 0.339 0 0.339
2014-10-23 0.36 0.36 0.36 0.36 0 0.36
2014-10-24 0.363 0.363 0.363 0.363 0 0.363
2014-10-27 0.363 0.363 0.363 0.363 0 0.363
2014-10-28 0.377 0.377 0.377 0.377 0 0.377
2014-10-29 0.36 0.36 0.36 0.36 0 0.36
2014-10-30 0.366 0.406 0.366 0.406 0 0.406
2014-10-31 0.379 0.397 0.379 0.397 0 0.397
2014-11-03 0.374 0.374 0.374 0.374 0 0.374
