"Index" "HH.Open" "HH.High" "HH.Low" "HH.Close" "HH.Volume" "HH.Adjusted"
2015-02-03 0.48 0.49 0.48 0.49 52700 0.49
2015-02-04 0.47 0.49 0.47 0.49 37500 0.49
2015-02-05 0.47 0.49 0.47 0.49 27000 0.49
2015-02-06 0.47 0.49 0.47 0.48 52900 0.48
2015-02-09 0.45 0.49 0.45 0.48 73200 0.48
2015-02-10 0.46 0.52 0.46 0.51 149400 0.51
2015-02-11 0.52 0.52 0.46 0.51 49900 0.51
2015-02-12 0.51 0.51 0.5 0.51 25500 0.51
2015-02-13 0.52 0.54 0.51 0.54 143800 0.54
2015-02-17 0.54 0.56 0.54 0.56 180500 0.56
2015-02-18 0.56 0.56 0.55 0.56 55700 0.56
2015-02-19 0.55 0.6 0.55 0.57 156000 0.57
2015-02-20 0.58 0.6 0.54 0.58 39000 0.58
2015-02-23 0.55 0.62 0.55 0.59 97500 0.59
2015-02-24 0.6 0.6 0.56 0.56 54800 0.56
2015-02-25 0.55 0.58 0.52 0.57 11800 0.57
2015-02-26 0.56 0.63 0.55 0.58 100400 0.58
2015-02-27 0.59 0.59 0.56 0.59 149800 0.59
2015-03-02 0.57 0.59 0.56 0.57 92600 0.57
2015-03-03 0.57 0.58 0.56 0.58 41200 0.58
2015-03-04 0.56 0.6 0.56 0.58 26200 0.58
