"Index" "HP.Open" "HP.High" "HP.Low" "HP.Close" "HP.Volume" "HP.Adjusted"
2015-03-19 65.769997 66.169998 64.839996 66.050003 1849700 63.961937
2015-03-20 67.260002 68.169998 66.790001 68.160004 7755200 66.005234
2015-03-23 68.160004 69.68 68 68.510002 2195000 66.344167
2015-03-24 68.580002 68.949997 66.720001 68.129997 2417800 65.976176
2015-03-25 68.57 69.739998 67.849998 69.07 2138100 66.886462
2015-03-26 70.199997 70.559998 68.360001 69.110001 2083600 66.925198
2015-03-27 68.529999 68.540001 67.330002 68 1641600 65.850288
2015-03-30 68.620003 69.330002 67.43 68.730003 2594600 66.557214
2015-03-31 68.120003 68.839996 67.43 68.07 1781100 65.918075
2015-04-01 68.440002 69.050003 67.720001 68.209999 2517100 66.053648
2015-04-02 67.779999 70.040001 67.599998 69.220001 2363300 67.031721
2015-04-06 69.900002 73.290001 69.419998 72.849998 2856700 70.546962
2015-04-07 72.940002 74.330002 71.940002 73.019997 2053100 70.711586
2015-04-08 73.190002 74.029999 71.169998 71.279999 1887600 69.026595
2015-04-09 71.699997 74.260002 71.699997 73.93 2124000 71.592821
2015-04-10 74.129997 74.129997 72.5 73.080002 1656600 70.769694
2015-04-13 73.099998 73.620003 71.830002 72.010002 2124300 69.73352
2015-04-14 72.5 75.800003 72.5 75.690002 3170400 73.297183
2015-04-15 76 78.25 75.099998 77.650002 2601100 75.19522
2015-04-16 77.279999 77.919998 75.459999 75.779999 2147200 73.384335
2015-04-17 75.510002 75.510002 73.25 73.639999 2107200 71.311988
2015-04-20 74.32 75.540001 73.910004 74.029999 1743000 71.689658
2015-04-21 74.230003 74.709999 71.690002 72.050003 2405700 69.772257
2015-04-22 71.970001 73.949997 71.970001 73.529999 2735400 71.205465
2015-04-23 73.389999 75.720001 71.980003 75.330002 2884400 72.948564
2015-04-24 75.050003 75.580002 73.839996 74.419998 1527300 72.067328
2015-04-27 76.830002 77.75 75.760002 75.879997 2308000 73.481172
2015-04-28 75.610001 76.550003 75.029999 76.349998 1593700 73.936315
2015-04-29 76.089996 79.110001 75.370003 78.410004 1779100 75.931196
2015-04-30 78.720001 79.290001 77.190002 77.970001 2284000 75.505104
2015-05-01 77.720001 78.800003 76.57 78.470001 1660200 75.989297
2015-05-04 78.879997 78.879997 76.800003 77.510002 1114500 75.059647
2015-05-05 78.440002 79.900002 77.209999 77.610001 1918400 75.156484
2015-05-06 78.959999 79.260002 77.349998 78.150002 1916000 75.679414
2015-05-07 77.339996 77.339996 75.510002 75.989998 2591500 73.587695
2015-05-08 76.830002 77.879997 75.400002 77.660004 1395200 75.204906
2015-05-11 77.650002 77.660004 75.309998 75.489998 1571500 73.103502
2015-05-12 75.699997 76.599998 74.389999 76.07 1504400 73.665168
2015-05-13 76.059998 76.43 74.910004 75.809998 1239600 74.083416
2015-05-14 75.300003 76.25 73.610001 74.279999 1583000 72.588263
2015-05-15 74.040001 74.5 73 73.839996 1518800 72.158282
2015-05-18 73.860001 74.839996 73.32 74.57 1270700 72.871659
2015-05-19 73.449997 73.910004 71.419998 72.470001 1511400 70.819489
2015-05-20 72.800003 74.139999 72.18 73.68 1485200 72.00193
2015-05-21 74.779999 76.510002 74.68 75.519997 1500400 73.80002
2015-05-22 74.669998 76.309998 74.360001 75.269997 982700 73.555714
2015-05-26 74.160004 75.010002 72.470001 72.660004 1334100 71.005164
2015-05-27 72.129997 73.940002 71.699997 73.480003 1738500 71.806488
2015-05-28 72.760002 73.459999 71.849998 73.089996 1271800 71.425363
2015-05-29 73.129997 74.07 72.93 72.989998 1574500 71.327642
2015-06-01 72.980003 73.07 71.739998 72.010002 1500600 70.369966
2015-06-02 72.470001 74.470001 72.43 73.809998 1221400 72.128966
2015-06-03 73.860001 74.790001 72.849998 73.440002 1429400 71.767398
2015-06-04 72.830002 73.300003 71.870003 72.18 1398200 70.536093
2015-06-05 71.809998 74.720001 71.730003 73.650002 1485700 71.972614
2015-06-08 73.339996 74.589996 72.849998 73.120003 1093200 71.454686
2015-06-09 73.900002 74.760002 72.68 72.690002 1132200 71.034479
2015-06-10 74.879997 75.25 73.809998 75.120003 1307900 73.409136
2015-06-11 74.910004 75.18 73.620003 73.720001 1071700 72.04102
2015-06-12 72.989998 73.690002 72.620003 73.5 957300 71.826029
2015-06-15 72.410004 73.32 71.839996 72.610001 984100 70.9563
